prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Trace user flow,analyze_user_journey,analyze_user_journey,True,,4095.5469608306885,analytics_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,analytics_operations,"['system_operations', 'security_operations', 'workflow_operations', 'logging_operations', 'analytics_operations', 'authentication_operations', 'web_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,17,threshold,2795,48,2843,True,"['track_event', 'analyze_user_journey', 'create_funnel_analysis', 'get_workflow_status', 'process_data_subject_request', 'get_workflow_metrics', 'tail_logs', 'check_url_status', 'create_funnel', 'secrets_scan', 'track_vendor_compliance', 'correlate_logs', 'get_network_info', 'get_cpu_info', 'verify_totp', 'list_processes', 'manage_device_trust']",2,False,False,,,,[],[]
Remove the deprecated column from users,drop_column,drop_column,True,,350.68273544311523,data_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,data_operations,"['data_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,3,bounded,593,24,617,True,"['drop_column', 'rename_column', 'revoke_api_key']",1,False,False,,,,[],[]
Set up API authentication,create_api_key,create_api_key,True,,388.4708881378174,authentication_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,authentication_operations,"['web_operations', 'authentication_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,15,threshold,3013,61,3074,True,"['create_api_key', 'oauth_authenticate', 'configure_passwordless', 'setup_oauth_provider', 'manage_oauth', 'revoke_api_key', 'generate_jwt', 'create_user', 'manage_mfa', 'generate_otp', 'manage_identity_verification', 'manage_device_trust', 'manage_session', 'verify_totp', 'verify_jwt']",1,False,False,,,,[],[]
Create a new SSH key pair,generate_keypair,generate_keypair,True,,333.2672119140625,security_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,security_operations,"['authentication_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,3,bounded,806,38,844,True,"['generate_keypair', 'create_api_key', 'rotate_keys']",1,False,False,,,,[],[]
Remove write access from the log file,change_permissions,change_permissions,True,,336.5359306335449,file_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,file_operations,"['logging_operations', 'cloud_storage_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,6,threshold,1163,19,1182,True,"['set_log_retention', 'change_permissions', 'export_logs', 'set_owner', 'tail_logs', 'delete_cloud_file']",2,False,False,,,,[],[]
Truncate the sessions table,truncate_table,truncate_table,True,,347.70870208740234,data_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,data_operations,"['data_operations', 'logging_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,3,bounded,670,23,693,True,"['truncate_table', 'manage_session', 'set_log_retention']",1,False,False,,,,[],[]
Sync users from Active Directory,sync_directory,sync_directory,True,,369.0176010131836,authentication_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,3,bounded,771,79,850,True,"['sync_directory', 'manage_mfa', 'create_user']",1,False,False,,,,[],[]
Create a cron job for the cleanup script,schedule_task,create_scheduled_job,False,,537.2269153594971,system_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,scheduling_operations,"['scheduling_operations', 'system_operations', 'workflow_operations', 'email_operations', 'queue_operations', 'database_operations', 'data_operations', 'web_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,14,threshold,2335,60,2395,True,"['delete_scheduled_job', 'create_scheduled_job', 'schedule_task', 'update_job_schedule', 'http_delete', 'pause_scheduled_job', 'delete_backup', 'setup_email_automation', 'schedule_workflow', 'truncate_table', 'manage_database_triggers', 'snooze_email', 'retry_failed_jobs', 'kill_process']",3,False,False,,,,[],[]
Add logo to video,add_video_overlay,add_video_overlay,True,,61314.13221359253,video_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,video_operations,"['video_operations', 'image_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,13,threshold,2725,55,2780,True,"['add_video_overlay', 'add_watermark', 'add_chapter_markers', 'add_subtitles', 'create_video_thumbnail', 'remove_background', 'loop_video', 'apply_video_filter', 'create_video_montage', 'merge_videos', 'create_video_slideshow', 'resize_video', 'apply_color_grading']",1,False,False,,,,[],[]
Count the lines in the document,count_text,count_text,True,,333.38308334350586,text_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,text_operations,"['data_operations', 'healthcare_operations', 'text_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,8,threshold,1512,16,1528,True,"['count_text', 'word_count', 'count_records', 'add_page_numbers', 'add_page_numbers', 'generate_patient_summary', 'generate_lorem_ipsum', 'summarize_text']",1,False,False,,,,[],[]
