prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Standardize the address format,validate_address,validate_address,True,,3592.5848484039307,location_operations,hard,llama3.2:3b,,rag,2,0,False,,location_operations,"['payment_operations', 'video_operations', 'web_operations', 'ecommerce_operations', 'iot_operations', 'email_operations', 'location_operations']",False,False,False,[],,,0,{},,,0,,,1156,36,1192,True,"['validate_address', 'reverse_geocode', 'verify_email_address', 'configure_email_domain', 'whois_lookup', 'configure_tax_rules', 'create_invoice', 'resize_video', 'get_timezone', 'register_device']",1,False,False,,,,[],[]
Add products to bundle,manage_product_bundles,,False,,1622.8888034820557,ecommerce_operations,expert,llama3.2:3b,Model did not call any tool,rag,2,0,False,,,"['payment_operations', 'file_operations', 'ecommerce_operations', 'analytics_operations', 'iot_operations', 'email_operations', 'ai_ml_operations', 'container_operations']",False,False,False,[],,,0,{},,,0,,,1238,43,1281,True,"['manage_product_bundles', 'update_inventory', 'push_image', 'ingest_features', 'create_symlink', 'configure_tax_rules', 'create_invoice', 'segment_users', 'register_device', 'get_email_attachments']",1,False,False,,,,[],[]
Consume from queue,process_jobs,process_jobs,True,,1183.9187145233154,queue_operations,expert,llama3.2:3b,,rag,2,0,False,,queue_operations,"['payment_operations', 'ecommerce_operations', 'cloud_storage_operations', 'social_media_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1055,20,1075,True,"['process_jobs', 'get_queue_metrics', 'batch_delete_messages', 'schedule_recurring', 'get_payment_balance', 'calculate_payment_fees', 'create_invoice', 'schedule_posts', 'configure_lifecycle_rules', 'update_inventory']",1,False,False,,,,[],[]
Create a backup,create_backup,create_backup,True,,1709.2440128326416,backup_operations,expert,llama3.2:3b,,rag,2,0,False,,backup_operations,"['payment_operations', 'security_operations', 'calendar_operations', 'file_operations', 'cloud_storage_operations', 'testing_operations', 'backup_operations', 'location_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1237,51,1288,True,"['create_backup', 'schedule_backup', 'export_calendar', 'configure_lifecycle_rules', 'run_chaos_testing', 'reverse_geocode', 'watch_directory', 'create_invoice', 'decrypt_file', 'schedule_recurring']",1,False,False,,,,[],[]
Check certificate expiration,manage_ssl_certificate,,False,,1491.3320541381836,devops_operations,expert,llama3.2:3b,Model did not call any tool,rag,2,0,False,,,"['payment_operations', 'security_operations', 'ecommerce_operations', 'analytics_operations', 'cloud_storage_operations', 'devops_operations', 'testing_operations', 'email_operations', 'location_operations']",False,False,False,[],,,0,{},,,0,,,1229,34,1263,True,"['manage_ssl_certificate', 'configure_lifecycle_rules', 'verify_email_address', 'verify_password_hash', 'generate_jwt', 'get_payment_balance', 'monitor_data_quality', 'validate_address', 'configure_tax_rules', 'analyze_test_flakiness']",1,False,False,,,,[],[]
Add tax exemption,configure_tax_rules,,False,,1928.5898208618164,ecommerce_operations,expert,llama3.2:3b,Model did not call any tool,rag,2,0,False,,,"['security_operations', 'payment_operations', 'calendar_operations', 'file_operations', 'ecommerce_operations', 'data_operations', 'iot_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,,,1371,60,1431,True,"['configure_tax_rules', 'generate_jwt', 'manage_product_bundles', 'register_device', 'create_event_template', 'create_symlink', 'create_invoice', 'calculate_payment_fees', 'configure_lifecycle_rules', 'create_view']",1,False,False,,,,[],[]
Remove processed messages,batch_delete_messages,batch_delete_messages,True,,1224.2631912231445,queue_operations,hard,llama3.2:3b,,rag,2,0,False,,queue_operations,"['file_operations', 'analytics_operations', 'database_operations', 'email_operations', 'container_operations', 'document_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1079,21,1100,True,"['batch_delete_messages', 'process_jobs', 'monitor_data_quality', 'stop_container', 'get_email_attachments', 'get_queue_metrics', 'extract_text', 'verify_email_address', 'watch_directory', 'vacuum_database']",1,False,False,,,,[],[]
Segment users by plan type,segment_users,segment_users,True,,1624.6650218963623,analytics_operations,expert,llama3.2:3b,,rag,2,0,False,,analytics_operations,"['payment_operations', 'ecommerce_operations', 'analytics_operations', 'data_operations', 'social_media_operations', 'location_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1272,41,1313,True,"['segment_users', 'manage_followers', 'create_view', 'create_invoice', 'manage_product_bundles', 'configure_tax_rules', 'process_jobs', 'schedule_recurring', 'validate_address', 'get_payment_balance']",1,False,False,,,,[],[]
Show fee breakdown,calculate_payment_fees,get_payment_balance,False,,1295.7231998443604,payment_operations,expert,llama3.2:3b,,rag,2,0,False,,payment_operations,"['text_operations', 'payment_operations', 'ecommerce_operations', 'analytics_operations', 'data_operations', 'math_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1187,19,1206,True,"['calculate_payment_fees', 'get_payment_balance', 'manage_product_bundles', 'get_queue_metrics', 'configure_tax_rules', 'create_invoice', 'get_database_stats', 'count_text', 'logarithm', 'segment_users']",1,False,False,,,,[],[]
Create event template,create_event_template,create_event_template,True,,1906.3529968261719,calendar_operations,expert,llama3.2:3b,,rag,2,0,False,,calendar_operations,"['payment_operations', 'security_operations', 'calendar_operations', 'file_operations', 'data_operations', 'iot_operations', 'container_operations', 'social_media_operations', 'location_operations']",False,False,False,[],,,0,{},,,0,,,1207,72,1279,True,"['create_event_template', 'export_calendar', 'watch_directory', 'register_device', 'create_view', 'push_image', 'create_invoice', 'generate_jwt', 'schedule_posts', 'get_timezone']",1,False,False,,,,[],[]
