prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Test connectivity to IP,ping_host,ping_host,True,,1545.9589958190918,networking_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1154,23,1177,,[],,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,restore_archived_object,True,,861.6759777069092,cloud_storage_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1154,50,1204,,[],,False,False,,,,[],[]
Run compliance check,run_compliance_check,run_compliance_check,True,,421.3268756866455,compliance_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1153,20,1173,,[],,False,False,,,,[],[]
OCR this scanned document,extract_text,extract_text,True,,743.3106899261475,document_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1154,41,1195,,[],,False,False,,,,[],[]
How long has the system been running?,get_uptime,get_uptime,True,,563.7409687042236,system_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1158,30,1188,,[],,False,False,,,,[],[]
Mass email announcement,send_bulk_email,send_bulk_email,True,,435.2831840515137,email_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1153,21,1174,,[],,False,False,,,,[],[]
Set up authenticator app,manage_mfa,manage_mfa,True,,488.7428283691406,authentication_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1155,25,1180,,[],,False,False,,,,[],[]
Create welcome email series,setup_email_automation,setup_email_automation,True,,929.9967288970947,email_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1154,54,1208,,[],,False,False,,,,[],[]
Abort running workflow,cancel_workflow,cancel_workflow,True,,388.07082176208496,workflow_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1153,18,1171,,[],,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,456.4390182495117,math_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1158,23,1181,,[],,False,False,,,,[],[]
