prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Please check if a host is reachable. Ping the server,ping_host,ping_host,True,,3917.179822921753,networking_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,networking_operations,"['web_operations', 'system_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,5,threshold,660,36,696,True,"['ping_host', 'check_port', 'port_scan', 'check_url_status', 'traceroute']",1.0,False,False,,,,[],[]
I need to restore an archived object from cloud storage. Restore from cold storage,restore_archived_object,restore_archived_object,True,,3323.4031200408936,cloud_storage_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,cloud_storage_operations,"['database_operations', 'caching_operations', 'data_operations', 'backup_operations', 'cloud_storage_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2588,49,2637,True,"['restore_archived_object', 'delete_cloud_file', 'copy_cloud_file', 'restore_archived_email', 'download_from_cloud', 'enable_bucket_versioning', 'sync_to_cloud', 'restore_database', 'sync_buckets', 'create_bucket', 'configure_storage_transfer', 'upload_to_cloud', 'restore_backup', 'configure_lifecycle_rules', 'get_cloud_file_info', 'restore_database', 'restore_cache', 'backup_cache', 'configure_object_lock', 'archive_data']",1.0,False,False,,,,[],[]
I need to run a regulatory compliance check. Verify SOC2 compliance,run_compliance_check,run_compliance_check,True,,3138.4429931640625,compliance_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,compliance_operations,"['healthcare_operations', 'compliance_operations', 'authentication_operations', 'security_operations', 'testing_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2557,39,2596,True,"['run_compliance_check', 'track_vendor_compliance', 'manage_policy', 'manage_exception', 'verify_insurance_eligibility', 'classify_data', 'verify_jwt', 'generate_compliance_report', 'generate_audit_log', 'verify_signature', 'manage_identity_verification', 'verify_otp', 'run_accessibility_test', 'run_accessibility_test', 'run_contract_testing', 'manage_data_retention', 'verify_signature', 'verify_bank_account', 'process_data_subject_request', 'manage_consent']",1.0,False,False,,,,[],[]
I need to extract text from a document. Get the text content,extract_text,extract_text_from_document,False,,3065.218210220337,document_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,document_operations,"['image_operations', 'file_operations', 'document_operations', 'text_operations', 'logging_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2375,47,2422,True,"['extract_text_from_document', 'extract_text', 'extract_text', 'parse_html', 'ocr_image', 'parse_html', 'extract_entities', 'scrape_webpage', 'scrape_webpage', 'search_text', 'decode_text', 'search_file_content', 'split_text', 'convert_document', 'split_document', 'parse_log_pattern', 'extract_keywords', 'count_text', 'parse_json', 'replace_text']",2.0,False,False,,,,[],[]
I need to check system uptime. When was the server last rebooted?,get_uptime,get_uptime,True,,1683.9182376861572,system_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,system_operations,"['monitoring_operations', 'system_operations', 'calendar_operations', 'location_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,11,threshold,1220,30,1250,True,"['get_uptime', 'create_uptime_check', 'get_current_datetime', 'get_system_info', 'manage_service', 'check_port', 'get_timezone', 'get_cpu_info', 'check_url_status', 'get_network_info', 'check_availability']",1.0,False,False,,,,[],[]
Please send the same email message to multiple recipients at once. Email the newsletter,send_bulk_email,send_email,False,,3348.5729694366455,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,web_operations,"['messaging_operations', 'notification_operations', 'email_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,16,threshold,2016,88,2104,True,"['send_email', 'batch_send_messages', 'batch_send_messages', 'send_email', 'send_bulk_email', 'send_email', 'manage_notification_digest', 'broadcast_message', 'batch_receive_messages', 'create_notification_campaign', 'create_email_campaign', 'set_email_auto_reply', 'snooze_email', 'manage_mailing_list', 'send_digest_notification', 'send_template_email']",5.0,False,False,,,,[],[]
I need to configure multi-factor authentication. Disable MFA for user,manage_mfa,disable_mfa,False,,1058.5949420928955,authentication_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,3,elbow,477,38,515,True,"['enable_mfa', 'manage_mfa', 'disable_mfa']",2.0,False,False,,,,[],[]
I need to create automated email workflows triggered by events or schedules. Automate onboarding emails,setup_email_automation,setup_email_automation,True,,3374.677896499634,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['scheduling_operations', 'database_operations', 'ai_ml_operations', 'workflow_operations', 'system_operations', 'calendar_operations', 'notification_operations', 'queue_operations', 'messaging_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2597,54,2651,True,"['setup_email_automation', 'schedule_email_digest', 'create_notification_workflow', 'create_workflow', 'create_email_campaign', 'create_scheduled_job', 'schedule_message', 'snooze_email', 'schedule_workflow', 'manage_database_triggers', 'set_notification_rules', 'set_reminder', 'schedule_notification', 'set_auto_response', 'schedule_task', 'create_pipeline', 'run_workflow', 'schedule_notification', 'schedule_message', 'set_email_auto_reply']",1.0,False,False,,,,[],[]
I need to cancel a running workflow. Stop workflow execution,cancel_workflow,cancel_workflow,True,,1724.323034286499,workflow_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,workflow_operations,"['payment_operations', 'scheduling_operations', 'authentication_operations', 'workflow_operations', 'file_operations', 'system_operations', 'notification_operations', 'container_operations']",False,False,False,[],,,0,{},,,0,14,threshold,1344,28,1372,True,"['cancel_workflow', 'kill_process', 'stop_container', 'pause_scheduled_job', 'cancel_notification', 'void_payment', 'retry_workflow_step', 'cancel_subscription', 'delete_scheduled_job', 'get_workflow_status', 'run_workflow', 'delete_file', 'sleep_delay', 'revoke_api_key']",1.0,False,False,,,,[],[]
I need to work with Fibonacci numbers. What is the 10th Fibonacci number?,fibonacci,fibonacci,True,,763.7059688568115,math_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,3,bounded,352,23,375,True,"['fibonacci', 'fibonacci', 'gcd_lcm']",1.0,False,False,,,,[],[]
