prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Find photos of beaches,search_images,search_images,True,,3196.580171585083,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['search_operations', 'system_operations', 'image_operations', 'file_operations', 'caching_operations', 'networking_operations', 'web_operations', 'location_operations', 'cloud_storage_operations', 'iot_operations', 'video_operations', 'container_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3484,26,3510,True,"['search_images', 'build_image', 'read_barcode', 'get_cloud_file_info', 'upload_to_cloud', 'extract_colors', 'rotate_image', 'overlay_images', 'find_duplicates', 'detect_faces_in_video', 'web_search', 'create_cache_index', 'port_scan', 'resize_image', 'create_collage', 'cache_stats', 'calculate_elevation', 'cache_hash_ops', 'manage_firmware', 'get_disk_info']",1,False,False,,,,[],[]
Create CCD document,generate_patient_summary,generate_patient_summary,True,,864.464282989502,healthcare_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,healthcare_operations,"['payment_operations', 'security_operations', 'file_operations', 'devops_operations', 'text_operations', 'secrets_operations', 'healthcare_operations', 'document_operations', 'ecommerce_operations', 'social_media_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3826,22,3848,True,"['create_signature', 'generate_patient_summary', 'create_virtual_card', 'convert_document', 'redact_document', 'create_order', 'document_procedure', 'create_secret', 'extract_text', 'set_permissions', 'create_subscription', 'generate_lorem_ipsum', 'manage_ssl_certificate', 'generate_content', 'create_discount_code', 'decrypt_file', 'fill_form', 'create_subscription', 'generate_jwt', 'encode_text']",2,False,False,,,,[],[]
Get the UPC code from the product photo,read_barcode,read_barcode,True,,713.6051654815674,image_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,image_operations,"['search_operations', 'system_operations', 'image_operations', 'security_operations', 'file_operations', 'text_operations', 'testing_operations', 'cloud_storage_operations', 'video_operations', 'location_operations', 'web_operations', 'ecommerce_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3293,24,3317,True,"['read_barcode', 'extract_colors', 'create_discount_code', 'get_elevation', 'search_images', 'overlay_images', 'detect_faces_in_video', 'resize_image', 'apply_color_grading', 'decode_text', 'calculate_elevation', 'http_get', 'check_url_status', 'encode_text', 'get_cloud_file_info', 'secrets_scan', 'get_file_checksum', 'rotate_image', 'get_disk_info', 'run_accessibility_test']",1,False,False,,,,[],[]
Document drug allergy,update_allergy_list,update_allergy_list,True,,523.5822200775146,healthcare_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,healthcare_operations,"['security_operations', 'text_operations', 'testing_operations', 'email_operations', 'logging_operations', 'healthcare_operations', 'document_operations', 'location_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3555,54,3609,True,"['update_allergy_list', 'check_drug_interactions', 'document_procedure', 'generate_patient_summary', 'run_accessibility_test', 'convert_document', 'rotate_pages', 'extract_text', 'redact_document', 'sanitize_input', 'get_email_headers', 'word_count', 'create_email_signature', 'replace_text', 'calculate_isochrone', 'run_contract_test', 'generate_lorem_ipsum', 'write_log', 'snooze_email', 'send_bulk_email']",1,False,False,,,,[],[]
Snooze this email,snooze_email,snooze_email,True,,542.3727035522461,email_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,"['calendar_operations', 'monitoring_operations', 'notification_operations', 'devops_operations', 'email_operations', 'queue_operations', 'messaging_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3686,41,3727,True,"['snooze_email', 'schedule_message', 'create_email_signature', 'send_email', 'send_email', 'get_email_headers', 'configure_quiet_hours', 'setup_monitoring_alert', 'send_bulk_email', 'validate_email', 'manage_calendar_notifications', 'manage_subscription', 'send_sms', 'batch_send_messages', 'create_notification_workflow', 'create_metric', 'set_notification_rules', 'manage_notification_segments', 'track_notification_engagement', 'send_slack_message']",1,False,False,,,,[],[]
Audit access controls,audit_permissions,audit_permissions,True,,515.9554481506348,security_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,security_operations,"['monitoring_operations', 'payment_operations', 'security_operations', 'file_operations', 'workflow_operations', 'testing_operations', 'queue_operations', 'secrets_operations', 'cloud_storage_operations', 'logging_operations', 'authentication_operations', 'document_operations', 'compliance_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3391,35,3426,True,"['audit_permissions', 'audit_auth_events', 'generate_audit_log', 'set_queue_policy', 'manage_roles', 'secrets_scan', 'manage_database_locks', 'manage_payment_dispute', 'run_accessibility_test', 'set_permissions', 'sanitize_input', 'list_secrets', 'set_object_lock', 'redact_document', 'create_metric', 'get_file_checksum', 'create_approval_request', 'reset_password', 'set_log_retention', 'decrypt_data']",1,False,False,,,,[],[]
Decode the encoded string,decode_text,decode_url,False,,472.4721908569336,text_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,web_operations,"['system_operations', 'search_operations', 'image_operations', 'security_operations', 'file_operations', 'text_operations', 'logging_operations', 'web_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3202,12,3214,True,"['decode_url', 'decode_text', 'encode_text', 'read_barcode', 'compress_decompress', 'decrypt_data', 'extract_text', 'decrypt_file', 'extract_text', 'parse_log_pattern', 'secrets_scan', 'extract_colors', 'sanitize_input', 'extract_archive', 'replace_text', 'http_get', 'manage_database_encryption', 'get_environment_variable', 'search_code', 'get_file_checksum']",2,False,False,,,,[],[]
Estimate segment size,manage_notification_segments,manage_notification_segments,True,,571.6829299926758,notification_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,notification_operations,"['notification_operations', 'system_operations', 'image_operations', 'caching_operations', 'math_operations', 'devops_operations', 'text_operations', 'analytics_operations', 'data_operations', 'iot_operations', 'location_operations', 'audio_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3403,12,3415,True,"['segment_users', 'resize_image', 'geometry', 'get_disk_info', 'read_barcode', 'split_audio', 'calculate_isochrone', 'configure_auto_scaling', 'manage_notification_segments', 'word_count', 'extract_colors', 'get_database_stats', 'round_number', 'create_cohort', 'count_records', 'detect_bpm', 'cache_stats', 'predict_churn', 'analyze_device_data', 'forecast_metric']",9,False,False,,,,[],[]
Build a metrics dashboard,create_dashboard,create_dashboard,True,,60408.96940231323,analytics_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,analytics_operations,"['monitoring_operations', 'notification_operations', 'system_operations', 'caching_operations', 'math_operations', 'devops_operations', 'text_operations', 'analytics_operations', 'iot_operations', 'data_operations', 'social_media_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3504,74,3578,True,"['create_dashboard', 'create_metric', 'forecast_metric', 'segment_users', 'setup_monitoring_alert', 'create_cohort', 'cache_stats', 'track_notification_engagement', 'analyze_device_data', 'get_database_stats', 'track_hashtag', 'run_experiment_analysis', 'predict_churn', 'generate_audit_log', 'manage_notification_segments', 'geometry', 'create_ab_test', 'configure_auto_scaling', 'word_count', 'get_disk_info']",1,False,False,,,,[],[]
Look up IP address,dns_lookup,dns_lookup,True,,497.0428943634033,networking_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,networking_operations,"['scheduling_operations', 'payment_operations', 'system_operations', 'security_operations', 'file_operations', 'caching_operations', 'networking_operations', 'email_operations', 'authentication_operations', 'location_operations', 'web_operations', 'data_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2726,17,2743,True,"['whois_lookup', 'dns_lookup', 'ping_host', 'port_scan', 'check_url_status', 'batch_geocode', 'get_ssl_info', 'http_get', 'web_search', 'get_payment_balance', 'get_disk_info', 'audit_auth_events', 'get_elevation', 'get_database_stats', 'get_environment_variable', 'get_email_headers', 'get_file_checksum', 'get_job_history', 'cache_stats', 'audit_permissions']",2,False,False,,,,[],[]
