prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Search stock images,search_images,search_images,True,,5293.360233306885,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['image_operations', 'ai_ml_operations', 'web_operations', 'search_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3326,34,3360,True,"['search_images', 'analyze_image', 'get_image_info', 'compare_images', 'ocr_image', 'overlay_images', 'semantic_search', 'upscale_image', 'compress_image', 'search_documents', 'search_file_content', 'configure_search_relevance', 'web_search', 'search_products', 'detect_objects', 'flip_image', 'search_files', 'generate_image', 'semantic_search', 'search_documents']",1.0,False,False,,,,[],[]
Generate patient summary,generate_patient_summary,generate_patient_summary,True,,896.9569206237793,healthcare_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,healthcare_operations,"['ai_ml_operations', 'analytics_operations', 'text_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,20,bounded,4363,47,4410,True,"['generate_patient_summary', 'generate_discharge_summary', 'calculate_clinical_score', 'create_cohort', 'summarize_text', 'create_clinical_note', 'create_patient_record', 'document_clinical_note', 'create_care_plan', 'analyze_cohort', 'refer_patient', 'send_patient_message', 'retrieve_medical_history', 'document_procedure', 'record_vital_signs', 'order_imaging_study', 'count_text', 'record_vital_signs', 'segment_users', 'generate_text']",1.0,False,False,,,,[],[]
Scan the barcode in the image,read_barcode,read_barcode,True,,477.9794216156006,image_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,image_operations,"['image_operations', 'ai_ml_operations', 'search_operations', 'system_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,17,threshold,2917,29,2946,True,"['read_barcode', 'generate_qr_code', 'ocr_image', 'analyze_image', 'search_images', 'detect_objects', 'get_image_info', 'compare_images', 'crop_image', 'encode_decode', 'detect_faces', 'read_binary_file', 'resize_image', 'compress_image', 'overlay_images', 'upscale_image', 'rotate_image']",1.0,False,False,,,,[],[]
Document drug allergy,update_allergy_list,update_allergy_list,True,,739.973783493042,healthcare_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,healthcare_operations,['healthcare_operations'],False,False,False,[],,,0,{},,,0,6,threshold,1496,54,1550,True,"['update_allergy_list', 'reconcile_medications', 'prescribe_medication', 'check_drug_interaction', 'check_drug_interactions', 'record_immunization']",1.0,False,False,,,,[],[]
Snooze this email,snooze_email,snooze_email,True,,408.25581550598145,email_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,"['email_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,3,bounded,577,41,618,True,"['snooze_email', 'sleep_delay', 'set_email_auto_reply']",1.0,False,False,,,,[],[]
Find world-writable files,audit_permissions,search_files,False,,513.9477252960205,security_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,file_operations,"['cloud_storage_operations', 'file_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2746,42,2788,False,"['search_files', 'write_file', 'read_file', 'list_directory', 'get_file_info', 'list_cloud_files', 'search_file_content', 'delete_file', 'change_permissions', 'get_cloud_file_info', 'get_file_checksum', 'find_duplicates', 'write_binary_file', 'set_permissions', 'read_binary_file', 'check_file_signature', 'get_disk_usage', 'set_owner', 'delete_cloud_file', 'find_duplicates']",,False,False,,,,[],[]
URL decode the text,decode_text,decode_url,False,,647.6273536682129,text_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,web_operations,"['document_operations', 'text_operations', 'system_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,12,threshold,1704,15,1719,True,"['decode_url', 'decode_text', 'encode_url', 'encode_text', 'encode_decode', 'shorten_url', 'parse_html', 'parse_html', 'check_url_status', 'validate_url', 'extract_text_from_document', 'extract_text']",2.0,False,False,,,,[],[]
Estimate segment size,manage_notification_segments,,False,,489.0859127044678,notification_operations,expert,llama-3.3-70b,Model did not call any tool,adaptive_rag,2,0,False,,,"['image_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,3,bounded,694,269,963,False,"['segment_users', 'segment_users', 'crop_image']",,False,False,,,,[],[]
Build a metrics dashboard,create_dashboard,create_dashboard,True,,466.18008613586426,analytics_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,analytics_operations,"['notification_operations', 'analytics_operations', 'rate_limiting_operations', 'email_operations', 'queue_operations', 'devops_operations', 'monitoring_operations', 'workflow_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3378,74,3452,True,"['create_dashboard', 'calculate_metrics', 'create_dashboard', 'create_metric', 'create_dashboard', 'create_log_dashboard', 'query_metrics', 'generate_analytics_report', 'monitor_metrics', 'record_metric', 'analyze_email_metrics', 'alert_on_metric', 'forecast_metric', 'get_workflow_metrics', 'get_rate_limit_metrics', 'analyze_notification_performance', 'get_queue_metrics', 'get_notification_analytics', 'aggregate_logs', 'calculate_ltv']",1.0,False,False,,,,[],[]
Get MX records,dns_lookup,,False,,616.6787147521973,networking_operations,hard,llama-3.3-70b,Model did not call any tool,adaptive_rag,2,0,False,,,"['email_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,3,threshold,520,223,743,False,"['get_email_headers', 'get_email_status', 'retrieve_medical_history']",,False,False,,,,[],[]
