prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Map conversion journey,analyze_user_journey,,False,,528.7539958953857,analytics_operations,expert,llama-3.3-70b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2497,330,2827,,[],,False,False,,,,[],[]
Remove the deprecated column from users,drop_column,analyze_database_performance,False,,849.811315536499,data_operations,hard,llama-3.3-70b,,clustering,2,0,False,False,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,3043,57,3100,,[],,False,False,,,,[],[]
Create access credentials,create_api_key,create_api_key,True,,1051.9607067108154,authentication_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,,,3684,70,3754,,[],,False,False,,,,[],[]
Generate an Ed25519 key pair,generate_keypair,generate_keypair,True,,739.2539978027344,security_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,security_operations,['security_operations'],False,False,False,[],,,0,{},,,0,,,3455,45,3500,,[],,False,False,,,,[],[]
Remove write access from the log file,change_permissions,,False,,633.0375671386719,file_operations,hard,llama-3.3-70b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2501,368,2869,,[],,False,False,,,,[],[]
Clear all data from the logs table,truncate_table,analyze_database_performance,False,,705.7690620422363,data_operations,hard,llama-3.3-70b,,clustering,2,0,False,False,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,3045,53,3098,,[],,False,False,,,,[],[]
Run directory sync,sync_directory,,False,,770.7235813140869,authentication_operations,expert,llama-3.3-70b,No tool selected in step,clustering,2,0,False,False,file_operations,['file_operations'],False,False,False,[],,,0,{},,,0,,,3237,84,3321,,[],,False,False,,,,[],[]
Set up a recurring task,schedule_task,update_job_schedule,False,,673.6283302307129,system_operations,expert,llama-3.3-70b,,clustering,2,0,False,False,scheduling_operations,['scheduling_operations'],False,False,False,[],,,0,{},,,0,,,2972,49,3021,,[],,False,False,,,,[],[]
Add picture-in-picture,add_video_overlay,add_video_overlay,True,,799.7941970825195,video_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,video_operations,['video_operations'],False,False,False,[],,,0,{},,,0,,,3832,64,3896,,[],,False,False,,,,[],[]
Count the number of words in this text,count_text,count_text,True,,647.6757526397705,text_operations,hard,llama-3.3-70b,,clustering,2,0,False,True,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,3162,33,3195,,[],,False,False,,,,[],[]
