prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Mail the user,send_email,,False,,719.5408344268799,email_operations,expert,llama-3.3-70b,No tool selected in step,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,266,10,276,,[],,False,False,,,,[],[]
Email using template,send_template_email,,False,,810.1024627685547,email_operations,expert,llama-3.3-70b,No tool selected in step,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,266,10,276,,[],,False,False,,,,[],[]
Create invoice template,create_email_template,,False,,634.6173286437988,email_operations,expert,llama-3.3-70b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,266,410,676,,[],,False,False,,,,[],[]
Get delivery status,get_email_status,get_email_status,True,,816.4305686950684,email_operations,medium,llama-3.3-70b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,4770,29,4799,,[],,False,False,,,,[],[]
Add to mailing list,manage_mailing_list,manage_mailing_list,True,,698.3001232147217,email_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,4772,34,4806,,[],,False,False,,,,[],[]
Send bulk email,send_bulk_email,send_bulk_email,True,,724.4017124176025,email_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,4770,78,4848,,[],,False,False,,,,[],[]
Check email deliverability,validate_email,,False,,894.0508365631104,email_operations,hard,llama-3.3-70b,No tool selected in step,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,267,10,277,,[],,False,False,,,,[],[]
Campaign performance,get_email_analytics,,False,,336.37046813964844,email_operations,expert,llama-3.3-70b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,265,87,352,,[],,False,False,,,,[],[]
Configure email domain,configure_email_domain,configure_email_domain,True,,756.4105987548828,email_operations,hard,llama-3.3-70b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,4770,27,4797,,[],,False,False,,,,[],[]
Handle email bounces,handle_bounce,handle_bounce,True,,803.0517101287842,email_operations,hard,llama-3.3-70b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,4772,36,4808,,[],,False,False,,,,[],[]
