prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Send an email,send_email,send_email,True,,2835.902452468872,email_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,15,bounded,3800,37,3837,True,"['send_email', 'send_template_email', 'create_email_campaign', 'verify_email_address', 'send_bulk_email', 'configure_email_domain', 'setup_email_automation', 'set_email_auto_reply', 'configure_email_domain', 'test_email_deliverability', 'snooze_email', 'get_email_headers', 'validate_email', 'get_email_status', 'verify_email_address']",1,False,False,,,,[],[]
Send welcome email,send_template_email,send_template_email,True,,421.2300777435303,email_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,11,threshold,2996,28,3024,True,"['setup_email_automation', 'create_email_campaign', 'send_email', 'set_email_auto_reply', 'verify_email_address', 'send_template_email', 'send_bulk_email', 'configure_email_domain', 'create_email_signature', 'test_email_deliverability', 'configure_email_domain']",6,False,False,,,,[],[]
Set up email template,create_email_template,create_email_template,True,,563.5464191436768,email_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,15,bounded,3896,44,3940,True,"['send_template_email', 'create_email_template', 'manage_email_template_variables', 'create_email_signature', 'setup_email_automation', 'send_email', 'create_email_campaign', 'test_email_deliverability', 'configure_email_domain', 'schedule_email_digest', 'send_bulk_email', 'configure_email_domain', 'manage_email_list', 'archive_email', 'get_email_headers']",2,False,False,,,,[],[]
Was the email delivered?,get_email_status,get_email_status,True,,357.30624198913574,email_operations,medium,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,11,threshold,2831,20,2851,True,"['get_email_headers', 'get_email_status', 'test_email_deliverability', 'send_template_email', 'send_email', 'setup_email_automation', 'verify_email_address', 'configure_email_domain', 'create_email_campaign', 'configure_email_domain', 'verify_email_address']",2,False,False,,,,[],[]
Unsubscribe from newsletter,manage_mailing_list,manage_mailing_list,True,,954.5409679412842,email_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,5,threshold,1520,23,1543,True,"['manage_mailing_list', 'manage_email_list', 'create_email_campaign', 'send_bulk_email', 'schedule_email_digest']",1,False,False,,,,[],[]
Email the newsletter,send_bulk_email,send_email,False,,458.6946964263916,email_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,14,threshold,3657,48,3705,True,"['create_email_campaign', 'manage_mailing_list', 'send_email', 'test_email_deliverability', 'schedule_email_digest', 'send_bulk_email', 'manage_email_list', 'snooze_email', 'send_template_email', 'get_email_analytics', 'setup_email_automation', 'configure_email_domain', 'get_email_status', 'configure_email_domain']",6,False,False,,,,[],[]
Validate email address,validate_email,validate_email,True,,744.6465492248535,email_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,11,threshold,2862,27,2889,True,"['verify_email_address', 'validate_email', 'verify_email_address', 'configure_email_domain', 'configure_email_domain', 'manage_email_list', 'setup_email_automation', 'create_email_signature', 'get_email_headers', 'test_email_deliverability', 'send_email']",2,False,False,,,,[],[]
Get email analytics,get_email_analytics,get_email_analytics,True,,495.894193649292,email_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,15,bounded,3773,29,3802,True,"['get_email_analytics', 'analyze_email_metrics', 'get_email_headers', 'get_email_status', 'create_email_campaign', 'test_email_deliverability', 'send_email', 'get_email_attachments', 'schedule_email_digest', 'send_bulk_email', 'setup_email_automation', 'configure_email_domain', 'send_template_email', 'configure_email_domain', 'archive_email']",1,False,False,,,,[],[]
Check domain authentication,configure_email_domain,configure_email_domain,True,,421.31924629211426,email_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,4,threshold,1095,18,1113,True,"['configure_email_domain', 'verify_email_address', 'validate_email', 'verify_email_address']",1,False,False,,,,[],[]
Handle email bounces,handle_bounce,handle_bounce,True,,424.0126609802246,email_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,15,bounded,3769,24,3793,True,"['handle_bounce', 'configure_email_domain', 'set_email_auto_reply', 'validate_email', 'get_email_status', 'send_email', 'verify_email_address', 'verify_email_address', 'get_email_headers', 'setup_email_automation', 'manage_email_list', 'test_email_deliverability', 'configure_email_domain', 'snooze_email', 'send_template_email']",1,False,False,,,,[],[]
