prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Send notification digest,send_digest_notification,send_digest_notification,True,,8440.908670425415,notification_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,notification_operations,"['notification_operations', 'email_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,9,threshold,1818,52,1870,True,"['send_digest_notification', 'manage_notification_digest', 'broadcast_message', 'send_email', 'pin_message', 'manage_subscription', 'get_notification_analytics', 'search_messages', 'send_whatsapp_message']",1,False,False,,,,[],[]
Verify backup integrity,verify_backup,verify_backup,True,,313.173770904541,backup_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,backup_operations,"['system_operations', 'email_operations', 'backup_operations', 'database_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,6,threshold,1064,24,1088,True,"['verify_backup', 'verify_email_address', 'hash_data', 'validate_email', 'restore_database', 'check_password_strength']",1,False,False,,,,[],[]
Set up data annotation,create_labeling_job,create_labeling_job,True,,380.9504508972168,ai_ml_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,ai_ml_operations,"['ai_ml_operations', 'document_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,3,bounded,747,57,804,True,"['create_labeling_job', 'flatten_pdf', 'check_grammar']",1,False,False,,,,[],[]
Prioritize recent content,boost_search_results,boost_search_results,True,,433.07042121887207,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['search_operations', 'caching_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,3,bounded,697,42,739,True,"['boost_search_results', 'create_cache_index', 'search_messages']",1,False,False,,,,[],[]
Download query results as CSV,export_csv,export_csv,True,,317.2318935394287,data_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,data_operations,"['web_operations', 'database_operations', 'data_operations', 'testing_operations']",False,False,False,[],,,0,{},,,0,5,threshold,973,37,1010,True,"['export_csv', 'http_get', 'execute_query', 'resolve_dns', 'get_coverage']",1,False,False,,,,[],[]
Set up audit trigger,manage_database_triggers,manage_database_triggers,True,,330.80005645751953,database_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,database_operations,"['workflow_operations', 'database_operations', 'data_operations']",False,False,False,[],,,0,{},,,0,3,bounded,782,54,836,True,"['manage_database_triggers', 'create_workflow', 'upsert_record']",1,False,False,,,,[],[]
Recover the database,restore_database,restore_database,True,,372.03431129455566,database_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,3,bounded,734,26,760,True,"['restore_database', 'execute_query', 'manage_database_triggers']",1,False,False,,,,[],[]
Add full-text search to cache,create_cache_index,create_cache_index,True,,458.0557346343994,caching_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,caching_operations,"['file_operations', 'search_operations', 'caching_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,7,threshold,1386,50,1436,True,"['create_cache_index', 'search_documents', 'search_messages', 'search_file_content', 'cache_increment', 'manage_search_synonyms', 'boost_search_results']",1,False,False,,,,[],[]
Migrate the index,reindex,reindex,True,,600.9266376495361,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['search_operations', 'caching_operations', 'data_operations']",False,False,False,[],,,0,{},,,0,3,bounded,698,20,718,True,"['reindex', 'create_cache_index', 'pivot_data']",1,False,False,,,,[],[]
Configure passkey authentication,configure_passwordless,configure_passwordless,True,,322.47233390808105,authentication_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,6,threshold,1256,23,1279,True,"['configure_passwordless', 'create_api_key', 'setup_oauth_provider', 'revoke_api_key', 'disable_mfa', 'manage_api_scopes']",1,False,False,,,,[],[]
