prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Send an email,send_email,,False,,2390.610456466675,email_operations,expert,llama-3.3-70b,"Error code: 400 - {'message': ""Failed to generate tool_calls. Please adjust your prompt. See 'failed_generation' for more details. Exception: No valid function calls generated"", 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': 'send_email(to=""recipient@example.com"", subject=""Test Email"", body=""This is a test email"", from=""sender@example.com"")'}",rag,2,0,False,,,['email_operations'],False,False,False,[],,,0,{},,,0,,,,,,True,"['send_email', 'snooze_email', 'test_email_deliverability', 'send_template_email', 'send_bulk_email', 'set_email_auto_reply', 'verify_email_address', 'verify_email_address', 'configure_email_domain', 'configure_email_domain']",1,False,False,,,,[],[]
Send templated email,send_template_email,,False,,458.432674407959,email_operations,expert,llama-3.3-70b,"Error code: 400 - {'message': ""Failed to generate tool_calls. Please adjust your prompt. See 'failed_generation' for more details. Exception: No valid function calls generated"", 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': 'send_template_email(template=""welcome_email"", to=""user@example.com"", variables=\'{""name"": ""John Doe""}\', locale=""en"", from=""support@example.com"")'}",rag,2,0,False,,,['email_operations'],False,False,False,[],,,0,{},,,0,,,,,,True,"['send_template_email', 'create_email_template', 'manage_email_template_variables', 'send_email', 'snooze_email', 'create_email_signature', 'test_email_deliverability', 'send_bulk_email', 'setup_email_automation', 'schedule_email_digest']",1,False,False,,,,[],[]
Create email template,create_email_template,create_email_template,True,,431.1509132385254,email_operations,expert,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1663.0,41.0,1704.0,True,"['create_email_template', 'manage_email_template_variables', 'send_template_email', 'create_email_signature', 'archive_email', 'create_email_campaign', 'setup_email_automation', 'snooze_email', 'manage_mailing_list', 'test_email_deliverability']",1,False,False,,,,[],[]
Get delivery status,get_email_status,get_email_status,True,,508.1198215484619,email_operations,medium,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1529.0,19.0,1548.0,True,"['get_email_status', 'test_email_deliverability', 'send_email', 'handle_bounce', 'get_email_headers', 'validate_email', 'verify_email_address', 'verify_email_address', 'get_email_attachments', 'snooze_email']",1,False,False,,,,[],[]
Update subscriber,manage_mailing_list,manage_mailing_list,True,,1159.6100330352783,email_operations,expert,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1705.0,39.0,1744.0,True,"['snooze_email', 'schedule_email_digest', 'manage_mailing_list', 'manage_email_list', 'set_email_auto_reply', 'restore_archived_email', 'get_email_status', 'setup_email_automation', 'import_emails', 'send_email']",3,False,False,,,,[],[]
Send bulk email,send_bulk_email,send_bulk_email,True,,367.92969703674316,email_operations,expert,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1808.0,71.0,1879.0,True,"['send_bulk_email', 'create_email_campaign', 'send_email', 'send_template_email', 'import_emails', 'test_email_deliverability', 'snooze_email', 'setup_email_automation', 'manage_email_list', 'set_email_auto_reply']",1,False,False,,,,[],[]
Validate email address,validate_email,validate_email,True,,402.9066562652588,email_operations,hard,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1611.0,27.0,1638.0,True,"['verify_email_address', 'verify_email_address', 'validate_email', 'configure_email_domain', 'configure_email_domain', 'test_email_deliverability', 'set_email_auto_reply', 'handle_bounce', 'snooze_email', 'import_emails']",3,False,False,,,,[],[]
Campaign performance,get_email_analytics,analyze_email_metrics,False,,356.78625106811523,email_operations,expert,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1677.0,65.0,1742.0,True,"['create_email_campaign', 'get_email_analytics', 'analyze_email_metrics', 'send_bulk_email', 'test_email_deliverability', 'manage_email_template_variables', 'send_template_email', 'manage_email_list', 'get_email_attachments', 'get_email_headers']",2,False,False,,,,[],[]
Verify email domain,configure_email_domain,configure_email_domain,True,,351.1834144592285,email_operations,hard,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1445.0,17.0,1462.0,True,"['verify_email_address', 'verify_email_address', 'configure_email_domain', 'configure_email_domain', 'validate_email', 'test_email_deliverability', 'handle_bounce', 'create_email_signature', 'get_email_headers', 'get_email_status']",3,False,False,,,,[],[]
List bounced emails,handle_bounce,handle_bounce,True,,398.4246253967285,email_operations,hard,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1629.0,26.0,1655.0,True,"['handle_bounce', 'manage_mailing_list', 'restore_archived_email', 'manage_email_list', 'test_email_deliverability', 'import_emails', 'get_email_status', 'snooze_email', 'send_email', 'validate_email']",1,False,False,,,,[],[]
