prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Create weekly activity summary,send_digest_notification,analyze_calendar_usage,False,,403.58662605285645,notification_operations,expert,llama-3.3-70b,,hybrid,2,0,False,False,calendar_operations,"['scheduling_operations', 'calendar_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,,,2357,39,2396,,[],,False,False,,,,[],[]
Verify backup integrity,verify_backup,verify_backup,True,,350.6648540496826,backup_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,backup_operations,"['backup_operations', 'testing_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,,,2542,23,2565,,[],,False,False,,,,[],[]
Label training data,create_labeling_job,create_labeling_job,True,,411.8649959564209,ai_ml_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,ai_ml_operations,"['data_operations', 'video_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,,,3369,60,3429,,[],,False,False,,,,[],[]
Prioritize recent content,boost_search_results,boost_search_results,True,,404.05988693237305,search_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,search_operations,"['search_operations', 'social_media_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,,,3395,42,3437,,[],,False,False,,,,[],[]
Download query results as CSV,export_csv,http_get,False,,583.2488536834717,data_operations,expert,llama-3.3-70b,,hybrid,2,0,False,False,web_operations,"['web_operations', 'database_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,,,4298,69,4367,,[],,False,False,,,,[],[]
Disable trigger,manage_database_triggers,,False,,485.10122299194336,database_operations,expert,llama-3.3-70b,Model did not call any tool,hybrid,2,0,False,,,"['monitoring_operations', 'calendar_operations', 'rate_limiting_operations']",False,False,False,[],,,0,{},,,0,,,2013,84,2097,,[],,False,False,,,,[],[]
Import the SQL dump,restore_database,execute_query,False,,444.23842430114746,database_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,database_operations,"['database_operations', 'backup_operations', 'data_operations']",False,False,False,[],,,0,{},,,0,,,3296,22,3318,,[],,False,False,,,,[],[]
Create cache search index,create_cache_index,create_cache_index,True,,433.03370475769043,caching_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,caching_operations,"['caching_operations', 'search_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,3734,71,3805,,[],,False,False,,,,[],[]
Copy documents to new index,reindex,reindex,True,,361.04893684387207,search_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,search_operations,"['file_operations', 'search_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,,,2918,20,2938,,[],,False,False,,,,[],[]
Enable WebAuthn,configure_passwordless,configure_passwordless,True,,362.7004623413086,authentication_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,authentication_operations,"['authentication_operations', 'social_media_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,,,2768,23,2791,,[],,False,False,,,,[],[]
