prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Create weekly activity summary,send_digest_notification,aggregate_logs,False,,2790.734052658081,notification_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,logging_operations,"['logging_operations', 'analytics_operations', 'calendar_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,4,threshold,906,56,962,False,"['set_working_hours', 'create_dashboard', 'aggregate_logs', 'generate_payment_report']",,False,False,,,,[],[]
Test backup restorability,verify_backup,verify_backup,True,,310.4732036590576,backup_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,backup_operations,"['database_operations', 'backup_operations', 'testing_operations']",False,False,False,[],,,0,{},,,0,5,threshold,924,29,953,True,"['verify_backup', 'verify_backup_alt', 'run_contract_testing', 'restore_database_alt', 'restore_database']",1.0,False,False,,,,[],[]
Create labeling job,create_labeling_job,create_labeling_job,True,,459.89203453063965,ai_ml_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,ai_ml_operations,"['ai_ml_operations', 'workflow_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,4,threshold,1005,53,1058,True,"['make_labeling_job', 'create_labeling_job', 'create_workflow', 'create_kubernetes_resource']",2.0,False,False,,,,[],[]
Prioritize recent content,boost_search_results,boost_search_results,True,,451.7061710357666,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['search_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,3,bounded,618,53,671,True,"['boost_search_results_alt', 'boost_search_results', 'create_cache_index']",2.0,False,False,,,,[],[]
Export the users table to a CSV,export_csv,export_csv,True,,302.07228660583496,data_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,data_operations,['data_operations'],False,False,False,[],,,0,{},,,0,3,threshold,675,33,708,True,"['export_csv', 'export_csv_alt', 'pivot_data']",1.0,False,False,,,,[],[]
Disable trigger,manage_database_triggers,manage_database_triggers,True,,310.0428581237793,database_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,database_operations,"['database_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,3,bounded,774,13,787,True,"['manage_database_triggers_alt', 'manage_database_triggers', 'disable_mfa']",2.0,False,False,,,,[],[]
Recover the database,restore_database,restore_database,True,,60655.59649467468,database_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,3,threshold,612,37,649,True,"['restore_database', 'restore_database_alt', 'execute_query']",1.0,False,False,,,,[],[]
Add full-text search to cache,create_cache_index,create_cache_index,True,,830.1565647125244,caching_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,caching_operations,"['file_operations', 'search_operations', 'caching_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,9,threshold,1637,50,1687,True,"['generate_cache_index', 'create_cache_index', 'search_documents', 'search_messages', 'search_file_content', 'cache_increment', 'manage_search_synonyms', 'boost_search_results_alt', 'boost_search_results']",2.0,False,False,,,,[],[]
Reindex to new version,reindex,reindex,True,,369.2178726196289,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['search_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,3,bounded,594,20,614,True,"['reindex_alt', 'reindex', 'restore_database_alt']",2.0,False,False,,,,[],[]
Set up magic link authentication,configure_passwordless,configure_passwordless,True,,424.4832992553711,authentication_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,5,threshold,1115,21,1136,True,"['configure_passwordless', 'configure_passwordless_alt', 'setup_oauth_provider', 'disable_mfa', 'create_api_key']",1.0,False,False,,,,[],[]
