prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping the server,ping_host,,False,,8926.646709442139,networking_operations,hard,llama3.2:3b,No tool selected in step,clustering,2,0,False,False,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,,,6097,170,6267,,[],,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,list_backups,False,,3905.168294906616,cloud_storage_operations,expert,llama3.2:3b,,clustering,2,0,False,False,backup_operations,['backup_operations'],False,False,False,[],,,0,{},,,0,,,3430,34,3464,,[],,False,False,,,,[],[]
Verify SOC2 compliance,run_compliance_check,generate_compliance_report,False,,4064.5968914031982,compliance_operations,hard,llama3.2:3b,,clustering,2,0,False,True,compliance_operations,['compliance_operations'],False,False,False,[],,,0,{},,,0,,,3451,43,3494,,[],,False,False,,,,[],[]
Get the text content,extract_text,detect_language,False,,5038.401126861572,document_operations,expert,llama3.2:3b,,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,4424,42,4466,,[],,False,False,,,,[],[]
When was the server last rebooted?,get_uptime,get_system_info,False,,4801.666736602783,system_operations,hard,llama3.2:3b,,clustering,2,0,False,True,system_operations,['system_operations'],False,False,False,[],,,0,{},,,0,,,4311,34,4345,,[],,False,False,,,,[],[]
Email the newsletter,send_bulk_email,send_email,False,,16260.329246520996,email_operations,expert,llama3.2:3b,,clustering,6,2,False,True,email_operations,"['text_operations', 'text_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,14188,137,14325,,[],,False,False,,,,[],[]
Disable MFA for user,manage_mfa,disable_mfa,False,,6516.195058822632,authentication_operations,hard,llama3.2:3b,,clustering,2,0,False,True,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,,,5789,42,5831,,[],,False,False,,,,[],[]
Automate onboarding emails,setup_email_automation,setup_email_automation,True,,6730.63325881958,email_operations,expert,llama3.2:3b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,5290,87,5377,,[],,False,False,,,,[],[]
Stop workflow execution,cancel_workflow,detect_language,False,,5020.863056182861,workflow_operations,hard,llama3.2:3b,,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,4422,41,4463,,[],,False,False,,,,[],[]
What is the 10th Fibonacci number?,fibonacci,,False,,9019.428253173828,math_operations,hard,llama3.2:3b,No tool selected in step,clustering,2,0,False,True,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,,,6102,175,6277,,[],,False,False,,,,[],[]
Process an ACH payment,process_ach_transfer,,False,,2164.907217025757,payment_operations,expert,llama3.2:3b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2003,12,2015,,[],,False,False,,,,[],[]
