prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping this address,ping_host,search_text,False,,2865.7541275024414,networking_operations,hard,llama3.2:3b,,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,2305,33,2338,,[],,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,,False,,5894.093990325928,cloud_storage_operations,expert,llama3.2:3b,No tool selected in step,clustering,4,1,False,False,data_operations,"['backup_operations', 'data_operations']",False,False,False,[],,,0,{},,,0,,,4997,60,5057,,[],,False,False,,,,[],[]
Verify SOC2 compliance,run_compliance_check,,False,,14394.296646118164,compliance_operations,hard,llama3.2:3b,No tool selected in step,clustering,10,4,False,True,compliance_operations,"['compliance_operations', 'compliance_operations', 'compliance_operations', 'compliance_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,,,11435,199,11634,,[],,False,False,,,,[],[]
Get the text content,extract_text,search_text,False,,2794.1060066223145,document_operations,expert,llama3.2:3b,,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,2307,33,2340,,[],,False,False,,,,[],[]
Check the uptime,get_uptime,retrieve_uptime,False,,8756.045579910278,system_operations,hard,llama3.2:3b,,clustering,6,2,False,True,system_operations,"['monitoring_operations', 'monitoring_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,6714,134,6848,,[],,False,False,,,,[],[]
Email the newsletter,send_bulk_email,manage_email_list,False,,3583.1427574157715,email_operations,expert,llama3.2:3b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2806,53,2859,,[],,False,False,,,,[],[]
Enable two-factor authentication,manage_mfa,manage_mfa,True,,2997.2259998321533,authentication_operations,hard,llama3.2:3b,,clustering,2,0,False,True,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,,,2496,33,2529,,[],,False,False,,,,[],[]
Automate onboarding emails,setup_email_automation,manage_email_list,False,,3663.5360717773438,email_operations,expert,llama3.2:3b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2810,57,2867,,[],,False,False,,,,[],[]
Terminate the process,cancel_workflow,search_text,False,,2804.9728870391846,workflow_operations,hard,llama3.2:3b,,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,2305,33,2338,,[],,False,False,,,,[],[]
Is 144 a Fibonacci number?,fibonacci,fibonacci_alt,False,,3242.6092624664307,math_operations,hard,llama3.2:3b,,clustering,2,0,False,True,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,,,2673,39,2712,,[],,False,False,,,,[],[]
Initiate bank transfer payment,process_ach_transfer,,False,,2764.4248008728027,payment_operations,expert,llama3.2:3b,No tool selected in step,clustering,2,0,False,True,payment_operations,['payment_operations'],False,False,False,[],,,0,{},,,0,,,2271,33,2304,,[],,False,False,,,,[],[]
Add subscriber to list,manage_email_list,search_text,False,,2809.0567588806152,email_operations,expert,llama3.2:3b,,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,2307,33,2340,,[],,False,False,,,,[],[]
Run the workflow,run_workflow,run_workflow,True,,3128.1352043151855,workflow_operations,expert,llama3.2:3b,,clustering,2,0,False,True,workflow_operations,['workflow_operations'],False,False,False,[],,,0,{},,,0,,,2435,45,2480,,[],,False,False,,,,[],[]
Create a mirror image,flip_image,,False,,5587.981939315796,image_operations,hard,llama3.2:3b,No tool selected in step,clustering,4,1,False,False,text_operations,"['text_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,,,4640,62,4702,,[],,False,False,,,,[],[]
Search stock images,search_images,search_text,False,,2800.1701831817627,search_operations,expert,llama3.2:3b,,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,2305,33,2338,,[],,False,False,,,,[],[]
How many ways to arrange 5 items from 10?,permutation_combination,permutation_combination,True,,3271.5089321136475,math_operations,expert,llama3.2:3b,,clustering,2,0,False,True,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,,,2683,40,2723,,[],,False,False,,,,[],[]
Send message to patient,send_patient_message,send_patient_message,True,,4260.448932647705,healthcare_operations,expert,llama3.2:3b,,clustering,2,0,False,True,healthcare_operations,['healthcare_operations'],False,False,False,[],,,0,{},,,0,,,3044,82,3126,,[],,False,False,,,,[],[]
View container output,get_container_logs,,False,,5582.092046737671,container_operations,expert,llama3.2:3b,No tool selected in step,clustering,4,1,False,False,ai_ml_operations,"['ai_ml_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,,,4578,66,4644,,[],,False,False,,,,[],[]
Create an index on the email column,create_index,backup_database,False,,2888.3161544799805,data_operations,expert,llama3.2:3b,,clustering,2,0,False,False,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,2397,33,2430,,[],,False,False,,,,[],[]
Get metadata for report.pdf in cloud storage,get_cloud_file_info,get_cloud_file_info,True,,3302.9630184173584,cloud_storage_operations,expert,llama3.2:3b,,clustering,2,0,False,True,cloud_storage_operations,['cloud_storage_operations'],False,False,False,[],,,0,{},,,0,,,2542,51,2593,,[],,False,False,,,,[],[]
Get scheduled tasks,list_scheduled_jobs,list_scheduled_jobs,True,,3299.5147705078125,scheduling_operations,expert,llama3.2:3b,,clustering,2,0,False,True,scheduling_operations,['scheduling_operations'],False,False,False,[],,,0,{},,,0,,,2323,63,2386,,[],,False,False,,,,[],[]
Tail the application logs,manage_logs,,False,,4705.321788787842,devops_operations,expert,llama3.2:3b,No tool selected in step,clustering,3,1,False,,,['monitoring_operations'],False,False,False,[],,,0,{},,,0,,,3935,51,3986,,[],,False,False,,,,[],[]
Calculate mutation score,run_mutation_test,geometry,False,,1527.3630619049072,testing_operations,expert,llama3.2:3b,,clustering,2,0,False,False,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,,,2667,32,2699,,[],,False,False,,,,[],[]
Docker build,build_image,,False,,5553.608417510986,container_operations,expert,llama3.2:3b,No tool selected in step,clustering,4,1,False,False,devops_operations,"['devops_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,4542,66,4608,,[],,False,False,,,,[],[]
Check replication status,manage_database_replication,,False,,2813.4992122650146,database_operations,expert,llama3.2:3b,No tool selected in step,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,2305,34,2339,,[],,False,False,,,,[],[]
Insert the user or update if email exists,upsert_record,manage_email_list,False,,3455.933094024658,data_operations,expert,llama3.2:3b,,clustering,2,0,False,False,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2816,44,2860,,[],,False,False,,,,[],[]
Find and delete duplicate records,deduplicate_data,deduplicate_data,True,,3777.0557403564453,data_operations,expert,llama3.2:3b,,clustering,2,0,False,True,data_operations,['data_operations'],False,False,False,[],,,0,{},,,0,,,2826,65,2891,,[],,False,False,,,,[],[]
Clean up invalid tokens,manage_push_subscriptions,,False,,5578.001260757446,notification_operations,expert,llama3.2:3b,No tool selected in step,clustering,4,1,False,False,ai_ml_operations,"['text_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,,,4610,64,4674,,[],,False,False,,,,[],[]
Add a boolean active column to products,add_column,,False,,3060.176134109497,data_operations,expert,llama3.2:3b,No tool selected in step,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,2313,49,2362,,[],,False,False,,,,[],[]
Set up backup replication,replicate_backup,,False,,13369.970798492432,backup_operations,expert,ollama,Max steps (10) reached without selection,clustering,10,5,False,,,"['backup_operations', 'backup_operations', 'backup_operations', 'backup_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,10875,168,11043,,[],,False,False,,,,[],[]
Trim the video to the highlight,trim_video,,False,,5922.54114151001,video_operations,expert,llama3.2:3b,No tool selected in step,clustering,4,1,False,True,video_operations,"['video_operations', 'video_operations']",False,False,False,[],,,0,{},,,0,,,5002,62,5064,,[],,False,False,,,,[],[]
Check firing alerts,get_alert_status,search_text,False,,2800.3742694854736,monitoring_operations,expert,llama3.2:3b,,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,2305,33,2338,,[],,False,False,,,,[],[]
Configure email domain,configure_email_domain,configure_email_domain,True,,3283.8497161865234,email_operations,hard,llama3.2:3b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2806,33,2839,,[],,False,False,,,,[],[]
