prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping this address,ping_host,ping_host,True,,6280.168056488037,networking_operations,hard,llama3.2:3b,,rag,2,0,False,,networking_operations,"['email_operations', 'location_operations', 'system_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,,,2112,48,2160,True,"['ping_host', 'traceroute', 'get_network_interfaces', 'reverse_geocode', 'geocode_address', 'port_scan', 'get_network_info', 'get_email_headers', 'batch_geocode', 'create_geofence']",1.0,False,False,,,,[],[]
Restore file from Glacier,restore_archived_object,restore_archived_object,True,,2954.2148113250732,cloud_storage_operations,expert,llama3.2:3b,,rag,2,0,False,,cloud_storage_operations,"['backup_operations', 'caching_operations', 'cloud_storage_operations', 'database_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,,,2192,53,2245,True,"['restore_archived_object', 'import_cache_data', 'copy_cloud_file', 'restore_cache', 'restore_database', 'write_binary_file', 'sync_buckets', 'restore_backup', 'download_from_cloud', 'restore_database']",1.0,False,False,,,,[],[]
Audit for PCI-DSS,run_compliance_check,run_compliance_check,True,,3013.761043548584,compliance_operations,hard,llama3.2:3b,,rag,2,0,False,,compliance_operations,"['compliance_operations', 'analytics_operations', 'healthcare_operations', 'authentication_operations', 'cloud_storage_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,,,2459,40,2499,True,"['run_compliance_check', 'track_vendor_compliance', 'manage_database_audit', 'track_event', 'analyze_user_journey', 'manage_identity_verification', 'classify_data', 'calculate_metrics', 'enable_access_logging', 'manage_prior_authorization']",1.0,False,False,,,,[],[]
Get the text content,extract_text,extract_text,True,,2708.9364528656006,document_operations,expert,llama3.2:3b,,rag,2,0,False,,document_operations,"['document_operations', 'text_operations', 'web_operations', 'image_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,,,2204,37,2241,True,"['extract_text', 'extract_text_from_document', 'parse_html', 'parse_html', 'ocr_image', 'compare_texts', 'extract_entities', 'decode_text', 'search_file_content', 'extract_keywords']",1.0,False,False,,,,[],[]
When was the server last rebooted?,get_uptime,get_uptime,True,,2632.69305229187,system_operations,hard,llama3.2:3b,,rag,2,0,False,,system_operations,"['system_operations', 'caching_operations', 'authentication_operations', 'devops_operations', 'iot_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,2316,26,2342,True,"['get_uptime', 'manage_service', 'manage_firmware', 'manage_kubernetes_deployment', 'get_system_info', 'configure_cache_replication', 'manage_device_trust', 'manage_cache_policy', 'manage_cache_policy', 'manage_message_queue']",1.0,False,False,,,,[],[]
Send bulk email,send_bulk_email,send_bulk_email,True,,3152.3616313934326,email_operations,expert,llama3.2:3b,,rag,2,0,False,,email_operations,"['email_operations', 'messaging_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,2206,64,2270,True,"['send_bulk_email', 'import_emails', 'send_email', 'export_emails', 'broadcast_message', 'manage_email_list', 'setup_email_automation', 'configure_email_domain', 'test_email_deliverability', 'get_email_headers']",1.0,False,False,,,,[],[]
Enable two-factor authentication,manage_mfa,manage_mfa,True,,2874.8371601104736,authentication_operations,hard,llama3.2:3b,,rag,2,0,False,,authentication_operations,"['security_operations', 'authentication_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,2431,33,2464,True,"['manage_mfa', 'configure_auth_policy', 'authenticate_user', 'verify_otp', 'generate_totp_secret', 'manage_identity_verification', 'manage_device_trust', 'decrypt_data', 'verify_bank_account', 'create_user']",1.0,False,False,,,,[],[]
Automate onboarding emails,setup_email_automation,setup_email_automation,True,,3704.463005065918,email_operations,expert,llama3.2:3b,,rag,2,0,False,,email_operations,"['email_operations', 'notification_operations', 'workflow_operations', 'web_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,2372,90,2462,True,"['setup_email_automation', 'set_auto_response', 'run_workflow', 'send_bulk_email', 'test_email_deliverability', 'manage_email_list', 'import_emails', 'schedule_email_digest', 'send_email', 'create_notification_campaign']",1.0,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,cancel_workflow,True,,2490.6508922576904,workflow_operations,hard,llama3.2:3b,,rag,2,0,False,,workflow_operations,"['ecommerce_operations', 'system_operations', 'queue_operations', 'notification_operations', 'workflow_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,1973,38,2011,True,"['cancel_workflow', 'retry_workflow_step', 'cancel_notification', 'void_payment', 'kill_process', 'purge_queue', 'update_order_status', 'pause_queue', 'create_notification_workflow', 'run_workflow']",1.0,False,False,,,,[],[]
What is the 10th Fibonacci number?,fibonacci,fibonacci,True,,2487.7240657806396,math_operations,hard,llama3.2:3b,,rag,2,0,False,,math_operations,"['math_operations', 'document_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,2216,23,2239,True,"['fibonacci', 'number_base_convert', 'factorial', 'modular_arithmetic', 'logarithm', 'prime_factorization', 'add_page_numbers', 'exponentiation', 'apply_coupon', 'percentage']",1.0,False,False,,,,[],[]
Debit customer's bank account,process_ach_transfer,process_ach_transfer,True,,2961.22670173645,payment_operations,expert,llama3.2:3b,,rag,2,0,False,,payment_operations,"['database_operations', 'payment_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,,,2370,42,2412,True,"['verify_bank_account', 'process_ach_transfer', 'create_payout', 'create_service_account', 'create_invoice', 'get_payment_balance', 'get_payment_status', 'create_virtual_card', 'create_subscription', 'manage_database_audit']",2.0,False,False,,,,[],[]
Clean invalid emails,manage_email_list,,False,,2250.091075897217,email_operations,expert,llama3.2:3b,Model did not call any tool,rag,2,0,False,,,"['email_operations', 'search_operations', 'caching_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,2047,19,2066,True,"['manage_email_list', 'handle_bounce', 'test_email_deliverability', 'import_emails', 'get_email_headers', 'manage_mailing_list', 'send_email', 'cache_invalidate', 'configure_email_domain', 'search_emails']",1.0,False,False,,,,[],[]
