prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Send an email,send_email,,False,,2403.111696243286,email_operations,expert,llama-3.3-70b,"Error code: 400 - {'message': ""Failed to generate tool_calls. Please adjust your prompt. See 'failed_generation' for more details. Exception: No valid function calls generated"", 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': ""send_email(to='recipient@example.com', subject='Test Email', body='This is a test email', from='sender@example.com')""}",adaptive_rag,2,0,False,,,['email_operations'],False,False,False,[],,,0,{},,,0,6,threshold,,,,True,"['send_email', 'snooze_email', 'test_email_deliverability', 'send_template_email', 'send_bulk_email', 'set_email_auto_reply']",1,False,False,,,,[],[]
Send templated email,send_template_email,,False,,688.5316371917725,email_operations,expert,llama-3.3-70b,"Error code: 400 - {'message': ""Failed to generate tool_calls. Please adjust your prompt. See 'failed_generation' for more details. Exception: No valid function calls generated"", 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': 'send_template_email(template=""welcome_email"", to=""user@example.com"", variables=\'{""name"": ""John Doe""}\', locale=""en-US"", from=""support@example.com"")'}",adaptive_rag,2,0,False,,,['email_operations'],False,False,False,[],,,0,{},,,0,8,threshold,,,,True,"['send_template_email', 'create_email_template', 'manage_email_template_variables', 'send_email', 'snooze_email', 'create_email_signature', 'test_email_deliverability', 'send_bulk_email']",1,False,False,,,,[],[]
Create email template,create_email_template,create_email_template,True,,461.1330032348633,email_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,15,bounded,2542.0,41.0,2583.0,True,"['create_email_template', 'manage_email_template_variables', 'send_template_email', 'create_email_signature', 'archive_email', 'create_email_campaign', 'setup_email_automation', 'snooze_email', 'manage_mailing_list', 'test_email_deliverability', 'schedule_email_digest', 'manage_email_list', 'export_emails', 'configure_email_domain', 'send_email']",1,False,False,,,,[],[]
Get delivery status,get_email_status,get_email_status,True,,362.6267910003662,email_operations,medium,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,3,bounded,602.0,19.0,621.0,True,"['get_email_status', 'test_email_deliverability', 'send_email']",1,False,False,,,,[],[]
Update subscriber,manage_mailing_list,manage_mailing_list,True,,475.87108612060547,email_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,15,bounded,2417.0,39.0,2456.0,True,"['snooze_email', 'schedule_email_digest', 'manage_mailing_list', 'manage_email_list', 'set_email_auto_reply', 'restore_archived_email', 'get_email_status', 'setup_email_automation', 'import_emails', 'send_email', 'handle_bounce', 'send_bulk_email', 'verify_email_address', 'verify_email_address', 'configure_email_domain']",3,False,False,,,,[],[]
Send bulk email,send_bulk_email,send_bulk_email,True,,418.956995010376,email_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,15,bounded,2575.0,67.0,2642.0,True,"['send_bulk_email', 'create_email_campaign', 'send_email', 'send_template_email', 'import_emails', 'test_email_deliverability', 'snooze_email', 'setup_email_automation', 'manage_email_list', 'set_email_auto_reply', 'configure_email_domain', 'export_emails', 'manage_mailing_list', 'configure_email_domain', 'verify_email_address']",1,False,False,,,,[],[]
Validate email address,validate_email,validate_email,True,,303.6515712738037,email_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,3,elbow,565.0,27.0,592.0,True,"['verify_email_address', 'verify_email_address', 'validate_email']",3,False,False,,,,[],[]
Campaign performance,get_email_analytics,get_email_analytics,True,,376.894474029541,email_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,15,bounded,2369.0,31.0,2400.0,True,"['create_email_campaign', 'get_email_analytics', 'analyze_email_metrics', 'send_bulk_email', 'test_email_deliverability', 'manage_email_template_variables', 'send_template_email', 'manage_email_list', 'get_email_attachments', 'get_email_headers', 'manage_mailing_list', 'export_emails', 'get_email_status', 'create_email_signature', 'validate_email']",2,False,False,,,,[],[]
Verify email domain,configure_email_domain,configure_email_domain,True,,511.1081600189209,email_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,6,threshold,982.0,17.0,999.0,True,"['verify_email_address', 'verify_email_address', 'configure_email_domain', 'configure_email_domain', 'validate_email', 'test_email_deliverability']",3,False,False,,,,[],[]
List bounced emails,handle_bounce,handle_bounce,True,,484.8446846008301,email_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,15,bounded,2363.0,26.0,2389.0,True,"['handle_bounce', 'manage_mailing_list', 'restore_archived_email', 'manage_email_list', 'test_email_deliverability', 'import_emails', 'get_email_status', 'snooze_email', 'send_email', 'validate_email', 'send_bulk_email', 'get_email_headers', 'verify_email_address', 'verify_email_address', 'export_emails']",1,False,False,,,,[],[]
