prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Test connectivity to IP,ping_host,ping_host,True,,4470.406770706177,networking_operations,hard,llama3.2:3b,,rag,2,0,False,,networking_operations,"['iot_operations', 'email_operations', 'networking_operations', 'ai_ml_operations', 'testing_operations', 'analytics_operations', 'monitoring_operations', 'devops_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,1722,36,1758,True,"['ping_host', 'get_network_info', 'traceroute', 'create_vpn_connection', 'get_coverage', 'run_ab_test', 'run_mutation_test', 'create_ab_test', 'get_pipeline_status', 'test_email_deliverability', 'run_experiment_analysis', 'query_devices', 'get_alert_status', 'create_alert_rule', 'monitor_metrics']",1.0,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,restore_archived_object,True,,2618.0529594421387,cloud_storage_operations,expert,llama3.2:3b,,rag,2,0,False,,cloud_storage_operations,"['cloud_storage_operations', 'backup_operations', 'file_operations', 'ecommerce_operations', 'database_operations', 'caching_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,2003,45,2048,True,"['restore_archived_object', 'configure_storage_transfer', 'replicate_backup', 'backup_database', 'manage_multipart_upload', 'redrive_messages', 'upload_to_cloud', 'compress_files', 'manage_cache_policy', 'cache_warm', 'set_object_lock', 'get_cloud_file_info', 'manage_abandoned_carts', 'list_backups', 'retry_failed_jobs']",1.0,False,False,,,,[],[]
Run compliance check,run_compliance_check,run_compliance_check,True,,2426.658868789673,compliance_operations,hard,llama3.2:3b,,rag,2,0,False,,compliance_operations,"['cloud_storage_operations', 'ai_ml_operations', 'database_operations', 'testing_operations', 'compliance_operations', 'workflow_operations', 'authentication_operations', 'queue_operations', 'rate_limiting_operations', 'monitoring_operations', 'devops_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,1817,44,1861,True,"['run_compliance_check', 'manage_database_audit', 'manage_mfa', 'get_pipeline_status', 'set_object_lock', 'manage_payment_dispute', 'monitor_metrics', 'run_workflow', 'retry_failed_jobs', 'run_mutation_test', 'manage_device_trust', 'run_ab_test', 'whitelist_key', 'run_pipeline', 'create_metric']",1.0,False,False,,,,[],[]
Get the text content,extract_text,extract_text,True,,3524.0871906280518,document_operations,expert,llama3.2:3b,,rag,2,0,False,,document_operations,"['healthcare_operations', 'cloud_storage_operations', 'document_operations', 'ai_ml_operations', 'file_operations', 'messaging_operations', 'web_operations', 'notification_operations', 'text_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,1747,120,1867,True,"['extract_text', 'search_text', 'compare_texts', 'format_text', 'generate_text', 'extract_keywords', 'generate_image', 'get_payment_status', 'web_search', 'read_binary_file', 'get_notification_status', 'check_grammar', 'generate_patient_summary', 'get_cloud_file_info', 'send_in_app_message']",1.0,False,False,,,,[],[]
Check the uptime,get_uptime,get_uptime,True,,2011.4789009094238,system_operations,hard,llama3.2:3b,,rag,2,0,False,,system_operations,"['networking_operations', 'scheduling_operations', 'location_operations', 'notification_operations', 'workflow_operations', 'rate_limiting_operations', 'monitoring_operations', 'calendar_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,1819,18,1837,True,"['get_uptime', 'set_working_hours', 'configure_quiet_hours', 'set_quiet_hours', 'detect_scheduling_conflicts', 'resume_scheduled_job', 'schedule_workflow', 'get_rate_limit_metrics', 'pause_scheduled_job', 'book_room', 'track_location', 'update_event', 'create_metric', 'ping_host', 'create_notification_campaign']",1.0,False,False,,,,[],[]
Email the newsletter,send_bulk_email,send_bulk_email,True,,2911.109685897827,email_operations,expert,llama3.2:3b,,rag,2,0,False,,email_operations,"['healthcare_operations', 'email_operations', 'messaging_operations', 'notification_operations', 'queue_operations', 'social_media_operations']",False,False,False,[],,,0,{},,,0,,,1808,75,1883,True,"['manage_mailing_list', 'manage_email_list', 'test_email_deliverability', 'send_bulk_email', 'configure_email_domain', 'setup_email_automation', 'create_notification_campaign', 'send_patient_message', 'manage_push_subscriptions', 'get_notification_status', 'subscribe_to_queue', 'send_push_notification', 'create_poll', 'create_campaign', 'reply_to_comment']",4.0,False,False,,,,[],[]
Disable MFA for user,manage_mfa,manage_mfa,True,,2254.3280124664307,authentication_operations,hard,llama3.2:3b,,rag,2,0,False,,authentication_operations,"['healthcare_operations', 'cloud_storage_operations', 'file_operations', 'compliance_operations', 'notification_operations', 'secrets_operations', 'authentication_operations', 'rate_limiting_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,1912,27,1939,True,"['manage_mfa', 'manage_device_trust', 'create_service_account', 'authenticate_user', 'create_user', 'set_object_lock', 'whitelist_key', 'configure_quiet_hours', 'run_compliance_check', 'send_patient_message', 'create_throttle_policy', 'delete_secret', 'rotate_keys', 'change_permissions', 'update_allergy_list']",1.0,False,False,,,,[],[]
Create email workflow,setup_email_automation,setup_email_automation,True,,2546.6299057006836,email_operations,expert,llama3.2:3b,,rag,2,0,False,,email_operations,"['healthcare_operations', 'email_operations', 'ai_ml_operations', 'scheduling_operations', 'messaging_operations', 'notification_operations', 'workflow_operations', 'search_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,,,1871,48,1919,True,"['setup_email_automation', 'configure_email_domain', 'manage_email_list', 'create_pipeline', 'test_email_deliverability', 'manage_mailing_list', 'run_workflow', 'send_bulk_email', 'search_emails', 'send_patient_message', 'create_user', 'schedule_workflow', 'set_auto_response', 'create_job_dependency', 'manage_notification_digest']",1.0,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,cancel_workflow,True,,2244.0450191497803,workflow_operations,hard,llama3.2:3b,,rag,2,0,False,,workflow_operations,"['cloud_storage_operations', 'email_operations', 'ai_ml_operations', 'scheduling_operations', 'data_operations', 'messaging_operations', 'notification_operations', 'workflow_operations', 'queue_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,1751,37,1788,True,"['cancel_workflow', 'pause_scheduled_job', 'set_quiet_hours', 'run_workflow', 'configure_quiet_hours', 'manage_message_queue', 'retry_failed_jobs', 'create_pipeline', 'redrive_messages', 'schedule_workflow', 'resume_scheduled_job', 'manage_multipart_upload', 'delete_records', 'manage_payment_dispute', 'setup_email_automation']",1.0,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,2055.4020404815674,math_operations,hard,llama3.2:3b,,rag,2,0,False,,math_operations,"['file_operations', 'ecommerce_operations', 'location_operations', 'text_operations', 'queue_operations', 'math_operations', 'devops_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,1775,23,1798,True,"['fibonacci', 'number_base_convert', 'logarithm', 'permutation_combination', 'search_files', 'manage_ssl_certificate', 'process_ach_transfer', 'prime_factorization', 'create_payout', 'get_disk_usage', 'percentage', 'apply_discount', 'create_fifo_queue', 'search_text', 'calculate_distance']",1.0,False,False,,,,[],[]
