prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Check if this is a real address,validate_address,dns_lookup,False,,2769.5140838623047,location_operations,hard,llama3.2:3b,,clustering,2,0,False,False,web_operations,['web_operations'],False,False,False,[],,,0,{},,,0,,,2288,33,2321,,[],,False,False,,,,[],[]
Set up kit pricing,manage_product_bundles,manage_product_bundles,True,,3348.0329513549805,ecommerce_operations,expert,llama3.2:3b,,clustering,2,0,False,True,ecommerce_operations,['ecommerce_operations'],False,False,False,[],,,0,{},,,0,,,2546,68,2614,,[],,False,False,,,,[],[]
Process queue messages,process_jobs,process_jobs,True,,2749.9308586120605,queue_operations,expert,llama3.2:3b,,clustering,2,0,False,True,queue_operations,['queue_operations'],False,False,False,[],,,0,{},,,0,,,2358,32,2390,,[],,False,False,,,,[],[]
Make a snapshot,create_backup,,False,,5326.977491378784,backup_operations,expert,llama3.2:3b,No tool selected in step,clustering,4,1,False,True,backup_operations,"['backup_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,4536,62,4598,,[],,False,False,,,,[],[]
Import SSL certificate,manage_ssl_certificate,,False,,2047.0170974731445,devops_operations,expert,llama3.2:3b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1783,23,1806,,[],,False,False,,,,[],[]
Set up sales tax,configure_tax_rules,configure_tax_rules,True,,1358.5963249206543,ecommerce_operations,expert,llama3.2:3b,,clustering,2,0,False,True,ecommerce_operations,['ecommerce_operations'],False,False,False,[],,,0,{},,,0,,,2546,42,2588,,[],,False,False,,,,[],[]
Remove processed messages,batch_delete_messages,,False,,7916.792154312134,queue_operations,hard,llama3.2:3b,No tool selected in step,clustering,6,2,False,False,text_operations,"['text_operations', 'text_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,,,6736,91,6827,,[],,False,False,,,,[],[]
Define a user cohort,segment_users,create_view,False,,3073.5018253326416,analytics_operations,expert,llama3.2:3b,,clustering,2,0,False,False,data_operations,['data_operations'],False,False,False,[],,,0,{},,,0,,,2285,67,2352,,[],,False,False,,,,[],[]
Show fee breakdown,calculate_payment_fees,probability,False,,5501.247882843018,payment_operations,expert,llama3.2:3b,,clustering,4,1,False,False,math_operations,"['text_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,,,4665,65,4730,,[],,False,False,,,,[],[]
Create event template,create_event_template,,False,,10710.525274276733,calendar_operations,expert,llama3.2:3b,No tool selected in step,clustering,8,3,False,False,testing_operations,"['document_operations', 'workflow_operations', 'web_operations', 'testing_operations']",False,False,False,[],,,0,{},,,0,,,8980,134,9114,,[],,False,False,,,,[],[]
