prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Test connectivity to IP,ping_host,ping_host,True,,3382.6658725738525,networking_operations,hard,llama3.2:3b,,clustering,2,0,False,True,networking_operations,['networking_operations'],False,False,False,[],,,0,{},,,0,,,2547,52,2599,,[],,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,list_backups,False,,3161.264181137085,cloud_storage_operations,expert,llama3.2:3b,,clustering,2,0,False,False,backup_operations,['backup_operations'],False,False,False,[],,,0,{},,,0,,,2438,48,2486,,[],,False,False,,,,[],[]
Run compliance check,run_compliance_check,,False,,4916.315793991089,compliance_operations,hard,llama3.2:3b,No tool selected in step,clustering,3,1,False,,,['compliance_operations'],False,False,False,[],,,0,{},,,0,,,4288,43,4331,,[],,False,False,,,,[],[]
Get the text content,extract_text,compare_texts,False,,1574.951171875,document_operations,expert,llama3.2:3b,,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,2815,37,2852,,[],,False,False,,,,[],[]
Check the uptime,get_uptime,get_uptime,True,,6102.004289627075,system_operations,hard,llama3.2:3b,,clustering,4,1,False,True,system_operations,"['monitoring_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,5032,69,5101,,[],,False,False,,,,[],[]
Email the newsletter,send_bulk_email,format_text,False,,3606.186866760254,email_operations,expert,llama3.2:3b,,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,2813,53,2866,,[],,False,False,,,,[],[]
Disable MFA for user,manage_mfa,manage_mfa,True,,3226.773977279663,authentication_operations,hard,llama3.2:3b,,clustering,2,0,False,True,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,,,2773,33,2806,,[],,False,False,,,,[],[]
Create email workflow,setup_email_automation,,False,,5321.835279464722,email_operations,expert,llama3.2:3b,No tool selected in step,clustering,3,1,False,,,['web_operations'],False,False,False,[],,,0,{},,,0,,,4659,46,4705,,[],,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,compare_texts,False,,1754.8601627349854,workflow_operations,hard,llama3.2:3b,,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,2813,49,2862,,[],,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,4279.897212982178,math_operations,hard,llama3.2:3b,,clustering,2,0,False,True,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,,,3348,64,3412,,[],,False,False,,,,[],[]
