prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Update session hash,cache_hash_ops,cache_hash_ops,True,,5852.777004241943,caching_operations,hard,llama3.2:3b,,rag,2,0,False,,caching_operations,"['data_operations', 'caching_operations', 'security_operations', 'authentication_operations', 'web_operations', 'cloud_storage_operations', 'secrets_operations']",False,False,False,[],,,0,{},,,0,,,2110,35,2145,True,"['cache_hash_ops', 'http_put', 'reset_password', 'get_secret', 'rotate_secret', 'cache_warm', 'enable_access_logging', 'execute_transaction', 'verify_totp', 'audit_auth_logs']",1,False,False,,,,[],[]
Set up dead letter queue,set_redrive_policy,configure_dead_letter_queue,False,,2528.1739234924316,queue_operations,expert,llama3.2:3b,,rag,2,0,False,,queue_operations,"['testing_operations', 'notification_operations', 'queue_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,2092,39,2131,True,"['set_redrive_policy', 'configure_dead_letter_queue', 'process_jobs', 'get_queue_metrics', 'configure_quiet_hours', 'subscribe_to_queue', 'pin_message', 'run_chaos_testing', 'schedule_recurring', 'send_sms']",1,False,False,,,,[],[]
Turn on request logging,enable_access_logging,enable_access_logging,True,,2969.8193073272705,cloud_storage_operations,expert,llama3.2:3b,,rag,2,0,False,,cloud_storage_operations,"['database_operations', 'logging_operations', 'authentication_operations', 'cloud_storage_operations', 'monitoring_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,2263,56,2319,True,"['enable_access_logging', 'audit_auth_logs', 'create_log_alert', 'create_log_dashboard', 'create_dashboard', 'get_job_status', 'reset_password', 'subscribe_to_queue', 'monitor_database_performance', 'manage_storage_analytics']",1,False,False,,,,[],[]
Group devices by location,create_device_group,create_device_group,True,,3077.5740146636963,iot_operations,expert,llama3.2:3b,,rag,2,0,False,,iot_operations,"['cloud_storage_operations', 'iot_operations', 'social_media_operations', 'messaging_operations', 'calendar_operations']",False,False,False,[],,,0,{},,,0,,,2412,58,2470,True,"['create_device_group', 'simulate_device', 'create_chat_room', 'manage_firmware', 'share_calendar', 'manage_followers', 'manage_user_generated_content', 'manage_storage_notifications', 'sync_calendars', 'send_sms']",1,False,False,,,,[],[]
Search for similar articles,semantic_search,semantic_search,True,,2819.110870361328,ai_ml_operations,expert,llama3.2:3b,,rag,2,0,False,,ai_ml_operations,"['text_operations', 'search_operations', 'web_operations', 'ai_ml_operations', 'ecommerce_operations', 'social_media_operations', 'document_operations', 'messaging_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,,,2243,51,2294,True,"['semantic_search', 'rerank_results', 'extract_keywords', 'find_duplicates', 'search_products', 'archive_conversation', 'scrape_webpage', 'create_product', 'manage_user_generated_content', 'extract_text_from_document']",1,False,False,,,,[],[]
Create a product listing,create_product,create_product,True,,3449.676752090454,ecommerce_operations,expert,llama3.2:3b,,rag,2,0,False,,ecommerce_operations,"['logging_operations', 'search_operations', 'web_operations', 'ecommerce_operations', 'email_operations', 'monitoring_operations', 'iot_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,2309,97,2406,True,"['create_product', 'search_products', 'scrape_webpage', 'rerank_results', 'format_json', 'manage_contact_list', 'create_dashboard', 'send_bulk_email', 'create_device_group', 'create_log_dashboard']",1,False,False,,,,[],[]
Like the message,create_message_reaction,,False,,10249.820232391357,messaging_operations,hard,llama3.2:3b,Model did not call any tool,rag,2,0,False,,,"['notification_operations', 'queue_operations', 'messaging_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,,,2068,672,2740,True,"['pin_message', 'send_sms', 'create_message_reaction', 'configure_dead_letter_queue', 'set_redrive_policy', 'text_to_speech', 'configure_quiet_hours', 'create_chat_room', 'subscribe_to_queue', 'archive_conversation']",3,False,False,,,,[],[]
Find files with the same content in the directory,find_duplicates,find_duplicates,True,,2538.297653198242,file_operations,expert,llama3.2:3b,,rag,2,0,False,,file_operations,"['text_operations', 'security_operations', 'web_operations', 'ai_ml_operations', 'document_operations', 'queue_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,,,2031,41,2072,True,"['find_duplicates', 'extract_archive', 'check_file_signature', 'semantic_search', 'split_document', 'decrypt_file', 'extract_text_from_document', 'get_job_status', 'scrape_webpage', 'count_text']",1,False,False,,,,[],[]
Upload new firmware,manage_firmware,manage_firmware,True,,2890.1619911193848,iot_operations,expert,llama3.2:3b,,rag,2,0,False,,iot_operations,"['security_operations', 'web_operations', 'ecommerce_operations', 'ai_ml_operations', 'iot_operations', 'social_media_operations', 'cloud_storage_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,2362,46,2408,True,"['manage_firmware', 'http_put', 'create_device_group', 'simulate_device', 'detect_data_drift', 'manage_user_generated_content', 'create_product', 'send_sms', 'verify_totp', 'set_object_lock']",1,False,False,,,,[],[]
Check queue throughput,get_queue_metrics,get_queue_metrics,True,,2550.7500171661377,queue_operations,hard,llama3.2:3b,,rag,2,0,False,,queue_operations,"['database_operations', 'monitoring_operations', 'queue_operations', 'testing_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,2099,42,2141,True,"['get_queue_metrics', 'process_jobs', 'set_redrive_policy', 'monitor_database_performance', 'configure_dead_letter_queue', 'get_job_status', 'create_metric', 'configure_quiet_hours', 'subscribe_to_queue', 'run_chaos_testing']",1,False,False,,,,[],[]
