prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Is this address valid?,validate_address,validate_address,True,,654.8342704772949,location_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,location_operations,"['location_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,352,29,381,,[],,False,False,,,,[],[]
List product bundles,manage_product_bundles,manage_product_bundles,True,,643.6469554901123,ecommerce_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,ecommerce_operations,"['ecommerce_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,,,523,19,542,,[],,False,False,,,,[],[]
Process queue messages,process_jobs,process_jobs,True,,499.4509220123291,queue_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,queue_operations,"['queue_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,389,17,406,,[],,False,False,,,,[],[]
Make a snapshot,create_backup,create_backup,True,,774.3887901306152,backup_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,backup_operations,"['backup_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,396,48,444,,[],,False,False,,,,[],[]
Generate SSL certificate for domain,manage_ssl_certificate,manage_ssl_certificate,True,,565.8481121063232,devops_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,devops_operations,"['devops_operations', 'location_operations']",False,False,False,[],,,0,{},,,0,,,352,26,378,,[],,False,False,,,,[],[]
Configure VAT rates,configure_tax_rules,configure_tax_rules,True,,865.9818172454834,ecommerce_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,ecommerce_operations,"['ecommerce_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,536,37,573,,[],,False,False,,,,[],[]
Delete multiple messages,batch_delete_messages,batch_delete_messages,True,,680.7210445404053,queue_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,queue_operations,"['queue_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,396,33,429,,[],,False,False,,,,[],[]
Create an audience segment,segment_users,segment_users,True,,735.6297969818115,analytics_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,analytics_operations,"['analytics_operations', 'calendar_operations']",False,False,False,[],,,0,{},,,0,,,367,39,406,,[],,False,False,,,,[],[]
Show fee breakdown,calculate_payment_fees,calculate_payment_fees,True,,875.953197479248,payment_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,payment_operations,"['payment_operations', 'ecommerce_operations']",False,False,False,[],,,0,{},,,0,,,536,39,575,,[],,False,False,,,,[],[]
Save meeting template,create_event_template,create_event_template,True,,1165.421962738037,calendar_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,calendar_operations,"['calendar_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,386,80,466,,[],,False,False,,,,[],[]
