prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Analyze user journey,analyze_user_journey,analyze_user_journey,True,,5846.868276596069,analytics_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,analytics_operations,"['calendar_operations', 'notification_operations', 'workflow_operations', 'devops_operations', 'logging_operations', 'analytics_operations', 'database_operations', 'location_operations', 'web_operations', 'social_media_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,20,bounded,5363,49,5412,True,"['analyze_user_journey', 'create_funnel_analysis', 'track_event', 'analyze_calendar_usage', 'compute_attribution', 'extract_features', 'create_funnel', 'get_notification_analytics', 'get_workflow_metrics', 'track_brand_mentions', 'analyze_database_performance', 'cluster_data', 'ab_test_analyze', 'manage_followers', 'forecast_metric', 'calculate_elevation', 'get_place_details', 'monitor_metrics', 'aggregate_logs', 'sitemap_parse']",1,False,False,,,,[],[]
Delete the unused field from the table,drop_column,drop_column,True,,646.794319152832,data_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,data_operations,"['payment_operations', 'caching_operations', 'text_operations', 'testing_operations', 'logging_operations', 'authentication_operations', 'document_operations', 'messaging_operations', 'data_operations', 'location_operations', 'ecommerce_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,20,bounded,5362,24,5386,True,"['drop_column', 'truncate_table', 'import_data', 'clone_table', 'flatten_form_fields', 'trim_text', 'manage_cart', 'vacuum_database', 'set_log_retention', 'manage_cart', 'revoke_api_key', 'cache_hash_ops', 'redact_document', 'manage_test_data', 'manage_contact_list', 'manage_subscriptions', 'create_invoice', 'get_place_details', 'create_view', 'export_data']",1,False,False,,,,[],[]
Create an API key,create_api_key,create_api_key,True,,553.3885955810547,authentication_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,authentication_operations,"['calendar_operations', 'payment_operations', 'notification_operations', 'system_operations', 'security_operations', 'secrets_operations', 'cloud_storage_operations', 'authentication_operations', 'messaging_operations', 'document_operations', 'web_operations', 'ecommerce_operations']",False,False,False,[],,,0,{},,,0,20,bounded,5978,56,6034,True,"['create_api_key', 'revoke_api_key', 'generate_keypair', 'rotate_keys', 'generate_jwt', 'create_user', 'manage_oauth', 'oauth_authenticate', 'curl_request', 'configure_passwordless', 'set_environment_variable', 'set_secret_policy', 'send_telegram_message', 'create_payment_link', 'register_device', 'configure_notification_channel', 'create_bucket', 'create_calendar', 'add_digital_signature', 'create_product']",1,False,False,,,,[],[]
Create public and private keys,generate_keypair,generate_keypair,True,,630.1479339599609,security_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,security_operations,"['payment_operations', 'security_operations', 'secrets_operations', 'cloud_storage_operations', 'authentication_operations', 'data_operations', 'document_operations', 'location_operations', 'ecommerce_operations', 'social_media_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,20,bounded,5868,25,5893,True,"['generate_keypair', 'create_api_key', 'rotate_keys', 'create_user', 'add_digital_signature', 'revoke_api_key', 'create_bucket', 'generate_jwt', 'create_payment_link', 'set_secret_policy', 'redact_document', 'configure_passwordless', 'manage_oauth', 'create_backup', 'clone_table', 'create_product', 'create_invoice', 'run_social_contest', 'hash_password', 'validate_address']",1,False,False,,,,[],[]
Set the folder permissions to 755,change_permissions,change_permissions,True,,512.3705863952637,file_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,file_operations,"['notification_operations', 'system_operations', 'security_operations', 'file_operations', 'math_operations', 'secrets_operations', 'cloud_storage_operations', 'authentication_operations', 'healthcare_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,20,bounded,5669,18,5687,True,"['change_permissions', 'set_owner', 'set_secret_policy', 'create_user', 'sync_directory', 'create_bucket', 'set_environment_variable', 'manage_notification_preferences', 'manage_oauth', 'create_api_key', 'generate_jwt', 'list_directory', 'revoke_api_key', 'percentage', 'order_imaging_study', 'configure_notification_channel', 'oauth_authenticate', 'rotate_keys', 'configure_passwordless', 'permutation_combination']",1,False,False,,,,[],[]
Truncate the sessions table,truncate_table,truncate_table,True,,511.6770267486572,data_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,data_operations,"['scheduling_operations', 'system_operations', 'caching_operations', 'devops_operations', 'text_operations', 'logging_operations', 'authentication_operations', 'analytics_operations', 'healthcare_operations', 'data_operations', 'ecommerce_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,20,bounded,5389,22,5411,True,"['truncate_table', 'drop_column', 'cache_hash_ops', 'set_log_retention', 'manage_cart', 'import_data', 'kill_process', 'manage_cart', 'vacuum_database', 'manage_container', 'manage_database_connection_pool', 'trim_text', 'restore_cache', 'generate_discharge_summary', 'pause_scheduled_job', 'manage_cache_locks', 'revoke_api_key', 'manage_subscriptions', 'run_analytics_query', 'manage_oauth']",1,False,False,,,,[],[]
Import users from Azure AD,sync_directory,sync_directory,True,,741.0495281219482,authentication_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,authentication_operations,"['caching_operations', 'email_operations', 'secrets_operations', 'cloud_storage_operations', 'analytics_operations', 'authentication_operations', 'database_operations', 'messaging_operations', 'data_operations', 'ecommerce_operations', 'social_media_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,20,bounded,5778,97,5875,True,"['sync_directory', 'export_cache_data', 'create_user', 'manage_social_ads', 'compute_attribution', 'set_secret_policy', 'manage_oauth', 'import_data', 'extract_features', 'calculate_storage_cost', 'create_email_campaign', 'create_api_key', 'export_data', 'manage_contact_list', 'manage_subscriptions', 'setup_email_automation', 'create_funnel_analysis', 'copy_cloud_file', 'ab_test_analyze', 'configure_passwordless']",1,False,False,,,,[],[]
Set up a recurring task,schedule_task,schedule_task,True,,981.391191482544,system_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,system_operations,"['scheduling_operations', 'calendar_operations', 'notification_operations', 'system_operations', 'payment_operations', 'workflow_operations', 'devops_operations', 'email_operations', 'queue_operations', 'healthcare_operations', 'iot_operations', 'ecommerce_operations']",False,False,False,[],,,0,{},,,0,20,bounded,5569,49,5618,True,"['create_scheduled_job', 'schedule_task', 'schedule_workflow', 'schedule_follow_up', 'pause_scheduled_job', 'resume_scheduled_job', 'update_job_schedule', 'set_email_auto_reply', 'create_calendar', 'schedule_meeting_poll', 'configure_auto_scaling', 'manage_subscriptions', 'create_notification_campaign', 'setup_email_automation', 'manage_iot_jobs', 'analyze_calendar_usage', 'set_environment_variable', 'send_digest_notification', 'retry_failed_jobs', 'create_invoice']",2,False,False,,,,[],[]
Add picture-in-picture,add_video_overlay,add_video_overlay,True,,1106.9514751434326,video_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,video_operations,"['image_operations', 'file_operations', 'cloud_storage_operations', 'healthcare_operations', 'messaging_operations', 'video_operations', 'location_operations', 'ecommerce_operations', 'social_media_operations']",False,False,False,[],,,0,{},,,0,20,bounded,6339,52,6391,True,"['create_collage', 'create_thumbnail', 'add_video_overlay', 'create_video_slideshow', 'add_watermark', 'detect_objects', 'detect_faces', 'create_video_thumbnail', 'get_static_map', 'convert_image_format', 'send_rich_media_message', 'order_imaging', 'add_watermark', 'remove_background', 'create_product', 'post_content', 'manage_storage_notifications', 'reply_to_comment', 'rename_files_batch', 'order_imaging_study']",3,False,False,,,,[],[]
How many characters are in the string?,count_text,count_text,True,,917.1431064605713,text_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,text_operations,"['search_operations', 'system_operations', 'audio_operations', 'security_operations', 'file_operations', 'caching_operations', 'math_operations', 'text_operations', 'queue_operations', 'social_media_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,20,bounded,5442,22,5464,True,"['count_text', 'generate_text', 'trim_text', 'extract_text', 'replace_text', 'generate_lorem_ipsum', 'permutation_combination', 'post_content', 'join_text', 'generate_keypair', 'check_grammar', 'summarize_text', 'text_to_speech', 'search_code', 'compress_decompress', 'hash_password', 'text_to_speech', 'calculate_checksum', 'cache_hash_ops', 'batch_send_messages']",1,False,False,,,,[],[]
