prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping this address,ping_host,ping_host,True,,3808.643579483032,networking_operations,hard,llama3.2:3b,,rag,2,0,False,,networking_operations,"['messaging_operations', 'system_operations', 'location_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,,,1000,23,1023,True,"['ping_host', 'traceroute', 'port_scan', 'get_network_info', 'geocode_address', 'get_network_interfaces', 'validate_address', 'reverse_geocode', 'validate_address', 'send_discord_message']",1.0,False,False,,,,[],[]
Restore file from Glacier,restore_archived_object,restore_archived_object,True,,1959.684133529663,cloud_storage_operations,expert,llama3.2:3b,,rag,2,0,False,,cloud_storage_operations,"['caching_operations', 'database_operations', 'cloud_storage_operations', 'file_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,1239,51,1290,True,"['restore_archived_object', 'restore_cache', 'restore_database', 'copy_cloud_file', 'import_cache_data', 'restore_database', 'restore_backup', 'download_from_cloud', 'upload_to_cloud', 'extract_archive']",1.0,False,False,,,,[],[]
Audit for PCI-DSS,run_compliance_check,manage_database_audit,False,,1841.987133026123,compliance_operations,hard,llama3.2:3b,,rag,2,0,False,,database_operations,"['security_operations', 'compliance_operations', 'monitoring_operations', 'cloud_storage_operations', 'database_operations', 'authentication_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,1320,40,1360,True,"['manage_database_audit', 'run_compliance_check', 'scan_vulnerabilities', 'enable_access_logging', 'track_vendor_compliance', 'monitor_metrics', 'classify_data', 'manage_identity_verification', 'create_metric', 'setup_monitoring_alert']",2.0,False,False,,,,[],[]
Get the text content,extract_text,extract_text,True,,1721.1191654205322,document_operations,expert,llama3.2:3b,,rag,2,0,False,,document_operations,"['file_operations', 'document_operations', 'web_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,,,1030,50,1080,True,"['extract_text_from_document', 'extract_text', 'decode_text', 'search_text', 'search_file_content', 'trim_text', 'compare_texts', 'extract_entities', 'parse_html', 'format_text']",2.0,False,False,,,,[],[]
When was the server last rebooted?,get_uptime,get_uptime,True,,1419.658899307251,system_operations,hard,llama3.2:3b,,rag,2,0,False,,system_operations,"['caching_operations', 'cloud_storage_operations', 'iot_operations', 'system_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1021,30,1051,True,"['get_uptime', 'warm_cache', 'get_current_datetime', 'enable_access_logging', 'restore_cache', 'retry_failed_jobs', 'configure_cache_persistence', 'get_system_info', 'get_network_info', 'manage_firmware']",1.0,False,False,,,,[],[]
Send bulk email,send_bulk_email,send_bulk_email,True,,2130.479097366333,email_operations,expert,llama3.2:3b,,rag,2,0,False,,email_operations,"['search_operations', 'messaging_operations', 'web_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,1211,64,1275,True,"['send_bulk_email', 'send_email', 'import_emails', 'broadcast_message', 'test_email_deliverability', 'bulk_index', 'setup_email_automation', 'manage_email_list', 'configure_email_domain', 'export_emails']",1.0,False,False,,,,[],[]
Enable two-factor authentication,manage_mfa,manage_mfa,True,,1568.345069885254,authentication_operations,hard,llama3.2:3b,,rag,2,0,False,,authentication_operations,"['security_operations', 'authentication_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,1360,18,1378,True,"['manage_mfa', 'generate_totp_secret', 'verify_otp', 'configure_auth_policy', 'manage_identity_verification', 'manage_device_trust', 'authenticate_user', 'manage_prior_authorization', 'manage_oauth', 'verify_password_hash']",1.0,False,False,,,,[],[]
Automate onboarding emails,setup_email_automation,setup_email_automation,True,,2263.079881668091,email_operations,expert,llama3.2:3b,,rag,2,0,False,,email_operations,"['messaging_operations', 'web_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,1367,63,1430,True,"['setup_email_automation', 'import_emails', 'test_email_deliverability', 'set_auto_response', 'schedule_email_digest', 'export_emails', 'send_bulk_email', 'send_email', 'schedule_message', 'manage_email_list']",1.0,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,cancel_workflow,True,,1432.0030212402344,workflow_operations,hard,llama3.2:3b,,rag,2,0,False,,workflow_operations,"['calendar_operations', 'workflow_operations', 'scheduling_operations', 'system_operations', 'payment_operations', 'queue_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,1035,31,1066,True,"['cancel_workflow', 'retry_workflow_step', 'cancel_notification', 'kill_process', 'run_workflow', 'void_payment', 'pause_scheduled_job', 'schedule_workflow', 'purge_queue', 'delete_event']",1.0,False,False,,,,[],[]
What is the 10th Fibonacci number?,fibonacci,fibonacci,True,,1279.0722846984863,math_operations,hard,llama3.2:3b,,rag,2,0,False,,math_operations,"['document_operations', 'caching_operations', 'queue_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,,,1003,23,1026,True,"['fibonacci', 'modular_arithmetic', 'factorial', 'number_base_convert', 'prime_factorization', 'add_page_numbers', 'exponentiation', 'logarithm', 'cache_increment', 'create_fifo_queue']",1.0,False,False,,,,[],[]
Debit customer's bank account,process_ach_transfer,process_ach_transfer,True,,1554.0783405303955,payment_operations,expert,llama3.2:3b,,rag,2,0,False,,payment_operations,"['payment_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,,,1083,36,1119,True,"['verify_bank_account', 'get_payment_balance', 'process_ach_transfer', 'create_payout', 'create_invoice', 'create_service_account', 'manage_payment_dispute', 'get_payment_status', 'void_payment', 'create_user']",3.0,False,False,,,,[],[]
Clean invalid emails,manage_email_list,import_emails,False,,1681.2915802001953,email_operations,expert,llama3.2:3b,,rag,2,0,False,,email_operations,"['search_operations', 'caching_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,1132,41,1173,True,"['handle_bounce', 'test_email_deliverability', 'import_emails', 'cache_invalidate', 'search_emails', 'send_bulk_email', 'manage_mailing_list', 'manage_email_list', 'configure_email_domain', 'export_emails']",8.0,False,False,,,,[],[]
Run the workflow,run_workflow,run_workflow,True,,1648.1549739837646,workflow_operations,expert,llama3.2:3b,,rag,2,0,False,,workflow_operations,"['workflow_operations', 'scheduling_operations', 'email_operations', 'ai_ml_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,1170,36,1206,True,"['run_workflow', 'create_notification_workflow', 'retry_workflow_step', 'cancel_workflow', 'setup_email_automation', 'schedule_workflow', 'create_job_dependency', 'run_job_now', 'create_pipeline', 'create_scheduled_job']",1.0,False,False,,,,[],[]
Create a mirror image,flip_image,flip_image,True,,1594.174861907959,image_operations,hard,llama3.2:3b,,rag,2,0,False,,image_operations,"['container_operations', 'search_operations', 'ai_ml_operations', 'image_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,1221,29,1250,True,"['flip_image', 'generate_image', 'create_collage', 'create_gif', 'overlay_images', 'replicate_backup', 'build_image', 'search_images', 'push_image', 'ocr_image']",1.0,False,False,,,,[],[]
Find photos of beaches,search_images,search_images,True,,1953.658103942871,search_operations,expert,llama3.2:3b,,rag,2,0,False,,search_operations,"['location_operations', 'container_operations', 'search_operations', 'cloud_storage_operations', 'iot_operations', 'ai_ml_operations', 'image_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,1158,56,1214,True,"['search_images', 'build_image', 'get_cloud_file_info', 'generate_image', 'manage_container_registry', 'push_image', 'manage_container_registry', 'search_places', 'ocr_image', 'query_devices']",1.0,False,False,,,,[],[]
Calculate 52 choose 5,permutation_combination,permutation_combination,True,,1581.333875656128,math_operations,expert,llama3.2:3b,,rag,2,0,False,,math_operations,"['ecommerce_operations', 'video_operations', 'calendar_operations', 'math_operations', 'social_media_operations']",False,False,False,[],,,0,{},,,0,,,1185,31,1216,True,"['permutation_combination', 'permutation_combination', 'factorial', 'calculate_shipping', 'trigonometry', 'ratio_proportion', 'create_poll', 'schedule_meeting_poll', 'percentage', 'apply_color_grading']",1.0,False,False,,,,[],[]
Message patient through portal,send_patient_message,send_patient_message,True,,1674.8759746551514,healthcare_operations,expert,llama3.2:3b,,rag,2,0,False,,healthcare_operations,"['messaging_operations', 'healthcare_operations', 'notification_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1199,35,1234,True,"['send_patient_message', 'send_discord_message', 'send_in_app_message', 'manage_message_queue', 'set_presence_status', 'change_message_visibility', 'redrive_messages', 'send_telegram_message', 'batch_delete_messages', 'manage_notification_channel']",1.0,False,False,,,,[],[]
Get container logs,get_container_logs,get_container_logs,True,,1999.8517036437988,container_operations,expert,llama3.2:3b,,rag,2,0,False,,container_operations,"['container_operations', 'search_operations', 'cloud_storage_operations', 'logging_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,1203,56,1259,True,"['get_container_logs', 'list_containers', 'parse_log_pattern', 'manage_logs', 'enable_access_logging', 'manage_container_registry', 'manage_container_registry', 'search_logs', 'search_logs', 'export_logs']",1.0,False,False,,,,[],[]
Create a composite index on user_id and created_at,create_index,create_index,True,,1894.5610523223877,data_operations,expert,llama3.2:3b,,rag,2,0,False,,data_operations,"['security_operations', 'search_operations', 'system_operations', 'authentication_operations', 'analytics_operations', 'data_operations']",False,False,False,[],,,0,{},,,0,,,1171,51,1222,True,"['create_user', 'create_index', 'generate_uuid', 'authenticate_user', 'create_service_account', 'segment_users', 'segment_users', 'generate_totp_secret', 'create_cohort', 'personalize_search']",2.0,False,False,,,,[],[]
Show info about the uploaded document,get_cloud_file_info,compare_documents,False,,1655.958890914917,cloud_storage_operations,expert,llama3.2:3b,,rag,2,0,False,,document_operations,"['cloud_storage_operations', 'file_operations', 'document_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,1165,37,1202,True,"['get_cloud_file_info', 'upload_file', 'upload_file', 'flatten_pdf', 'compare_documents', 'manage_multipart_upload', 'upload_to_cloud', 'get_disk_usage', 'get_disk_usage', 'search_file_content']",1.0,False,False,,,,[],[]
View active jobs,list_scheduled_jobs,list_scheduled_jobs,True,,1791.4941310882568,scheduling_operations,expert,llama3.2:3b,,rag,2,0,False,,scheduling_operations,"['scheduling_operations', 'calendar_operations', 'healthcare_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1164,46,1210,True,"['list_scheduled_jobs', 'run_job_now', 'resume_scheduled_job', 'enqueue_job', 'pause_scheduled_job', 'process_jobs', 'schedule_appointment', 'set_working_hours', 'create_scheduled_job', 'create_job_dependency']",1.0,False,False,,,,[],[]
