prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Trace user flow,analyze_user_journey,analyze_user_journey,True,,2617.4144744873047,analytics_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,analytics_operations,"['caching_operations', 'devops_operations', 'database_operations', 'security_operations', 'document_operations', 'messaging_operations', 'payment_operations', 'file_operations', 'calendar_operations', 'email_operations', 'logging_operations', 'text_operations', 'healthcare_operations', 'analytics_operations', 'ai_ml_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3815,48,3863,True,"['analyze_user_journey', 'create_funnel_analysis', 'compute_attribution', 'process_ach_transfer', 'monitor_metrics', 'analyze_calendar_usage', 'aggregate_logs', 'manage_cache_locks', 'analyze_database_performance', 'hash_password', 'sync_directory', 'get_features', 'setup_email_automation', 'count_text', 'cache_hash_ops', 'redact_document', 'manage_contact_list', 'change_permissions', 'generate_discharge_summary', 'export_cache_data']",1,False,False,,,,[],[]
Drop the old_status column,drop_column,drop_column,True,,326.19643211364746,data_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,data_operations,"['data_operations', 'ecommerce_operations']",False,False,False,[],,,0,{},,,0,3,elbow,591,25,616,True,"['drop_column', 'update_order_status', 'truncate_table']",1,False,False,,,,[],[]
Set up API authentication,create_api_key,create_api_key,True,,341.4306640625,authentication_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,3,elbow,637,60,697,True,"['create_api_key', 'configure_passwordless', 'revoke_api_key']",1,False,False,,,,[],[]
Generate an RSA key pair,generate_keypair,generate_keypair,True,,452.29053497314453,security_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,security_operations,"['caching_operations', 'security_operations', 'testing_operations', 'document_operations', 'calendar_operations', 'email_operations', 'video_operations', 'text_operations', 'ecommerce_operations', 'analytics_operations', 'ai_ml_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3774,25,3799,True,"['generate_keypair', 'create_api_key', 'rotate_keys', 'configure_passwordless', 'hash_password', 'revoke_api_key', 'manage_test_data', 'cache_hash_ops', 'text_to_speech', 'create_video_thumbnail', 'create_product', 'create_funnel_analysis', 'schedule_meeting_poll', 'setup_email_automation', 'summarize_text', 'redact_document', 'sync_directory', 'compute_attribution', 'create_video_slideshow', 'configure_email_domain']",1,False,False,,,,[],[]
Set the folder permissions to 755,change_permissions,change_permissions,True,,469.4676399230957,file_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,file_operations,"['caching_operations', 'security_operations', 'file_operations', 'document_operations', 'audio_operations', 'ecommerce_operations', 'authentication_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,15,threshold,2913,21,2934,True,"['change_permissions', 'sync_directory', 'revoke_api_key', 'configure_passwordless', 'create_api_key', 'redact_document', 'hash_password', 'rotate_keys', 'manage_cache_locks', 'geometry', 'change_audio_speed', 'matrix_operations', 'generate_keypair', 'export_cache_data', 'create_product']",1,False,False,,,,[],[]
Remove all rows from the cache table,truncate_table,truncate_table,True,,393.5384750366211,data_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,data_operations,"['caching_operations', 'security_operations', 'database_operations', 'file_operations', 'document_operations', 'messaging_operations', 'data_operations', 'authentication_operations', 'search_operations', 'logging_operations', 'ecommerce_operations', 'text_operations', 'audio_operations', 'queue_operations', 'testing_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3352,22,3374,True,"['truncate_table', 'export_cache_data', 'cache_hash_ops', 'drop_column', 'manage_cache_locks', 'revoke_api_key', 'manage_test_data', 'bulk_index', 'rotate_keys', 'analyze_database_performance', 'matrix_operations', 'batch_send_messages', 'update_order_status', 'redact_document', 'change_permissions', 'aggregate_logs', 'hash_password', 'summarize_text', 'manage_contact_list', 'change_audio_speed']",1,False,False,,,,[],[]
Run directory sync,sync_directory,sync_directory,True,,453.9661407470703,authentication_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,authentication_operations,"['caching_operations', 'testing_operations', 'devops_operations', 'file_operations', 'messaging_operations', 'document_operations', 'database_operations', 'system_operations', 'calendar_operations', 'email_operations', 'search_operations', 'video_operations', 'ecommerce_operations', 'healthcare_operations', 'queue_operations', 'authentication_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3537,85,3622,True,"['sync_directory', 'export_cache_data', 'schedule_task', 'change_permissions', 'manage_cache_locks', 'schedule_follow_up', 'update_order_status', 'cache_hash_ops', 'manage_test_data', 'loop_video', 'bulk_index', 'setup_email_automation', 'manage_contact_list', 'compare_documents', 'configure_passwordless', 'schedule_meeting_poll', 'monitor_metrics', 'matrix_operations', 'analyze_database_performance', 'batch_send_messages']",1,False,False,,,,[],[]
Create a cron job for the cleanup script,schedule_task,schedule_task,True,,795.9070205688477,system_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,system_operations,"['caching_operations', 'devops_operations', 'security_operations', 'payment_operations', 'system_operations', 'calendar_operations', 'email_operations', 'data_operations', 'authentication_operations', 'search_operations', 'ecommerce_operations', 'healthcare_operations', 'queue_operations', 'testing_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3519,47,3566,True,"['schedule_task', 'setup_email_automation', 'truncate_table', 'schedule_follow_up', 'update_order_status', 'batch_send_messages', 'monitor_metrics', 'manage_test_data', 'cache_hash_ops', 'process_ach_transfer', 'export_cache_data', 'revoke_api_key', 'drop_column', 'bulk_index', 'rotate_keys', 'schedule_meeting_poll', 'sync_directory', 'create_api_key', 'generate_discharge_summary', 'create_product']",1,False,False,,,,[],[]
Add picture-in-picture,add_video_overlay,add_video_overlay,True,,662.3165607452393,video_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,video_operations,"['security_operations', 'file_operations', 'document_operations', 'messaging_operations', 'payment_operations', 'system_operations', 'email_operations', 'audio_operations', 'video_operations', 'ecommerce_operations', 'healthcare_operations', 'queue_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3885,53,3938,True,"['add_video_overlay', 'add_watermark', 'create_video_slideshow', 'create_video_thumbnail', 'loop_video', 'schedule_follow_up', 'geometry', 'submit_insurance_claim', 'process_ach_transfer', 'matrix_operations', 'create_product', 'change_permissions', 'configure_email_domain', 'schedule_task', 'change_audio_speed', 'hash_password', 'update_order_status', 'financial_calculation', 'manage_contact_list', 'batch_send_messages']",1,False,False,,,,[],[]
Count the number of words in this text,count_text,count_text,True,,697.6962089538574,text_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,text_operations,"['devops_operations', 'messaging_operations', 'document_operations', 'payment_operations', 'calendar_operations', 'logging_operations', 'search_operations', 'text_operations', 'data_operations', 'ecommerce_operations', 'healthcare_operations', 'analytics_operations', 'queue_operations', 'ai_ml_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3738,23,3761,True,"['count_text', 'summarize_text', 'classify_text', 'aggregate_logs', 'truncate_table', 'text_to_speech', 'bulk_index', 'generate_discharge_summary', 'batch_send_messages', 'financial_calculation', 'manage_contact_list', 'update_order_status', 'redact_document', 'compare_documents', 'monitor_metrics', 'compute_attribution', 'add_watermark', 'create_product', 'process_ach_transfer', 'analyze_calendar_usage']",1,False,False,,,,[],[]
