prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Notify when device goes offline,configure_device_alert,,False,,8455.724000930786,iot_operations,expert,llama3.2:3b,Model did not call any tool,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,368,4464,,[],,False,False,,,,[],[]
Generate monthly social report,generate_report,,False,,7248.733043670654,social_media_operations,expert,llama3.2:3b,Model did not call any tool,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,214,4310,,[],,False,False,,,,[],[]
Complete discharge documentation,generate_discharge_summary,,False,,5103.1763553619385,healthcare_operations,expert,llama3.2:3b,Model did not call any tool,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,72,4168,,[],,False,False,,,,[],[]
Write a tweet about our new feature,generate_content,,False,,4979.145765304565,social_media_operations,expert,llama3.2:3b,Model did not call any tool,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,66,4162,,[],,False,False,,,,[],[]
Archive completed records,archive_data,,False,,6463.4058475494385,data_operations,expert,llama3.2:3b,Model did not call any tool,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,195,4291,,[],,False,False,,,,[],[]
What is the 10th Fibonacci number?,fibonacci,,False,,6439.824104309082,math_operations,hard,llama3.2:3b,Model did not call any tool,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,194,4290,,[],,False,False,,,,[],[]
Validate the card before charging,verify_payment_method,,False,,8138.174772262573,payment_operations,expert,llama3.2:3b,Model did not call any tool,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,345,4441,,[],,False,False,,,,[],[]
Check lock status,manage_cache_locks,,False,,6457.766771316528,caching_operations,expert,llama3.2:3b,Model did not call any tool,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,198,4294,,[],,False,False,,,,[],[]
Give me walking directions to the restaurant,get_directions,,False,,6515.988826751709,location_operations,expert,llama3.2:3b,Model did not call any tool,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,202,4298,,[],,False,False,,,,[],[]
Generate SHA256 hash of 'hello world',hash_data,,False,,5234.293699264526,system_operations,hard,llama3.2:3b,Model did not call any tool,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,91,4187,,[],,False,False,,,,[],[]
