prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Please send a digest notification. Send daily digest email,send_digest_notification,send_digest_notification,True,,9474.801301956177,notification_operations,expert,llama-3.3-70b,,rag,2,0,False,,notification_operations,"['notification_operations', 'email_operations', 'messaging_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,2204,52,2256,True,"['schedule_email_digest', 'send_digest_notification', 'manage_notification_digest', 'snooze_email', 'schedule_message', 'schedule_notification', 'send_email', 'send_push_notification', 'configure_notification_channel', 'send_rich_media_message']",2,False,False,,,,[],[]
I need to verify the integrity of a backup. Test backup restorability,verify_backup,verify_backup,True,,427.78468132019043,backup_operations,hard,llama-3.3-70b,,rag,2,0,False,,backup_operations,"['testing_operations', 'security_operations', 'backup_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,1720,30,1750,True,"['verify_backup', 'create_backup', 'list_backups', 'replicate_backup', 'restore_backup', 'verify_signature', 'run_contract_testing', 'export_backup', 'verify_email_address', 'verify_password_hash']",1,False,False,,,,[],[]
I need to create a data labeling job. Label training data,create_labeling_job,create_labeling_job,True,,451.23791694641113,ai_ml_operations,expert,llama-3.3-70b,,rag,2,0,False,,ai_ml_operations,"['ai_ml_operations', 'queue_operations', 'data_operations', 'audio_operations', 'scheduling_operations']",False,False,False,[],,,0,{},,,0,,,1808,59,1867,True,"['create_labeling_job', 'train_model', 'resume_scheduled_job', 'generate_text', 'update_job_schedule', 'insert_record', 'record_audio', 'process_jobs', 'run_job_now', 'sample_data']",1,False,False,,,,[],[]
I need to boost search results. Increase relevance of popular items,boost_search_results,boost_search_results,True,,364.2261028289795,search_operations,expert,llama-3.3-70b,,rag,2,0,False,,search_operations,"['web_operations', 'caching_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,,,1839,47,1886,True,"['boost_search_results', 'rerank_results', 'personalize_search', 'create_cache_index', 'log_search_event', 'web_search', 'manage_search_synonyms', 'search_typeahead', 'search_products', 'get_suggestions']",1,False,False,,,,[],[]
I need to export data to a CSV file. Export the data to a CSV file,export_csv,export_csv,True,,368.0591583251953,data_operations,expert,llama-3.3-70b,,rag,2,0,False,,data_operations,"['database_operations', 'calendar_operations', 'web_operations', 'data_operations', 'backup_operations', 'file_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,,,1809,37,1846,True,"['export_csv', 'export_data', 'export_logs', 'export_calendar', 'export_backup', 'insert_record', 'write_binary_file', 'download_file', 'create_table', 'http_post']",1,False,False,,,,[],[]
I need to create and manage database triggers for automated actions. Create database trigger,manage_database_triggers,manage_database_triggers,True,,379.64463233947754,database_operations,expert,llama-3.3-70b,,rag,2,0,False,,database_operations,"['notification_operations', 'database_operations', 'data_operations', 'workflow_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,2016,52,2068,True,"['manage_database_triggers', 'create_workflow', 'set_notification_rules', 'insert_record', 'execute_transaction', 'create_table', 'set_auto_response', 'execute_query', 'upsert_record', 'create_alert_rule']",1,False,False,,,,[],[]
Please restore a database from a backup file. Restore the database from backup,restore_database,restore_database,True,,353.2259464263916,database_operations,expert,llama-3.3-70b,,rag,2,0,False,,database_operations,"['cloud_storage_operations', 'database_operations', 'backup_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,,,1855,44,1899,True,"['restore_database', 'restore_backup', 'create_backup', 'export_data', 'verify_backup', 'export_backup', 'restore_cache', 'replicate_backup', 'restore_archived_object', 'list_backups']",1,False,False,,,,[],[]
I need to create a search index on cached data. Add full-text search to cache,create_cache_index,create_cache_index,True,,367.86365509033203,caching_operations,expert,llama-3.3-70b,,rag,2,0,False,,caching_operations,"['search_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,,,1726,50,1776,True,"['create_cache_index', 'cache_get', 'import_cache_data', 'cache_list_ops', 'search_documents', 'manage_cache_policy', 'manage_cache_policy', 'cache_invalidate', 'bulk_index', 'cache_increment']",1,False,False,,,,[],[]
I need to reindex documents. Migrate the index,reindex,reindex,True,,356.1749458312988,search_operations,expert,llama-3.3-70b,,rag,2,0,False,,search_operations,"['database_operations', 'queue_operations', 'devops_operations', 'search_operations', 'cloud_storage_operations', 'data_operations', 'file_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,,,1754,30,1784,True,"['reindex', 'drop_index', 'bulk_index', 'manage_database_schema_changes', 'restore_archived_object', 'run_database_migration', 'import_cache_data', 'redrive_messages', 'restore_database', 'extract_archive']",1,False,False,,,,[],[]
I need to configure passwordless authentication. Configure passkey authentication,configure_passwordless,configure_passwordless,True,,488.6758327484131,authentication_operations,expert,llama-3.3-70b,,rag,2,0,False,,authentication_operations,"['security_operations', 'authentication_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,2092,49,2141,True,"['configure_passwordless', 'configure_sso', 'enable_mfa', 'generate_otp', 'create_service_account', 'setup_oauth_provider', 'manage_mfa', 'oauth_authenticate', 'disable_mfa', 'authenticate_user']",1,False,False,,,,[],[]
