prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Test connectivity to IP,ping_host,ping_host,True,,3509.5770359039307,networking_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,networking_operations,"['system_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,4,elbow,544,36,580,True,"['ping_host', 'get_network_info', 'traceroute', 'create_vpn_connection']",1.0,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,restore_archived_object,True,,3200.7651329040527,cloud_storage_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,cloud_storage_operations,"['secrets_operations', 'file_operations', 'database_operations', 'data_operations', 'ecommerce_operations', 'security_operations', 'backup_operations', 'cloud_storage_operations', 'queue_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2546,26,2572,True,"['restore_archived_object', 'configure_storage_transfer', 'replicate_backup', 'backup_database', 'manage_multipart_upload', 'redrive_messages', 'upload_to_cloud', 'compress_files', 'manage_cache_policy', 'cache_warm', 'set_object_lock', 'get_cloud_file_info', 'manage_abandoned_carts', 'list_backups', 'retry_failed_jobs', 'manage_storage_analytics', 'clone_table', 'rotate_keys', 'delete_secret', 'manage_cache_locks']",1.0,False,False,,,,[],[]
Run compliance check,run_compliance_check,run_compliance_check,True,,3324.9752521514893,compliance_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,compliance_operations,"['testing_operations', 'workflow_operations', 'monitoring_operations', 'database_operations', 'compliance_operations', 'authentication_operations', 'text_operations', 'devops_operations', 'analytics_operations', 'payment_operations', 'cloud_storage_operations', 'queue_operations', 'rate_limiting_operations', 'ai_ml_operations', 'iot_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2392,43,2435,True,"['run_compliance_check', 'manage_database_audit', 'manage_mfa', 'get_pipeline_status', 'set_object_lock', 'manage_payment_dispute', 'monitor_metrics', 'run_workflow', 'retry_failed_jobs', 'run_mutation_test', 'manage_device_trust', 'run_ab_test', 'whitelist_key', 'run_pipeline', 'create_metric', 'check_grammar', 'create_alert_rule', 'run_experiment_analysis', 'alert_on_metric', 'correct_spelling']",1.0,False,False,,,,[],[]
Get the text content,extract_text,extract_text,True,,3107.3951721191406,document_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,document_operations,"['healthcare_operations', 'social_media_operations', 'monitoring_operations', 'file_operations', 'document_operations', 'web_operations', 'text_operations', 'container_operations', 'payment_operations', 'cloud_storage_operations', 'notification_operations', 'location_operations', 'ai_ml_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2250,42,2292,True,"['extract_text', 'search_text', 'compare_texts', 'format_text', 'generate_text', 'extract_keywords', 'generate_image', 'get_payment_status', 'web_search', 'read_binary_file', 'get_notification_status', 'check_grammar', 'generate_patient_summary', 'get_cloud_file_info', 'send_in_app_message', 'parse_json', 'get_container_logs', 'get_elevation', 'moderate_content', 'get_alert_status']",1.0,False,False,,,,[],[]
Check the uptime,get_uptime,get_uptime,True,,2806.680202484131,system_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,system_operations,"['workflow_operations', 'email_operations', 'scheduling_operations', 'calendar_operations', 'video_operations', 'networking_operations', 'notification_operations', 'rate_limiting_operations', 'location_operations', 'monitoring_operations', 'iot_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2321,18,2339,True,"['get_uptime', 'set_working_hours', 'configure_quiet_hours', 'set_quiet_hours', 'detect_scheduling_conflicts', 'resume_scheduled_job', 'schedule_workflow', 'get_rate_limit_metrics', 'pause_scheduled_job', 'book_room', 'track_location', 'update_event', 'create_metric', 'ping_host', 'create_notification_campaign', 'manage_device_twin', 'setup_email_automation', 'get_notification_status', 'trim_video', 'list_scheduled_jobs']",1.0,False,False,,,,[],[]
Email the newsletter,send_bulk_email,send_bulk_email,True,,4010.6732845306396,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['healthcare_operations', 'social_media_operations', 'search_operations', 'email_operations', 'calendar_operations', 'queue_operations', 'notification_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2468,78,2546,True,"['manage_mailing_list', 'manage_email_list', 'test_email_deliverability', 'send_bulk_email', 'configure_email_domain', 'setup_email_automation', 'create_notification_campaign', 'send_patient_message', 'manage_push_subscriptions', 'get_notification_status', 'subscribe_to_queue', 'send_push_notification', 'create_poll', 'create_campaign', 'reply_to_comment', 'book_room', 'configure_dead_letter_queue', 'manage_message_queue', 'search_emails', 'send_in_app_message']",4.0,False,False,,,,[],[]
Disable MFA for user,manage_mfa,manage_mfa,True,,2887.08758354187,authentication_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,authentication_operations,"['healthcare_operations', 'secrets_operations', 'file_operations', 'compliance_operations', 'authentication_operations', 'security_operations', 'analytics_operations', 'payment_operations', 'cloud_storage_operations', 'math_operations', 'notification_operations', 'rate_limiting_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2407,18,2425,True,"['manage_mfa', 'manage_device_trust', 'create_service_account', 'authenticate_user', 'create_user', 'set_object_lock', 'whitelist_key', 'configure_quiet_hours', 'run_compliance_check', 'send_patient_message', 'create_throttle_policy', 'delete_secret', 'rotate_keys', 'change_permissions', 'update_allergy_list', 'segment_users', 'prime_factorization', 'list_secrets', 'generate_api_key', 'manage_payment_dispute']",1.0,False,False,,,,[],[]
Create email workflow,setup_email_automation,setup_email_automation,True,,3540.377378463745,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['healthcare_operations', 'workflow_operations', 'monitoring_operations', 'document_operations', 'search_operations', 'email_operations', 'data_operations', 'authentication_operations', 'scheduling_operations', 'notification_operations', 'ai_ml_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2434,54,2488,True,"['setup_email_automation', 'configure_email_domain', 'manage_email_list', 'create_pipeline', 'test_email_deliverability', 'manage_mailing_list', 'run_workflow', 'send_bulk_email', 'search_emails', 'send_patient_message', 'create_user', 'schedule_workflow', 'set_auto_response', 'create_job_dependency', 'manage_notification_digest', 'create_table', 'create_metric', 'send_push_notification', 'generate_text', 'generate_document_from_template']",1.0,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,cancel_workflow,True,,3014.4009590148926,workflow_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,workflow_operations,"['workflow_operations', 'data_operations', 'email_operations', 'web_operations', 'scheduling_operations', 'payment_operations', 'cloud_storage_operations', 'queue_operations', 'calendar_operations', 'notification_operations', 'rate_limiting_operations', 'ai_ml_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2300,31,2331,True,"['cancel_workflow', 'pause_scheduled_job', 'set_quiet_hours', 'run_workflow', 'configure_quiet_hours', 'manage_message_queue', 'retry_failed_jobs', 'create_pipeline', 'redrive_messages', 'schedule_workflow', 'resume_scheduled_job', 'manage_multipart_upload', 'delete_records', 'manage_payment_dispute', 'setup_email_automation', 'configure_dead_letter_queue', 'whitelist_key', 'http_delete', 'list_scheduled_jobs', 'detect_scheduling_conflicts']",1.0,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,2900.7909297943115,math_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,math_operations,"['file_operations', 'ecommerce_operations', 'text_operations', 'security_operations', 'devops_operations', 'image_operations', 'payment_operations', 'queue_operations', 'math_operations', 'location_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2222,29,2251,True,"['fibonacci', 'number_base_convert', 'logarithm', 'permutation_combination', 'search_files', 'manage_ssl_certificate', 'process_ach_transfer', 'prime_factorization', 'create_payout', 'get_disk_usage', 'percentage', 'apply_discount', 'create_fifo_queue', 'search_text', 'calculate_distance', 'hash_password', 'read_barcode', 'get_payment_status', 'solve_system', 'expression_simplify']",1.0,False,False,,,,[],[]
