prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Mail the user,send_email,send_email,True,,929.4755458831787,email_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,7512,38,7550,,[],,False,False,,,,[],[]
Email using template,send_template_email,send_template_email,True,,919.342041015625,email_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,7512,85,7597,,[],,False,False,,,,[],[]
Create invoice template,create_email_template,,False,,589.1275405883789,email_operations,expert,llama-3.3-70b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,266,410,676,,[],,False,False,,,,[],[]
Get delivery status,get_email_status,get_email_status,True,,888.0636692047119,email_operations,medium,llama-3.3-70b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,7512,30,7542,,[],,False,False,,,,[],[]
Add to mailing list,manage_mailing_list,manage_mailing_list,True,,1092.475175857544,email_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,7514,55,7569,,[],,False,False,,,,[],[]
Send bulk email,send_bulk_email,send_bulk_email,True,,1178.1353950500488,email_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,7512,60,7572,,[],,False,False,,,,[],[]
Check email deliverability,validate_email,,False,,1076.8053531646729,email_operations,hard,llama-3.3-70b,No tool selected in step,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,267,10,277,,[],,False,False,,,,[],[]
Campaign performance,get_email_analytics,,False,,584.1288566589355,email_operations,expert,llama-3.3-70b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,265,87,352,,[],,False,False,,,,[],[]
Configure email domain,configure_email_domain,configure_email_domain,True,,744.6064949035645,email_operations,hard,llama-3.3-70b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,7512,42,7554,,[],,False,False,,,,[],[]
Handle email bounces,handle_bounce,handle_bounce,True,,909.9001884460449,email_operations,hard,llama-3.3-70b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,7514,34,7548,,[],,False,False,,,,[],[]
