prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Send daily digest email,send_digest_notification,send_digest_notification,True,,4387.2411251068115,notification_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,notification_operations,"['notification_operations', 'email_operations', 'calendar_operations', 'web_operations', 'authentication_operations', 'messaging_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,22,threshold,4188,48,4236,True,"['schedule_email_digest', 'send_digest_notification', 'snooze_email', 'send_email', 'schedule_message', 'send_email', 'send_email', 'manage_notification_digest', 'broadcast_message', 'send_rich_media_message', 'create_email_signature', 'schedule_notification', 'verify_email', 'send_bulk_email', 'manage_email_template_variables', 'verify_email_address', 'configure_email_domain', 'send_push_notification', 'send_webhook', 'set_out_of_office', 'cache_pubsub', 'validate_email']",2,False,False,,,,[],[]
Test backup restorability,verify_backup,verify_backup,True,,470.1712131500244,backup_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,backup_operations,"['testing_operations', 'database_operations', 'devops_operations', 'cloud_storage_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,15,threshold,2656,29,2685,True,"['verify_backup', 'replicate_backup', 'create_backup', 'export_backup', 'manage_test_environment', 'restore_backup', 'list_backups', 'run_contract_testing', 'create_mock', 'schedule_backup', 'rollback_deployment', 'restore_archived_object', 'restore_database', 'run_tests', 'run_contract_test']",1,False,False,,,,[],[]
Label training data,create_labeling_job,create_labeling_job,True,,398.1003761291504,ai_ml_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,ai_ml_operations,"['ai_ml_operations', 'audio_operations']",False,False,False,[],,,0,{},,,0,3,bounded,818,60,878,True,"['create_labeling_job', 'train_model', 'set_audio_metadata']",1,False,False,,,,[],[]
Increase relevance of popular items,boost_search_results,boost_search_results,True,,372.1652030944824,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['social_media_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,3,bounded,648,47,695,True,"['rerank_results', 'boost_search_results', 'curate_content']",2,False,False,,,,[],[]
Export the data to a CSV file,export_csv,export_csv,True,,338.0696773529053,data_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,data_operations,"['database_operations', 'calendar_operations', 'data_operations', 'backup_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,6,threshold,1208,37,1245,True,"['export_csv', 'export_data', 'export_logs', 'export_calendar', 'insert_record', 'export_backup']",1,False,False,,,,[],[]
Create database trigger,manage_database_triggers,manage_database_triggers,True,,505.3865909576416,database_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,database_operations,"['notification_operations', 'database_operations', 'data_operations', 'workflow_operations', 'scheduling_operations', 'location_operations']",False,False,False,[],,,0,{},,,0,15,threshold,2706,52,2758,True,"['manage_database_triggers', 'insert_record', 'create_workflow', 'create_table', 'upsert_record', 'update_records', 'query_database', 'set_notification_rules', 'execute_transaction', 'execute_query', 'create_alert_rule', 'create_geofence', 'add_column', 'create_view', 'run_job_now']",1,False,False,,,,[],[]
Restore the database from backup,restore_database,restore_database,True,,578.6411762237549,database_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,database_operations,"['database_operations', 'devops_operations', 'cloud_storage_operations', 'data_operations', 'backup_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,16,threshold,2774,49,2823,True,"['restore_database', 'restore_backup', 'create_backup', 'export_data', 'restore_cache', 'list_backups', 'export_backup', 'restore_archived_object', 'replicate_backup', 'clone_table', 'verify_backup', 'manage_database_schema', 'manage_database_schema_changes', 'query_database', 'schedule_backup', 'rollback_deployment']",1,False,False,,,,[],[]
Add full-text search to cache,create_cache_index,create_cache_index,True,,651.853084564209,caching_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,caching_operations,"['ai_ml_operations', 'text_operations', 'search_operations', 'web_operations', 'file_operations', 'messaging_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,29,threshold,4800,62,4862,True,"['create_cache_index', 'search_documents', 'cache_get', 'manage_cache_policy', 'manage_cache_policy', 'cache_invalidate', 'search_typeahead', 'search_text', 'search_documents', 'cache_list_ops', 'get_suggestions', 'search_messages', 'import_cache_data', 'search_file_content', 'cache_increment', 'manage_search_synonyms', 'cache_pubsub', 'personalize_search', 'analyze_cache_performance', 'configure_cache_cluster', 'bulk_index', 'restore_cache', 'web_search', 'search_emails', 'semantic_search', 'boost_search_results', 'search_code', 'configure_cache_persistence', 'generate_lorem_ipsum']",1,False,False,,,,[],[]
Migrate the index,reindex,reindex,True,,353.3322811126709,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['data_operations', 'devops_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,4,threshold,742,20,762,True,"['reindex', 'drop_index', 'bulk_index', 'run_database_migration']",1,False,False,,,,[],[]
Configure passkey authentication,configure_passwordless,configure_passwordless,True,,1044.5098876953125,authentication_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,authentication_operations,"['iot_operations', 'security_operations', 'authentication_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,27,threshold,5125,36,5161,True,"['configure_passwordless', 'configure_sso', 'enable_mfa', 'create_api_key', 'generate_api_key', 'create_service_account', 'authenticate_user', 'generate_otp', 'setup_oauth_provider', 'revoke_api_key', 'oauth_authenticate', 'manage_device_trust', 'verify_password_hash', 'manage_mfa', 'generate_password', 'generate_api_key', 'verify_totp', 'configure_session_policy', 'disable_mfa', 'generate_keypair', 'configure_rate_limiting', 'verify_email', 'generate_jwt', 'verify_otp', 'manage_api_scopes', 'manage_device_security', 'sign_data']",1,False,False,,,,[],[]
