prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Create weekly activity summary,send_digest_notification,send_digest_notification,True,,6405.882120132446,notification_operations,expert,llama-3.3-70b,,rag,2,0,False,,notification_operations,"['calendar_operations', 'scheduling_operations', 'notification_operations', 'email_operations', 'logging_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,,,2910,58,2968,True,"['analyze_calendar_usage', 'send_digest_notification', 'schedule_email_digest', 'create_dashboard', 'get_next_run_times', 'aggregate_logs', 'schedule_meeting_poll', 'track_event', 'manage_notification_segments', 'set_working_hours']",2.0,False,False,,,,[],[]
Verify backup integrity,verify_backup,verify_backup,True,,457.97276496887207,backup_operations,hard,llama-3.3-70b,,rag,2,0,False,,backup_operations,"['system_operations', 'security_operations', 'email_operations', 'backup_operations', 'ecommerce_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,,,2726,30,2756,True,"['verify_backup', 'restore_backup', 'verify_email_address', 'replicate_backup', 'validate_email', 'decrypt_data', 'audit_permissions', 'hash_data', 'restore_database', 'check_fraud_risk']",1.0,False,False,,,,[],[]
Label training data,create_labeling_job,create_labeling_job,True,,574.1400718688965,ai_ml_operations,expert,llama-3.3-70b,,rag,2,0,False,,ai_ml_operations,"['search_operations', 'ai_ml_operations', 'text_operations', 'analytics_operations', 'video_operations', 'social_media_operations', 'audio_operations']",False,False,False,[],,,0,{},,,0,,,3037,76,3113,True,"['create_labeling_job', 'extract_vocals', 'compare_models', 'text_to_speech', 'extract_audio', 'rerank_results', 'compute_attribution', 'format_text', 'apply_color_grading', 'analyze_competitor']",1.0,False,False,,,,[],[]
Prioritize recent content,boost_search_results,search_documents,False,,460.79206466674805,search_operations,expert,llama-3.3-70b,,rag,2,0,False,,search_operations,"['notification_operations', 'search_operations', 'email_operations', 'social_media_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,,,2926,45,2971,False,"['rerank_results', 'post_content', 'moderate_content', 'semantic_search', 'search_typeahead', 'search_documents', 'manage_notification_segments', 'manage_user_generated_content', 'schedule_email_digest', 'analyze_competitor']",,False,False,,,,[],[]
Download query results as CSV,export_csv,export_csv,True,,506.2987804412842,data_operations,expert,llama-3.3-70b,,rag,2,0,False,,data_operations,"['calendar_operations', 'payment_operations', 'data_operations', 'web_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,,,2749,40,2789,True,"['export_csv', 'download_file', 'generate_payment_report', 'http_get', 'execute_query', 'check_url_status', 'get_database_stats', 'graphql_query', 'resolve_dns', 'export_calendar']",1.0,False,False,,,,[],[]
Disable trigger,manage_database_triggers,manage_database_triggers,True,,916.1825180053711,database_operations,expert,llama-3.3-70b,,rag,2,0,False,,database_operations,"['scheduling_operations', 'notification_operations', 'queue_operations', 'authentication_operations', 'healthcare_operations', 'iot_operations', 'data_operations', 'container_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,,,2592,22,2614,True,"['manage_database_triggers', 'disable_mfa', 'revoke_api_key', 'manage_device_security', 'drop_column', 'stop_container', 'manage_subscription', 'change_message_visibility', 'update_allergy_list', 'run_job_now']",1.0,False,False,,,,[],[]
Import the SQL dump,restore_database,restore_database,True,,622.5252151489258,database_operations,expert,llama-3.3-70b,,rag,2,0,False,,database_operations,"['data_operations', 'caching_operations', 'backup_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,,,2545,31,2576,True,"['restore_database', 'export_csv', 'clone_table', 'execute_query', 'restore_backup', 'import_cache_data', 'get_database_stats', 'add_column', 'create_table', 'drop_column']",1.0,False,False,,,,[],[]
Create cache search index,create_cache_index,create_cache_index,True,,718.6586856842041,caching_operations,expert,llama-3.3-70b,,rag,2,0,False,,caching_operations,"['web_operations', 'ai_ml_operations', 'search_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,,,2645,69,2714,True,"['create_cache_index', 'manage_cache_policy', 'cache_increment', 'semantic_search', 'reindex', 'sitemap_parse', 'search_typeahead', 'search_documents', 'search_code', 'rerank_results']",1.0,False,False,,,,[],[]
Copy documents to new index,reindex,reindex,True,,1367.436170578003,search_operations,expert,llama-3.3-70b,,rag,2,0,False,,search_operations,"['search_operations', 'caching_operations', 'file_operations', 'document_operations', 'data_operations', 'web_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,,,2734,20,2754,True,"['reindex', 'copy_file', 'clone_table', 'create_cache_index', 'search_documents', 'sitemap_parse', 'add_page_numbers', 'add_page_numbers', 'import_cache_data', 'semantic_search']",1.0,False,False,,,,[],[]
Enable WebAuthn,configure_passwordless,configure_passwordless,True,,620.1083660125732,authentication_operations,expert,llama-3.3-70b,,rag,2,0,False,,authentication_operations,"['security_operations', 'messaging_operations', 'authentication_operations', 'iot_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,2909,48,2957,True,"['configure_passwordless', 'setup_oauth_provider', 'disable_mfa', 'send_webhook', 'http_get', 'create_api_key', 'manage_device_security', 'generate_api_key', 'generate_otp', 'http_post']",1.0,False,False,,,,[],[]
