prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Analyze user journey,analyze_user_journey,analyze_user_journey,True,,2839.063882827759,analytics_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,analytics_operations,"['calendar_operations', 'notification_operations', 'audio_operations', 'ai_ml_operations', 'workflow_operations', 'devops_operations', 'logging_operations', 'analytics_operations', 'location_operations', 'web_operations', 'ecommerce_operations', 'social_media_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3188,48,3236,True,"['analyze_user_journey', 'create_funnel_analysis', 'track_event', 'analyze_calendar_usage', 'compute_attribution', 'get_workflow_metrics', 'create_funnel', 'ab_test_analyze', 'forecast_metric', 'run_analytics_query', 'aggregate_logs', 'analyze_database_performance', 'calculate_elevation', 'get_audio_info', 'get_notification_analytics', 'track_brand_mentions', 'sitemap_parse', 'cluster_data', 'monitor_metrics', 'check_fraud_risk']",1,False,False,,,,[],[]
Delete the unused field from the table,drop_column,drop_column,True,,560.9786510467529,data_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,data_operations,"['payment_operations', 'math_operations', 'text_operations', 'testing_operations', 'logging_operations', 'authentication_operations', 'document_operations', 'healthcare_operations', 'video_operations', 'data_operations', 'ecommerce_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3330,26,3356,True,"['truncate_table', 'drop_column', 'trim_text', 'flatten_form_fields', 'manage_cart', 'revoke_api_key', 'set_log_retention', 'remove_background', 'clone_table', 'financial_calculation', 'vacuum_database', 'generate_discharge_summary', 'create_view', 'export_data', 'manage_test_data', 'import_data', 'join_text', 'replace_text', 'process_return', 'get_payment_balance']",2,False,False,,,,[],[]
Create an API key,create_api_key,create_api_key,True,,1354.7449111938477,authentication_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,authentication_operations,"['authentication_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,3,elbow,659,61,720,True,"['create_api_key', 'revoke_api_key', 'generate_keypair']",1,False,False,,,,[],[]
Create public and private keys,generate_keypair,generate_keypair,True,,501.9516944885254,security_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,security_operations,"['calendar_operations', 'payment_operations', 'security_operations', 'file_operations', 'secrets_operations', 'cloud_storage_operations', 'authentication_operations', 'document_operations', 'web_operations', 'ecommerce_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3647,39,3686,True,"['generate_keypair', 'create_api_key', 'create_user', 'add_digital_signature', 'revoke_api_key', 'rotate_keys', 'set_secret_policy', 'create_bucket', 'generate_jwt', 'configure_passwordless', 'manage_oauth', 'create_invoice', 'redact_document', 'create_backup', 'create_payment_link', 'sync_directory', 'oauth_authenticate', 'create_product', 'create_calendar', 'set_owner']",1,False,False,,,,[],[]
Set the folder permissions to 755,change_permissions,change_permissions,True,,366.6825294494629,file_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,file_operations,"['notification_operations', 'security_operations', 'file_operations', 'rate_limiting_operations', 'math_operations', 'queue_operations', 'secrets_operations', 'authentication_operations', 'document_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3172,21,3193,True,"['change_permissions', 'set_owner', 'set_secret_policy', 'sync_directory', 'list_directory', 'set_redrive_policy', 'create_user', 'modular_arithmetic', 'generate_jwt', 'hash_password', 'create_throttle_policy', 'configure_passwordless', 'redact_document', 'permutation_combination', 'revoke_api_key', 'classify_data', 'rename_files_batch', 'percentage', 'manage_notification_preferences', 'create_symlink']",1,False,False,,,,[],[]
Truncate the sessions table,truncate_table,truncate_table,True,,370.53823471069336,data_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,data_operations,"['scheduling_operations', 'payment_operations', 'system_operations', 'caching_operations', 'text_operations', 'logging_operations', 'queue_operations', 'authentication_operations', 'healthcare_operations', 'video_operations', 'data_operations', 'ecommerce_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3062,23,3085,True,"['truncate_table', 'set_log_retention', 'kill_process', 'revoke_api_key', 'manage_cart', 'drop_column', 'manage_database_connection_pool', 'trim_text', 'batch_send_messages', 'generate_discharge_summary', 'remove_background', 'batch_send_messages', 'pause_scheduled_job', 'manage_cache_locks', 'restore_cache', 'clone_table', 'process_ach_transfer', 'resume_scheduled_job', 'retry_failed_jobs', 'manage_cart']",1,False,False,,,,[],[]
Import users from Azure AD,sync_directory,sync_directory,True,,537.3716354370117,authentication_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,authentication_operations,"['payment_operations', 'search_operations', 'email_operations', 'cloud_storage_operations', 'analytics_operations', 'authentication_operations', 'healthcare_operations', 'messaging_operations', 'data_operations', 'web_operations', 'ecommerce_operations', 'social_media_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3777,77,3854,True,"['create_user', 'sync_directory', 'import_data', 'analyze_user_journey', 'compute_attribution', 'manage_oauth', 'copy_cloud_file', 'create_email_campaign', 'oauth_authenticate', 'calculate_storage_cost', 'export_data', 'manage_subscriptions', 'manage_social_ads', 'create_api_key', 'manage_contact_list', 'bulk_index', 'configure_passwordless', 'ab_test_analyze', 'submit_insurance_claim', 'process_ach_transfer']",2,False,False,,,,[],[]
Set up a recurring task,schedule_task,schedule_task,True,,596.2231159210205,system_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,system_operations,"['scheduling_operations', 'calendar_operations', 'notification_operations', 'system_operations', 'workflow_operations', 'devops_operations', 'email_operations', 'queue_operations', 'healthcare_operations', 'ecommerce_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3395,45,3440,True,"['schedule_task', 'create_scheduled_job', 'schedule_workflow', 'schedule_follow_up', 'resume_scheduled_job', 'update_job_schedule', 'pause_scheduled_job', 'schedule_meeting_poll', 'set_email_auto_reply', 'create_calendar', 'setup_email_automation', 'retry_failed_jobs', 'manage_subscriptions', 'sync_calendars', 'create_notification_campaign', 'create_notification_template', 'create_backup', 'analyze_calendar_usage', 'configure_auto_scaling', 'manage_subscription']",1,False,False,,,,[],[]
Add picture-in-picture,add_video_overlay,add_video_overlay,True,,825.9875774383545,video_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,video_operations,"['image_operations', 'cloud_storage_operations', 'document_operations', 'healthcare_operations', 'messaging_operations', 'video_operations', 'social_media_operations', 'audio_operations']",False,False,False,[],,,0,{},,,0,20,bounded,4148,54,4202,True,"['create_thumbnail', 'create_collage', 'add_watermark', 'detect_objects', 'add_video_overlay', 'convert_image_format', 'send_rich_media_message', 'detect_faces', 'add_watermark', 'create_video_thumbnail', 'create_video_slideshow', 'order_imaging', 'order_imaging_study', 'remove_background', 'add_digital_signature', 'add_audio_effect', 'loop_video', 'run_social_contest', 'apply_video_filter', 'create_bucket']",5,False,False,,,,[],[]
How many characters are in the string?,count_text,count_text,True,,59746.98543548584,text_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,text_operations,"['system_operations', 'audio_operations', 'security_operations', 'file_operations', 'math_operations', 'text_operations', 'testing_operations', 'secrets_operations', 'authentication_operations', 'document_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3181,16,3197,True,"['count_text', 'trim_text', 'permutation_combination', 'extract_text', 'generate_lorem_ipsum', 'hash_password', 'check_grammar', 'generate_text', 'replace_text', 'join_text', 'calculate_checksum', 'classify_text', 'configure_passwordless', 'add_digital_signature', 'get_disk_info', 'set_secret_policy', 'run_chaos_test', 'text_to_speech', 'generate_jwt', 'redact_document']",1,False,False,,,,[],[]
