prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Send an email,send_email,,False,,396.3634967803955,email_operations,expert,llama-3.3-70b,"Error code: 400 - {'message': ""Failed to generate tool_calls. Please adjust your prompt. See 'failed_generation' for more details. Exception: No valid function calls generated"", 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': 'send_email(to=""recipient@example.com"", subject=""Test Email"", body=""This is a test email"", from=""sender@example.com"")'}",mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,,,,,[],,False,False,,,,[],[]
Send templated email,send_template_email,,False,,424.7753620147705,email_operations,expert,llama-3.3-70b,"Error code: 400 - {'message': ""Failed to generate tool_calls. Please adjust your prompt. See 'failed_generation' for more details. Exception: No valid function calls generated"", 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': 'send_template_email(template=""welcome_email"", to=""user@example.com"", variables={""name"": ""John Doe""}, locale=""en"", from=""support@example.com"")'}",mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,,,,,[],,False,False,,,,[],[]
Create email template,create_email_template,create_email_template,True,,408.01358222961426,email_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4394.0,41.0,4435.0,,[],,False,False,,,,[],[]
Get delivery status,get_email_status,get_email_status,True,,465.0588035583496,email_operations,medium,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4394.0,19.0,4413.0,,[],,False,False,,,,[],[]
Update subscriber,manage_mailing_list,manage_mailing_list,True,,415.1804447174072,email_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4393.0,39.0,4432.0,,[],,False,False,,,,[],[]
Send bulk email,send_bulk_email,send_bulk_email,True,,462.0490074157715,email_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4394.0,68.0,4462.0,,[],,False,False,,,,[],[]
Validate email address,validate_email,validate_email,True,,480.1898002624512,email_operations,hard,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4394.0,27.0,4421.0,,[],,False,False,,,,[],[]
Campaign performance,get_email_analytics,analyze_email_metrics,False,,465.7278060913086,email_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4393.0,37.0,4430.0,,[],,False,False,,,,[],[]
Verify email domain,configure_email_domain,configure_email_domain,True,,557.8320026397705,email_operations,hard,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4394.0,17.0,4411.0,,[],,False,False,,,,[],[]
List bounced emails,handle_bounce,handle_bounce,True,,400.27809143066406,email_operations,hard,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4394.0,16.0,4410.0,,[],,False,False,,,,[],[]
