prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Test connectivity to IP,ping_host,ping_host,True,,2264.1451358795166,networking_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,networking_operations,"['networking_operations', 'testing_operations', 'system_operations', 'iot_operations', 'monitoring_operations']",False,False,False,[],,,0,{},,,0,,,1757,36,1793,,[],,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,restore_archived_object,True,,3041.311264038086,cloud_storage_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,cloud_storage_operations,"['cloud_storage_operations', 'backup_operations', 'caching_operations', 'secrets_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,,,2538,38,2576,,[],,False,False,,,,[],[]
Run compliance check,run_compliance_check,run_compliance_check,True,,2791.275978088379,compliance_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,compliance_operations,"['compliance_operations', 'testing_operations', 'devops_operations', 'authentication_operations', 'monitoring_operations']",False,False,False,[],,,0,{},,,0,,,2222,41,2263,,[],,False,False,,,,[],[]
Get the text content,extract_text,extract_text,True,,3535.1548194885254,document_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,document_operations,"['text_operations', 'document_operations', 'ai_ml_operations', 'messaging_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,,,2667,60,2727,,[],,False,False,,,,[],[]
Check the uptime,get_uptime,get_uptime,True,,3053.575038909912,system_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,system_operations,"['calendar_operations', 'notification_operations', 'system_operations', 'scheduling_operations', 'monitoring_operations']",False,False,False,[],,,0,{},,,0,,,2641,30,2671,,[],,False,False,,,,[],[]
Email the newsletter,send_bulk_email,send_bulk_email,True,,4632.04026222229,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'notification_operations', 'messaging_operations', 'social_media_operations', 'calendar_operations']",False,False,False,[],,,0,{},,,0,,,3992,36,4028,,[],,False,False,,,,[],[]
Disable MFA for user,manage_mfa,manage_mfa,True,,1948.5290050506592,authentication_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,authentication_operations,"['authentication_operations', 'compliance_operations', 'security_operations', 'secrets_operations', 'rate_limiting_operations']",False,False,False,[],,,0,{},,,0,,,1640,27,1667,,[],,False,False,,,,[],[]
Create email workflow,setup_email_automation,setup_email_automation,True,,4484.366655349731,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'ai_ml_operations', 'workflow_operations', 'messaging_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,3027,93,3120,,[],,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,cancel_workflow,True,,3317.017078399658,workflow_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,workflow_operations,"['workflow_operations', 'scheduling_operations', 'queue_operations', 'notification_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,2774,37,2811,,[],,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,3425.257682800293,math_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,math_operations,"['math_operations', 'file_operations', 'payment_operations', 'security_operations', 'ecommerce_operations']",False,False,False,[],,,0,{},,,0,,,3108,23,3131,,[],,False,False,,,,[],[]
Send same-day ACH transfer,process_ach_transfer,process_ach_transfer,True,,3633.373975753784,payment_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,payment_operations,"['payment_operations', 'calendar_operations', 'messaging_operations', 'scheduling_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,2861,52,2913,,[],,False,False,,,,[],[]
Remove from mailing list,manage_email_list,manage_mailing_list,False,,3766.050338745117,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'messaging_operations', 'secrets_operations', 'notification_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,3391,25,3416,,[],,False,False,,,,[],[]
Execute workflow,run_workflow,run_workflow,True,,2368.5543537139893,workflow_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,workflow_operations,"['workflow_operations', 'ai_ml_operations', 'scheduling_operations', 'compliance_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,1864,38,1902,,[],,False,False,,,,[],[]
Mirror the photo,flip_image,flip_image,True,,2580.0118446350098,image_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,image_operations,"['image_operations', 'backup_operations', 'video_operations', 'payment_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,2298,23,2321,,[],,False,False,,,,[],[]
Search for images,search_images,search_images,True,,3328.313112258911,search_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,search_operations,"['search_operations', 'image_operations', 'file_operations', 'ai_ml_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,2748,40,2788,,[],,False,False,,,,[],[]
How many ways to arrange 5 items from 10?,permutation_combination,permutation_combination,True,,4081.9339752197266,math_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,math_operations,"['math_operations', 'ecommerce_operations', 'video_operations', 'email_operations', 'image_operations']",False,False,False,[],,,0,{},,,0,,,3594,31,3625,,[],,False,False,,,,[],[]
Message patient through portal,send_patient_message,send_patient_message,True,,3699.253797531128,healthcare_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,healthcare_operations,"['messaging_operations', 'healthcare_operations', 'queue_operations', 'iot_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,3305,26,3331,,[],,False,False,,,,[],[]
View container output,get_container_logs,get_container_logs,True,,3291.8200492858887,container_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,container_operations,"['container_operations', 'video_operations', 'system_operations', 'monitoring_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,2691,42,2733,,[],,False,False,,,,[],[]
Add a unique index to the users table,create_index,create_index,True,,3905.2040576934814,data_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,data_operations,"['data_operations', 'authentication_operations', 'security_operations', 'system_operations', 'calendar_operations']",False,False,False,[],,,0,{},,,0,,,3281,44,3325,,[],,False,False,,,,[],[]
Get metadata for report.pdf in cloud storage,get_cloud_file_info,get_cloud_file_info,True,,3887.392044067383,cloud_storage_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,cloud_storage_operations,"['cloud_storage_operations', 'document_operations', 'file_operations', 'devops_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,3369,33,3402,,[],,False,False,,,,[],[]
Get scheduled tasks,list_scheduled_jobs,list_scheduled_jobs,True,,2768.0768966674805,scheduling_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,scheduling_operations,"['scheduling_operations', 'calendar_operations', 'workflow_operations', 'system_operations', 'monitoring_operations']",False,False,False,[],,,0,{},,,0,,,2102,47,2149,,[],,False,False,,,,[],[]
Search logs for 'connection refused',manage_logs,manage_logs,True,,2823.391914367676,devops_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,devops_operations,"['networking_operations', 'search_operations', 'testing_operations', 'rate_limiting_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,2421,30,2451,,[],,False,False,,,,[],[]
