prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping this address,ping_host,ping_host,True,,2971.3990688323975,networking_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,networking_operations,['networking_operations'],False,False,False,[],,,0,{},,,0,3,threshold,388,23,411,True,"['ping_host_alt', 'ping_host', 'traceroute']",2.0,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,restore_archived_object_alt,False,,1129.3866634368896,cloud_storage_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,cloud_storage_operations,"['backup_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,3,bounded,499,45,544,True,"['restore_archived_object', 'restore_archived_object_alt', 'replicate_backup']",1.0,False,False,,,,[],[]
Verify SOC2 compliance,run_compliance_check,run_compliance_check,True,,1074.4872093200684,compliance_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,compliance_operations,"['authentication_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,3,bounded,458,43,501,True,"['run_compliance_check_alt', 'run_compliance_check', 'manage_mfa']",2.0,False,False,,,,[],[]
Get the text content,extract_text,extract_text,True,,1311.7260932922363,document_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,document_operations,"['document_operations', 'ai_ml_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,5,threshold,633,47,680,True,"['parse_text', 'extract_text', 'search_text', 'format_text', 'generate_text']",2.0,False,False,,,,[],[]
Check the uptime,get_uptime,retrieve_uptime,False,,833.8208198547363,system_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,system_operations,"['calendar_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,3,bounded,401,30,431,True,"['get_uptime', 'retrieve_uptime', 'detect_scheduling_conflicts']",1.0,False,False,,,,[],[]
Email the newsletter,send_bulk_email,send_bulk_email_alt,False,,1446.960210800171,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,3,threshold,460,69,529,False,"['manage_mailing_list', 'manage_email_list', 'send_bulk_email_alt']",,False,False,,,,[],[]
Enable two-factor authentication,manage_mfa,manage_mfa,True,,799.4973659515381,authentication_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,4,threshold,579,18,597,True,"['manage_mfa', 'manage_mfa_alt', 'create_service_account', 'authenticate_user']",1.0,False,False,,,,[],[]
Automate onboarding emails,setup_email_automation,setup_email_automation,True,,2011.0101699829102,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['search_operations', 'notification_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,9,threshold,1140,61,1201,True,"['setup_email_automation_alt', 'setup_email_automation', 'send_bulk_email_alt', 'manage_email_list', 'send_bulk_email', 'configure_email_domain', 'manage_mailing_list', 'create_notification_campaign', 'search_emails']",2.0,False,False,,,,[],[]
Terminate the process,cancel_workflow,cancel_workflow_alt,False,,889.8026943206787,workflow_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,workflow_operations,"['queue_operations', 'workflow_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,4,threshold,515,28,543,True,"['cancel_workflow', 'cancel_workflow_alt', 'retry_failed_jobs', 'process_ach_transfer']",1.0,False,False,,,,[],[]
Is 144 a Fibonacci number?,fibonacci,fibonacci,True,,686.3186359405518,math_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,3,bounded,395,23,418,True,"['fibonacci_alt', 'fibonacci', 'number_base_convert']",2.0,False,False,,,,[],[]
