prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Test connectivity to IP,ping_host,ping_host,True,,3165.7400131225586,networking_operations,hard,llama3.2:3b,,clustering,2,0,False,True,networking_operations,['networking_operations'],False,False,False,[],,,0,{},,,0,,,2525,39,2564,,[],,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,list_backups,False,,3154.1738510131836,cloud_storage_operations,expert,llama3.2:3b,,clustering,2,0,False,False,backup_operations,['backup_operations'],False,False,False,[],,,0,{},,,0,,,2423,50,2473,,[],,False,False,,,,[],[]
Run compliance check,run_compliance_check,,False,,5191.550254821777,compliance_operations,hard,llama3.2:3b,No tool selected in step,clustering,3,1,False,,,['compliance_operations'],False,False,False,[],,,0,{},,,0,,,4282,61,4343,,[],,False,False,,,,[],[]
Get the text content,extract_text,compare_texts,False,,1476.6762256622314,document_operations,expert,llama3.2:3b,,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,2734,37,2771,,[],,False,False,,,,[],[]
Check the uptime,get_uptime,get_uptime,True,,6195.403575897217,system_operations,hard,llama3.2:3b,,clustering,4,1,False,True,system_operations,"['monitoring_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,4976,81,5057,,[],,False,False,,,,[],[]
Email the newsletter,send_bulk_email,manage_email_list,False,,6627.5269985198975,email_operations,expert,llama3.2:3b,,clustering,4,1,False,True,email_operations,"['text_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,5575,73,5648,,[],,False,False,,,,[],[]
Disable MFA for user,manage_mfa,manage_mfa,True,,3200.2789974212646,authentication_operations,hard,llama3.2:3b,,clustering,2,0,False,True,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,,,2734,33,2767,,[],,False,False,,,,[],[]
Create email workflow,setup_email_automation,,False,,5266.579151153564,email_operations,expert,llama3.2:3b,No tool selected in step,clustering,3,1,False,,,['web_operations'],False,False,False,[],,,0,{},,,0,,,4597,46,4643,,[],,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,compare_texts,False,,1680.2482604980469,workflow_operations,hard,llama3.2:3b,,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,2732,49,2781,,[],,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,4144.58703994751,math_operations,hard,llama3.2:3b,,clustering,2,0,False,True,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,,,3206,64,3270,,[],,False,False,,,,[],[]
Send same-day ACH transfer,process_ach_transfer,process_ach_transfer,True,,4252.91109085083,payment_operations,expert,llama3.2:3b,,clustering,2,0,False,True,payment_operations,['payment_operations'],False,False,False,[],,,0,{},,,0,,,2605,108,2713,,[],,False,False,,,,[],[]
