prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Create weekly activity summary,send_digest_notification,send_digest_notification,True,,468.5783386230469,notification_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4287,49,4336,,[],,False,False,,,,[],[]
Validate backup files,verify_backup,verify_backup,True,,389.22953605651855,backup_operations,hard,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4286,29,4315,,[],,False,False,,,,[],[]
Set up data annotation,create_labeling_job,create_labeling_job,True,,408.9958667755127,ai_ml_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4287,57,4344,,[],,False,False,,,,[],[]
Increase relevance of popular items,boost_search_results,boost_search_results,True,,404.4809341430664,search_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4288,54,4342,,[],,False,False,,,,[],[]
Export the data to a CSV file,export_csv,export_csv,True,,399.40714836120605,data_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4290,32,4322,,[],,False,False,,,,[],[]
Create database trigger,manage_database_triggers,manage_database_triggers,True,,412.19425201416016,database_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4286,52,4338,,[],,False,False,,,,[],[]
Import the SQL dump,restore_database,,False,,619.105339050293,database_operations,expert,llama-3.3-70b,Model did not call any tool,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4287,551,4838,,[],,False,False,,,,[],[]
Create secondary index,create_cache_index,create_cache_index,True,,448.26555252075195,caching_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4286,67,4353,,[],,False,False,,,,[],[]
Copy documents to new index,reindex,reindex,True,,406.2845706939697,search_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4288,20,4308,,[],,False,False,,,,[],[]
Configure passkey authentication,configure_passwordless,configure_passwordless,True,,449.02586936950684,authentication_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4287,28,4315,,[],,False,False,,,,[],[]
