prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Send daily digest email,send_digest_notification,send_digest_notification,True,,3578.946590423584,notification_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,notification_operations,"['email_operations', 'messaging_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,11314,58,11372,,[],,False,False,,,,[],[]
Test backup restorability,verify_backup,verify_backup,True,,722.5053310394287,backup_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,backup_operations,"['backup_operations', 'testing_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,,,8740,31,8771,,[],,False,False,,,,[],[]
Label training data,create_labeling_job,create_labeling_job,True,,1243.5383796691895,ai_ml_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,ai_ml_operations,"['ai_ml_operations', 'audio_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,,,12770,65,12835,,[],,False,False,,,,[],[]
Increase relevance of popular items,boost_search_results,boost_search_results,True,,1298.4659671783447,search_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,search_operations,"['search_operations', 'social_media_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,,,12701,31,12732,,[],,False,False,,,,[],[]
Export the data to a CSV file,export_csv,export_csv,True,,966.1381244659424,data_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,data_operations,"['data_operations', 'compliance_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,,,7735,39,7774,,[],,False,False,,,,[],[]
Create database trigger,manage_database_triggers,manage_database_triggers,True,,1235.677719116211,database_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,database_operations,"['database_operations', 'data_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,14016,58,14074,,[],,False,False,,,,[],[]
Restore the database from backup,restore_database,restore_database,True,,589.3828868865967,database_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,database_operations,"['backup_operations', 'database_operations', 'data_operations']",False,False,False,[],,,0,{},,,0,,,11104,30,11134,,[],,False,False,,,,[],[]
Add full-text search to cache,create_cache_index,create_cache_index,True,,1783.9860916137695,caching_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,caching_operations,"['caching_operations', 'search_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,,,10165,49,10214,,[],,False,False,,,,[],[]
Migrate the index,reindex,manage_database_partitions,False,,912.1191501617432,search_operations,expert,llama-3.3-70b,,hybrid,2,0,False,False,database_operations,"['search_operations', 'data_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,,,13539,61,13600,,[],,False,False,,,,[],[]
Configure passkey authentication,configure_passwordless,configure_passwordless,True,,1217.1151638031006,authentication_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,authentication_operations,"['authentication_operations', 'security_operations', 'secrets_operations']",False,False,False,[],,,0,{},,,0,,,10194,44,10238,,[],,False,False,,,,[],[]
