prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Please check if a host is reachable. Test connectivity to IP,ping_host,ping_host,True,,3500.5152225494385,networking_operations,hard,llama3.2:3b,,clustering,2,0,False,True,networking_operations,['networking_operations'],False,False,False,[],,,0,{},,,0,,,2563,60,2623,,[],,False,False,,,,[],[]
I need to restore an archived object from cloud storage. Restore from cold storage,restore_archived_object,manage_storage_analytics,False,,4582.225561141968,cloud_storage_operations,expert,llama3.2:3b,,clustering,2,0,False,True,cloud_storage_operations,['cloud_storage_operations'],False,False,False,[],,,0,{},,,0,,,3303,86,3389,,[],,False,False,,,,[],[]
I need to run a regulatory compliance check. Run compliance check,run_compliance_check,,False,,14111.17148399353,compliance_operations,hard,ollama,Max steps (10) reached without selection,clustering,10,5,False,,,"['compliance_operations', 'compliance_operations', 'compliance_operations', 'compliance_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,,,11810,150,11960,,[],,False,False,,,,[],[]
I need to extract text from a document. Get the text content,extract_text,extract_keywords,False,,3451.566696166992,document_operations,expert,llama3.2:3b,,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,2833,43,2876,,[],,False,False,,,,[],[]
I need to check system uptime. Check the uptime,get_uptime,,False,,5939.081907272339,system_operations,hard,llama3.2:3b,No tool selected in step,clustering,4,1,False,True,system_operations,"['monitoring_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,5060,58,5118,,[],,False,False,,,,[],[]
Please send the same email message to multiple recipients at once. Email the newsletter,send_bulk_email,compare_texts,False,,3445.5976486206055,email_operations,expert,llama3.2:3b,,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,2837,41,2878,,[],,False,False,,,,[],[]
I need to configure multi-factor authentication. Disable MFA for user,manage_mfa,manage_mfa,True,,3252.34317779541,authentication_operations,hard,llama3.2:3b,,clustering,2,0,False,True,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,,,2789,33,2822,,[],,False,False,,,,[],[]
I need to create automated email workflows triggered by events or schedules. Create email workflow,setup_email_automation,setup_email_automation,True,,3832.521438598633,email_operations,expert,llama3.2:3b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2887,63,2950,,[],,False,False,,,,[],[]
I need to cancel a running workflow. Cancel the workflow,cancel_workflow,cancel_workflow,True,,3273.513078689575,workflow_operations,hard,llama3.2:3b,,clustering,2,0,False,True,workflow_operations,['workflow_operations'],False,False,False,[],,,0,{},,,0,,,2537,49,2586,,[],,False,False,,,,[],[]
I need to work with Fibonacci numbers. Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,3897.7057933807373,math_operations,hard,llama3.2:3b,,clustering,2,0,False,True,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,,,3364,38,3402,,[],,False,False,,,,[],[]
I need to process an ACH transfer. Send same-day ACH transfer,process_ach_transfer,,False,,3153.9523601531982,payment_operations,expert,llama3.2:3b,No tool selected in step,clustering,2,0,False,True,payment_operations,['payment_operations'],False,False,False,[],,,0,{},,,0,,,2663,32,2695,,[],,False,False,,,,[],[]
"I need to create, update, or manage email subscriber lists. Remove from mailing list",manage_email_list,manage_email_list,True,,3382.990837097168,email_operations,expert,llama3.2:3b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2889,33,2922,,[],,False,False,,,,[],[]
