prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping the server,ping_host,ping_host,True,,3756.58917427063,networking_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,networking_operations,"['system_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,3,bounded,703.0,48.0,751.0,True,"['ping_host', 'traceroute', 'get_network_info']",1.0,False,False,,,,[],[]
Retrieve archived data,restore_archived_object,restore_archived_object,True,,1806.819200515747,cloud_storage_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,cloud_storage_operations,"['database_operations', 'data_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,4,threshold,941.0,62.0,1003.0,True,"['restore_archived_object', 'get_cloud_file_info', 'backup_database', 'delete_records']",1.0,False,False,,,,[],[]
Verify SOC2 compliance,run_compliance_check,run_compliance_check,True,,1428.0259609222412,compliance_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,compliance_operations,"['compliance_operations', 'authentication_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,3,bounded,884.0,39.0,923.0,True,"['run_compliance_check', 'record_immunization', 'create_service_account']",1.0,False,False,,,,[],[]
Get the text content,extract_text,extract_text,True,,1389.5838260650635,document_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,document_operations,"['document_operations', 'ai_ml_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,3,bounded,724.0,46.0,770.0,True,"['extract_text', 'generate_text', 'search_text']",1.0,False,False,,,,[],[]
Check the uptime,get_uptime,get_uptime,True,,1018.7861919403076,system_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,system_operations,"['calendar_operations', 'system_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,3,bounded,702.0,24.0,726.0,True,"['get_uptime', 'book_room', 'get_notification_status']",1.0,False,False,,,,[],[]
Send bulk email,send_bulk_email,send_bulk_email,True,,2656.470775604248,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['email_operations', 'notification_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,8,threshold,1763.0,64.0,1827.0,True,"['send_bulk_email', 'manage_email_list', 'setup_email_automation', 'configure_email_domain', 'manage_mailing_list', 'bulk_index', 'search_emails', 'create_notification_campaign']",1.0,False,False,,,,[],[]
Verify MFA setup,manage_mfa,manage_mfa,True,,1299.8597621917725,authentication_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,authentication_operations,"['compliance_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,4,threshold,996.0,25.0,1021.0,True,"['manage_mfa', 'authenticate_user', 'run_compliance_check', 'create_service_account']",1.0,False,False,,,,[],[]
Create email workflow,setup_email_automation,setup_email_automation,True,,2759.5250606536865,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['email_operations', 'notification_operations', 'workflow_operations']",False,False,False,[],,,0,{},,,0,7,threshold,1592.0,82.0,1674.0,True,"['setup_email_automation', 'configure_email_domain', 'manage_email_list', 'run_workflow', 'send_bulk_email', 'create_notification_campaign', 'manage_mailing_list']",1.0,False,False,,,,[],[]
Abort running workflow,cancel_workflow,cancel_workflow,True,,1339.9379253387451,workflow_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,workflow_operations,"['workflow_operations', 'queue_operations', 'scheduling_operations']",False,False,False,[],,,0,{},,,0,4,threshold,818.0,37.0,855.0,True,"['cancel_workflow', 'create_job_dependency', 'run_workflow', 'retry_failed_jobs']",1.0,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,1042.8450107574463,math_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,3,bounded,734.0,23.0,757.0,True,"['fibonacci', 'number_base_convert', 'prime_factorization']",1.0,False,False,,,,[],[]
Send same-day ACH transfer,process_ach_transfer,process_ach_transfer,True,,1709.5718383789062,payment_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,payment_operations,"['payment_operations', 'workflow_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,3,bounded,752.0,64.0,816.0,True,"['process_ach_transfer', 'create_fifo_queue', 'schedule_workflow']",1.0,False,False,,,,[],[]
Create new email list,manage_email_list,manage_email_list,True,,1655.1668643951416,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,5,threshold,1123.0,40.0,1163.0,True,"['manage_email_list', 'manage_mailing_list', 'send_bulk_email', 'setup_email_automation', 'configure_email_domain']",1.0,False,False,,,,[],[]
