prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
How can I get the geolocation of Berlin in Germany?,v1_geocoding,v1_geocoding,True,False,3850.986957550049,category_24,hard,llama3.2:3b,,rag,2,0,False,,category_24,"['category_14', 'category_36', 'category_34', 'category_24', 'category_9', 'category_2', 'category_26', 'category_18', 'category_15']",False,False,False,[],,,0,"{'city': True, 'country': False}",,,0,,,1409,26,1435,True,"['v1_geocoding', 'getlocationinfobyzipcode', 'search_places', 'get_cities_in_a_country', 'timezone', 'get_date_and_time_by_city', 'get_ip_zipcode', 'get_all_kfc_locations', 'location_search', 'by_location']",1,False,False,,,,[],[]
Get the current time in Sydney using its coordinates.,v1_worldtime,v1_worldtime,True,False,1575.9730339050293,category_22,expert,llama3.2:3b,,rag,2,0,False,,category_22,"['category_39', 'category_34', 'category_32', 'category_24', 'category_28', 'category_1', 'category_15', 'category_22', 'category_27']",False,False,False,[],,,0,"{'lat': False, 'lon': False}",,,0,,,1212,42,1254,True,"['v1_worldtime', 'timezone', 'get_date_and_time_by_city', 'xyz_map_tiles_for_ocean_conditions', 'get_all_bodies_positions', 'get_3_fluctuation_endpoint', 'schedule', 'results_by_date', 'v1_geocoding', 'job_salary']",1,False,False,,,,[],[]
What is the estimated salary for a Financial Analyst in Chicago within a 300km radius?,job_salary,,False,,1408.4312915802002,category_32,hard,llama3.2:3b,Model did not call any tool,rag,2,0,False,,,"['category_36', 'category_3', 'category_32', 'category_17', 'category_40', 'category_21', 'category_28', 'category_22']",False,False,False,[],,,0,{},,,0,,,1005,46,1051,True,"['estimated_salary', 'job_salary', 'estimate_market_value', 'symbol_strength', 'stockprice', 'get_5_year_historical_quarterly_prices', 'city_list', 'get_10_year_historical_quarterly_prices', 'properties_get_running_costs', 'get_5_year_historical_monthly_prices']",2,False,False,,,,[],[]
I need the full metadata for the podcast with Show ID '4iVcZGZGzRjHapWXYqXToT'.,get_podcast_metadata,get_podcast_metadata,True,True,1346.8818664550781,category_10,medium,llama3.2:3b,,rag,2,0,False,,category_10,"['category_29', 'category_37', 'category_17', 'category_25', 'category_38', 'category_23', 'category_4', 'category_10', 'category_19']",False,False,False,[],,,0,{'showid': True},,,0,,,1036,38,1074,True,"['get_podcast_metadata', 'shazam_songs_get_details', 'get_genres', 'video_post_metadata', 'about_channel', 'song_info', 'metadata', 'title_seasons', 'market_get_full', 'video_subtitles']",1,False,False,,,,[],[]
What were the constructor standings after the 5th race of the 2022 Formula 1 season?,constructorstandingsafterarace,constructorstandingsafterarace,True,True,1206.1114311218262,category_15,hard,llama3.2:3b,,rag,2,0,False,,category_15,"['category_11', 'category_5', 'category_3', 'category_31', 'category_20', 'category_30', 'category_21', 'category_15', 'category_19', 'category_27']",False,False,False,[],,,0,"{'year': True, 'round': True}",,,0,,,987,28,1015,True,"['constructorstandingsafterarace', 'laliga_standings', 'eredivisie_standings', 'tournament_results_by_id_and_year_wta', 'ligue_1_standings', 'baseball_league_rankings', 'prediction', 'ufc_fight_night_vettori_vs_cannonier_june_17_2023', 'estimate_market_value', 'prematch_event']",1,False,False,,,,[],[]
Retrieve straddle data for Apple Inc.,straddle,straddle,True,True,1063.237190246582,category_22,medium,llama3.2:3b,,rag,2,0,False,,category_22,"['category_19', 'category_6', 'category_16', 'category_25', 'category_10', 'category_15', 'category_38', 'category_22', 'category_27']",False,False,False,[],,,0,{'ticker': True},,,0,,,953,18,971,True,"['straddle', 'getlatestbysecuritiescode', 'register_device_information', 'get_podcast_metadata', 'smart_phones', 'shazam_songs_get_details', 'get_pokemon_move_info', 'fetchdividends', 'get_artist_s_albums', 'metadata']",1,False,False,,,,[],[]
"For a star party in Cape Town on April 10th, 2023, at 10 PM, what celestial bodies will be in the sky?",get_all_bodies_positions,get_all_bodies_positions,True,False,2127.342939376831,category_1,expert,llama3.2:3b,,rag,2,0,False,,category_1,"['category_37', 'category_31', 'category_9', 'category_7', 'category_28', 'category_10', 'category_1', 'category_15', 'category_22', 'category_30']",False,False,False,[],,,0,"{'latitude': False, 'longitude': False, 'from_date': False, 'to_date': False, 'time': False}",,,0,,,1507,68,1575,True,"['get_all_bodies_positions', 'prediction', 'v1_stars', 'location_search', 'fixtures', 'search_return_flights', 'timezone', 'v1_worldtime', 'get_horoscope_multilingual', 'can_attend_all_meetings']",1,False,False,,,,[],[]
Get the search results for the YouTube influencer with search ID 'YT1122334455'.,getsearchresults,getsearchresults,True,False,1300.4000186920166,category_30,medium,llama3.2:3b,,rag,2,0,False,,category_30,"['category_5', 'category_37', 'category_9', 'category_26', 'category_23', 'category_28', 'category_30']",False,False,False,[],,,0,{'is_id': False},,,0,,,897,45,942,True,"['getsearchresults', 'about_channel', 'search_for_channels', 'getpeople', 'video_info', 'video_videoid', 'video_subtitles', 'get_video_urls', 'get_user_feed', 'following_by_username']",1,False,False,,,,[],[]
"Retrieve 100 articles from the 'Nasa Climate' source, excluding 'The Guardian'.",get_articles,get_articles,True,True,1712.080717086792,category_31,hard,llama3.2:3b,,rag,2,0,False,,category_31,"['category_36', 'category_5', 'category_37', 'category_33', 'category_31', 'category_9', 'category_6', 'category_23', 'category_28', 'category_1']",False,False,False,[],,,0,"{'limit': True, 'exclude': True, 'source': True}",,,0,,,1462,32,1494,True,"['get_articles', 'getnews', 'getstatsbyyear', 'get_all_posts', 'v1_stars', 'gethistoricalscoresbyyear', 'location_search', 'get_all_bodies_positions', 'get_host_list_version_hosts_get', 'get_all_advisories']",1,False,False,,,,[],[]
Fetch contact information for partner 'PART002'.,partenaire_par_id,partenaire_par_id,True,True,956.4893245697021,category_27,medium,llama3.2:3b,,rag,2,0,False,,category_27,"['category_39', 'category_33', 'category_27', 'category_3', 'category_6', 'category_23', 'category_30']",False,False,False,[],,,0,{'is_id': True},,,0,,,799,21,820,True,"['partenaire_par_id', 'fetchdividends', 'get_the_mx_records', 'memre_api_v1_readiness', 'getpeople', 'get_hsn_tsn', 'getlatestbysecuritiescode', 'get_username_point_blank', 'getpercentage', 'addresses']",1,False,False,,,,[],[]
