prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping this address,ping_host,ping_host,True,,4997.879981994629,networking_operations,hard,llama3.2:3b,,rag,2,0,False,,networking_operations,"['healthcare_operations', 'networking_operations', 'email_operations', 'system_operations', 'social_media_operations', 'messaging_operations', 'web_operations', 'location_operations']",False,False,False,[],,,0,{},,,0,,,2269,29,2298,True,"['ping_host', 'traceroute', 'get_network_info', 'port_scan', 'get_network_interfaces', 'reverse_geocode', 'geocode_address', 'batch_geocode', 'send_patient_message', 'create_geofence', 'broadcast_message', 'check_url_status', 'validate_address', 'batch_geocode', 'schedule_message', 'reply_to_comment', 'send_telegram_message', 'configure_email_domain', 'set_auto_response', 'validate_address']",1.0,False,False,,,,[],[]
Restore file from Glacier,restore_archived_object,restore_archived_object,True,,2885.9188556671143,cloud_storage_operations,expert,llama3.2:3b,,rag,2,0,False,,cloud_storage_operations,"['caching_operations', 'database_operations', 'cloud_storage_operations', 'data_operations', 'web_operations', 'file_operations', 'backup_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,2526,28,2554,True,"['restore_archived_object', 'download_from_cloud', 'restore_cache', 'restore_database', 'copy_cloud_file', 'restore_database', 'import_cache_data', 'restore_backup', 'upload_to_cloud', 'get_cloud_file_info', 'extract_archive', 'replicate_backup', 'compress_files', 'download_file', 'backup_database', 'manage_multipart_upload', 'sync_buckets', 'retry_failed_jobs', 'setup_replication', 'backup_database']",1.0,False,False,,,,[],[]
Audit for PCI-DSS,run_compliance_check,run_compliance_check,True,,2765.6147480010986,compliance_operations,hard,llama3.2:3b,,rag,2,0,False,,compliance_operations,"['security_operations', 'compliance_operations', 'monitoring_operations', 'database_operations', 'cloud_storage_operations', 'system_operations', 'authentication_operations', 'analytics_operations', 'file_operations', 'devops_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,2528,21,2549,True,"['manage_database_audit', 'track_vendor_compliance', 'run_compliance_check', 'monitor_metrics', 'setup_monitoring_alert', 'track_event', 'create_metric', 'scan_vulnerabilities', 'manage_exception', 'watch_file', 'manage_identity_verification', 'classify_data', 'alert_on_metric', 'get_queue_metrics', 'verify_jwt', 'verify_otp', 'enable_access_logging', 'manage_data_retention', 'get_uptime', 'get_alert_status']",3.0,False,False,,,,[],[]
Get the text content,extract_text,extract_text,True,,3084.9039554595947,document_operations,expert,llama3.2:3b,,rag,2,0,False,,document_operations,"['email_operations', 'ai_ml_operations', 'document_operations', 'image_operations', 'logging_operations', 'social_media_operations', 'file_operations', 'text_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,2310,54,2364,True,"['extract_text_from_document', 'extract_text', 'parse_html', 'ocr_image', 'parse_html', 'search_file_content', 'search_text', 'decode_text', 'extract_entities', 'replace_text', 'get_email_headers', 'compare_texts', 'format_text', 'generate_text', 'extract_keywords', 'trim_text', 'generate_image', 'parse_log_pattern', 'generate_content', 'tail_file']",2.0,False,False,,,,[],[]
When was the server last rebooted?,get_uptime,get_uptime,True,,2732.1290969848633,system_operations,hard,llama3.2:3b,,rag,2,0,False,,system_operations,"['caching_operations', 'cloud_storage_operations', 'iot_operations', 'system_operations', 'messaging_operations', 'devops_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,2326,30,2356,True,"['get_uptime', 'manage_service', 'manage_cache_policy', 'warm_cache', 'manage_cache_policy', 'get_current_datetime', 'get_system_info', 'manage_message_queue', 'configure_cache_persistence', 'manage_firmware', 'configure_cache_cluster', 'configure_cache_replication', 'restore_cache', 'get_memory_info', 'get_network_info', 'enable_access_logging', 'setup_monitoring_alert', 'retry_failed_jobs', 'cache_warm', 'analyze_cache_performance']",1.0,False,False,,,,[],[]
Send bulk email,send_bulk_email,send_bulk_email,True,,4490.77296257019,email_operations,expert,llama3.2:3b,,rag,2,0,False,,email_operations,"['email_operations', 'messaging_operations', 'web_operations', 'location_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,2429,135,2564,True,"['send_bulk_email', 'broadcast_message', 'send_email', 'import_emails', 'test_email_deliverability', 'configure_email_domain', 'setup_email_automation', 'create_message_template', 'send_push_notification', 'configure_email_domain', 'export_emails', 'manage_email_list', 'get_email_headers', 'archive_email', 'schedule_message', 'send_telegram_message', 'batch_geocode', 'manage_mailing_list', 'manage_notification_digest', 'create_email_signature']",1.0,False,False,,,,[],[]
Enable two-factor authentication,manage_mfa,manage_mfa,True,,2761.5010738372803,authentication_operations,hard,llama3.2:3b,,rag,2,0,False,,authentication_operations,"['security_operations', 'healthcare_operations', 'cloud_storage_operations', 'iot_operations', 'email_operations', 'authentication_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,2561,18,2579,True,"['manage_mfa', 'configure_auth_policy', 'generate_totp_secret', 'manage_device_trust', 'create_service_account', 'manage_identity_verification', 'verify_otp', 'create_user', 'authenticate_user', 'manage_oauth', 'verify_password_hash', 'manage_device_security', 'check_password_strength', 'verify_jwt', 'manage_api_scopes', 'verify_bank_account', 'hash_password', 'manage_prior_authorization', 'generate_presigned_url', 'configure_email_domain']",1.0,False,False,,,,[],[]
Automate onboarding emails,setup_email_automation,setup_email_automation,True,,3850.8551120758057,email_operations,expert,llama3.2:3b,,rag,2,0,False,,email_operations,"['messaging_operations', 'web_operations', 'notification_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,2501,90,2591,True,"['setup_email_automation', 'import_emails', 'set_auto_response', 'schedule_email_digest', 'test_email_deliverability', 'manage_email_list', 'send_email', 'create_email_signature', 'send_bulk_email', 'archive_email', 'create_message_template', 'configure_email_domain', 'handle_bounce', 'export_emails', 'schedule_message', 'broadcast_message', 'manage_mailing_list', 'configure_email_domain', 'create_notification_campaign', 'create_notification_workflow']",1.0,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,cancel_workflow,True,,2544.779062271118,workflow_operations,hard,llama3.2:3b,,rag,2,0,False,,workflow_operations,"['monitoring_operations', 'workflow_operations', 'scheduling_operations', 'system_operations', 'ai_ml_operations', 'payment_operations', 'messaging_operations', 'file_operations', 'queue_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,2139,31,2170,True,"['cancel_workflow', 'cancel_notification', 'void_payment', 'retry_workflow_step', 'pause_scheduled_job', 'kill_process', 'set_quiet_hours', 'delete_file', 'run_workflow', 'configure_quiet_hours', 'purge_queue', 'manage_message_queue', 'silence_alert', 'retry_failed_jobs', 'create_pipeline', 'enqueue_job', 'batch_delete_messages', 'redrive_messages', 'schedule_workflow', 'resume_scheduled_job']",1.0,False,False,,,,[],[]
What is the 10th Fibonacci number?,fibonacci,fibonacci,True,,2611.938953399658,math_operations,hard,llama3.2:3b,,rag,2,0,False,,math_operations,"['security_operations', 'caching_operations', 'math_operations', 'system_operations', 'document_operations', 'payment_operations', 'file_operations', 'rate_limiting_operations']",False,False,False,[],,,0,{},,,0,,,2247,29,2276,True,"['fibonacci', 'factorial', 'logarithm', 'exponentiation', 'number_base_convert', 'modular_arithmetic', 'add_page_numbers', 'prime_factorization', 'cache_increment', 'generate_totp_secret', 'generate_secure_token', 'create_signature', 'ratio_proportion', 'trigonometry', 'sleep_delay', 'search_files', 'kill_process', 'increment_rate_limit', 'apply_coupon', 'rename_files_batch']",1.0,False,False,,,,[],[]
