prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
List pornstars with a cup size of D or larger and a waist size below 65 cm.,listpornstars,listpornstars,True,False,3482.4836254119873,category_4,expert,llama3.2:3b,,adaptive_rag,2,0,False,,category_4,"['category_29', 'category_4', 'category_34']",False,False,False,[],,,0,"{'min_cup_size': False, 'max_waist': False}",,,0,3,bounded,990,31,1021,True,"['listpornstars', 'retrievepornstar', 'get_cigar_average_length']",1,False,False,,,,[],[]
Retrieve all available information about the 'ConfidentialVault'.,read_vault_by_name,read_vault_by_name,True,True,750.1912117004395,category_35,medium,llama3.2:3b,,adaptive_rag,2,0,False,,category_35,"['category_29', 'category_35', 'category_1']",False,False,False,[],,,0,{'name': True},,,0,3,threshold,561,22,583,True,"['read_vault_by_name', 'retrievepornstar', 'getlistbysecuritiescode']",1,False,False,,,,[],[]
Get the types available for horoscopes for the current week.,get_types,get_types,True,True,1251.5976428985596,category_23,medium,llama3.2:3b,,adaptive_rag,2,0,False,,category_23,"['category_2', 'category_23', 'category_35', 'category_30', 'category_10', 'category_37', 'category_20', 'category_28', 'category_39']",False,False,False,[],,,0,{'period': True},,,0,10,threshold,1183,17,1200,True,"['get_types', 'sign', 'stock_calendar_events', 'symbols_get_option_expirations', 'get_signals', 'daily_match_list_live', 'indexes_intraday', 'prediction', 'symbol_strength', 'time_zone_api']",1,False,False,,,,[],[]
Find all motorcycles made by Honda in the year 2005.,v1_motorcycles,,False,,759.6187591552734,category_6,hard,llama3.2:3b,Model did not call any tool,adaptive_rag,2,0,False,,,"['category_36', 'category_17', 'category_6']",False,False,False,[],,,0,{},,,0,3,threshold,489,31,520,True,"['v1_motorcycles', 'years', 'get_5_year_historical_quarterly_prices']",1,False,False,,,,[],[]
What is the expiry date of the vehicle with registration number XYZ789?,expiry_date_enquiry,expiry_date_enquiry,True,True,556.9126605987549,category_39,medium,llama3.2:3b,,adaptive_rag,2,0,False,,category_39,"['category_17', 'category_37', 'category_39']",False,False,False,[],,,0,{'rego': True},,,0,3,bounded,399,20,419,True,"['expiry_date_enquiry', 'symbols_get_option_expirations', 'years']",1,False,False,,,,[],[]
How much income is typically earned in the area of zipcode 10001?,income_by_zipcode,income_by_zipcode,True,True,558.4142208099365,category_3,medium,llama3.2:3b,,adaptive_rag,2,0,False,,category_3,"['category_3', 'category_37', 'category_40', 'category_9']",False,False,False,[],,,0,{'zip': True},,,0,4,threshold,421,20,441,True,"['income_by_zipcode', 'getzipcodebycounty', 'estimated_salary', 'search_zip_codes_in_mexico']",1,False,False,,,,[],[]
What are the standings for the Primeira Liga in the 2021 season?,primeira_liga_standings,primeira_liga_standings,True,True,533.1697463989258,category_31,medium,llama3.2:3b,,adaptive_rag,2,0,False,,category_31,"['category_5', 'category_27', 'category_31']",False,False,False,[],,,0,{'season': True},,,0,3,elbow,334,22,356,True,"['primeira_liga_standings', 'serie_a_standings', 'laliga_standings']",1,False,False,,,,[],[]
Get the constructor standings from the 1980 Formula 1 season.,seasonendconstructorstanding,,False,,1073.0531215667725,category_17,medium,llama3.2:3b,Model did not call any tool,adaptive_rag,2,0,False,,,"['category_17', 'category_27', 'category_22', 'category_5', 'category_7', 'category_31']",False,False,False,[],,,0,{},,,0,8,threshold,821,32,853,True,"['seasonendconstructorstanding', 'serie_a_standings', 'raceresult', 'primeira_liga_standings', 'laliga_standings', 'races', 'years', 'team_stats']",1,False,False,,,,[],[]
Fetch the latest 100 matchmaking matches in Trackmania.,matchmaking_matches,matchmaking_matches,True,True,1954.7572135925293,category_28,hard,llama3.2:3b,,adaptive_rag,2,0,False,,category_28,"['category_3', 'category_37', 'category_38', 'category_28', 'category_11', 'category_8', 'category_27', 'category_22', 'category_39', 'category_10', 'category_36', 'category_12', 'category_7', 'category_18', 'category_20', 'category_31']",False,False,False,[],,,0,"{'limit': True, 'page': True}",,,0,20,bounded,1828,24,1852,True,"['matchmaking_matches', 'primeira_liga_standings', 'fixtures_by_date', 'year_end_hot_100_songs', 'fetch_latest', 'fight', 'getmatchesbyteam', 'races', 'latest', 'u_k_songs', 'daily_match_list_live', 'get_countries', 'list_weekly_top_albums', 'get_5_latest_endpoint', 'raceresult', 'laliga_standings', 'artist_discovered_on', 'get_all_latest_nba_articles', 'playstationdeals', 'get_signals']",1,False,False,,,,[],[]
Could you retrieve information about the event numbered 54321?,event,event,True,True,989.6681308746338,category_16,medium,llama3.2:3b,,adaptive_rag,2,0,False,,category_16,"['category_3', 'category_28', 'category_35', 'category_16', 'category_36', 'category_20']",False,False,False,[],,,0,{'is_id': True},,,0,7,threshold,656,35,691,True,"['event', 'live_events', 'maclookup', 'historical', 'postcodes', 'single_contest', 'stock_calendar_events']",1,False,False,,,,[],[]
