prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping the server,ping_host,ping_host,True,,3121.4938163757324,networking_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,networking_operations,['networking_operations'],False,False,False,[],,,0,{},,,0,3,bounded,397,17,414,True,"['ping_host_alt', 'ping_host', 'port_scan']",2.0,False,False,,,,[],[]
Retrieve archived data,restore_archived_object,archive_data,False,,1130.7199001312256,cloud_storage_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,data_operations,"['data_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,3,elbow,516,45,561,True,"['archive_data', 'restore_archived_object', 'restore_archived_object_alt']",2.0,False,False,,,,[],[]
Audit for PCI-DSS,run_compliance_check,run_compliance_check_alt,False,,833.1677913665771,compliance_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,compliance_operations,"['compliance_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,3,bounded,468,27,495,False,"['manage_database_audit', 'track_vendor_compliance', 'run_compliance_check_alt']",,False,False,,,,[],[]
Extract text from this PDF,extract_text,extract_text,True,,2675.013780593872,document_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,document_operations,"['web_operations', 'image_operations', 'text_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,13,threshold,1506,83,1589,True,"['extract_text', 'extract_text_from_document', 'parse_text', 'ocr_image', 'flatten_pdf', 'extract_entities', 'parse_html', 'decode_text', 'parse_html', 'linearize_pdf', 'add_page_numbers', 'split_document', 'search_text']",1.0,False,False,,,,[],[]
Check the uptime,get_uptime,get_uptime,True,,781.4230918884277,system_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,system_operations,"['calendar_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,5,threshold,548,18,566,True,"['get_uptime', 'retrieve_uptime', 'check_availability', 'get_current_datetime', 'sleep_delay']",1.0,False,False,,,,[],[]
Email the newsletter,send_bulk_email,send_email,False,,1600.8579730987549,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,web_operations,"['web_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,6,threshold,845,55,900,False,"['manage_mailing_list', 'schedule_email_digest', 'manage_email_list', 'send_email', 'test_email_deliverability', 'send_bulk_email_alt']",,False,False,,,,[],[]
Set up authenticator app,manage_mfa,generate_totp_secret,False,,2452.9154300689697,authentication_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,security_operations,"['security_operations', 'authentication_operations', 'iot_operations']",False,False,False,[],,,0,{},,,0,13,threshold,1757,49,1806,True,"['configure_auth_policy', 'manage_device_trust', 'manage_oauth', 'manage_mfa_alt', 'manage_mfa', 'manage_identity_verification', 'authenticate_user', 'create_service_account', 'create_user', 'generate_totp_secret', 'manage_api_scopes', 'manage_device_security', 'verify_otp']",5.0,False,False,,,,[],[]
Automate onboarding emails,setup_email_automation,setup_email_automation,True,,3665.879964828491,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['web_operations', 'email_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2470,81,2551,True,"['setup_email_automation_alt', 'setup_email_automation', 'import_emails', 'set_auto_response', 'schedule_email_digest', 'test_email_deliverability', 'send_bulk_email_alt', 'manage_email_list', 'send_email', 'create_email_signature', 'send_bulk_email', 'archive_email', 'create_message_template', 'configure_email_domain', 'handle_bounce', 'export_emails', 'schedule_message', 'broadcast_message', 'manage_mailing_list', 'configure_email_domain']",2.0,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,cancel_workflow,True,,1102.6780605316162,workflow_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,workflow_operations,"['workflow_operations', 'scheduling_operations', 'payment_operations', 'notification_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,7,threshold,738,27,765,True,"['cancel_workflow_alt', 'cancel_workflow', 'cancel_notification', 'void_payment', 'retry_workflow_step', 'pause_scheduled_job', 'kill_process']",2.0,False,False,,,,[],[]
Is 144 a Fibonacci number?,fibonacci,fibonacci,True,,741.9090270996094,math_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,math_operations,"['math_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,3,bounded,435,23,458,True,"['fibonacci', 'fibonacci_alt', 'add_page_numbers']",1.0,False,False,,,,[],[]
