prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Alert when temperature exceeds 30,configure_device_alert,,False,,3746.8206882476807,iot_operations,expert,llama3.2:3b,No tool selected in step,clustering,4,1,False,False,math_operations,"['system_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,,,2974,70,3044,,[],,False,False,,,,[],[]
Export analytics report,generate_report,,False,,2870.2785968780518,social_media_operations,expert,llama3.2:3b,No tool selected in step,clustering,3,1,False,,,['text_operations'],False,False,False,[],,,0,{},,,0,,,2420,48,2468,,[],,False,False,,,,[],[]
Generate discharge paperwork,generate_discharge_summary,,False,,3400.4452228546143,healthcare_operations,expert,llama3.2:3b,No tool selected in step,clustering,4,1,False,True,healthcare_operations,"['healthcare_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,3658,66,3724,,[],,False,False,,,,[],[]
Generate LinkedIn post content,generate_content,generate_content,True,,1946.9764232635498,social_media_operations,expert,llama3.2:3b,,clustering,2,0,False,True,social_media_operations,['social_media_operations'],False,False,False,[],,,0,{},,,0,,,1549,41,1590,,[],,False,False,,,,[],[]
Move old logs to the archive table,archive_data,,False,,2015.3977870941162,data_operations,expert,llama3.2:3b,No tool selected in step,clustering,2,0,False,True,data_operations,['data_operations'],False,False,False,[],,,0,{},,,0,,,1427,57,1484,,[],,False,False,,,,[],[]
Generate the first 15 Fibonacci numbers,fibonacci,fibonacci,True,,2044.7938442230225,math_operations,hard,llama3.2:3b,,clustering,2,0,False,True,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,,,1526,51,1577,,[],,False,False,,,,[],[]
Validate the card before charging,verify_payment_method,,False,,1688.0109310150146,payment_operations,expert,llama3.2:3b,No tool selected in step,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,1370,33,1403,,[],,False,False,,,,[],[]
Extend lock TTL,manage_cache_locks,,False,,2860.072135925293,caching_operations,expert,llama3.2:3b,No tool selected in step,clustering,3,1,False,,,['system_operations'],False,False,False,[],,,0,{},,,0,,,2472,41,2513,,[],,False,False,,,,[],[]
Give me walking directions to the restaurant,get_directions,,False,,8276.636600494385,location_operations,expert,ollama,Max steps (10) reached without selection,clustering,10,5,False,,,"['location_operations', 'location_operations', 'location_operations', 'location_operations', 'location_operations']",False,False,False,[],,,0,{},,,0,,,7305,180,7485,,[],,False,False,,,,[],[]
Generate SHA256 hash of 'hello world',hash_data,,False,,1915.2612686157227,system_operations,hard,llama3.2:3b,No tool selected in step,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,1376,51,1427,,[],,False,False,,,,[],[]
