prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Find photos of beaches,search_images,search_images,True,,3514.8985385894775,search_operations,expert,llama-3.3-70b,,rag,2,0,False,,search_operations,"['image_operations', 'document_operations', 'search_operations', 'cloud_storage_operations', 'web_operations', 'container_operations']",False,False,False,[],,,0,{},,,0,,,1790,26,1816,True,"['search_images', 'upscale_image', 'build_image', 'get_cloud_file_info', 'detect_objects', 'add_watermark', 'sitemap_parse', 'read_barcode', 'apply_filter', 'crop_image']",1,False,False,,,,[],[]
Prepare referral summary,generate_patient_summary,generate_patient_summary,True,,347.1364974975586,healthcare_operations,expert,llama-3.3-70b,,rag,2,0,False,,healthcare_operations,"['analytics_operations', 'calendar_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,2171,23,2194,True,"['refer_patient', 'generate_patient_summary', 'document_clinical_note', 'create_clinical_note', 'create_cohort', 'book_room', 'document_procedure', 'segment_users', 'segment_users', 'submit_insurance_claim']",2,False,False,,,,[],[]
Read the QR code from the photo,read_barcode,read_barcode,True,,424.1483211517334,image_operations,hard,llama-3.3-70b,,rag,2,0,False,,image_operations,"['image_operations', 'healthcare_operations', 'search_operations', 'video_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,1944,23,1967,True,"['read_barcode', 'apply_color_grading', 'order_imaging', 'pin_message', 'search_images', 'adjust_video_speed', 'detect_faces_in_video', 'extract_frames', 'send_patient_message', 'rotate_image']",1,False,False,,,,[],[]
Update patient allergies,update_allergy_list,update_allergy_list,True,,360.1045608520508,healthcare_operations,expert,llama-3.3-70b,,rag,2,0,False,,healthcare_operations,"['iot_operations', 'email_operations', 'calendar_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,2024,53,2077,True,"['update_allergy_list', 'send_patient_message', 'update_device_twin', 'reconcile_medications', 'refer_patient', 'generate_patient_summary', 'manage_calendar_subscription', 'record_vital_signs', 'check_drug_interactions', 'snooze_email']",1,False,False,,,,[],[]
Snooze message for later,snooze_email,snooze_email,True,,1051.6891479492188,email_operations,hard,llama-3.3-70b,,rag,2,0,False,,email_operations,"['notification_operations', 'email_operations', 'queue_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,1791,42,1833,True,"['snooze_email', 'configure_quiet_hours', 'set_quiet_hours', 'schedule_message', 'schedule_message', 'replay_messages', 'schedule_notification', 'create_message_reaction', 'send_discord_message', 'create_alert_rule']",1,False,False,,,,[],[]
Check for insecure file permissions,audit_permissions,audit_permissions,True,,421.2682247161865,security_operations,expert,llama-3.3-70b,,rag,2,0,False,,security_operations,"['file_operations', 'security_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,1452,30,1482,True,"['set_permissions', 'audit_permissions', 'check_file_signature', 'get_file_checksum', 'check_ssl_certificate', 'decrypt_file', 'set_owner', 'verify_signature', 'calculate_checksum', 'ssl_certificate_check']",2,False,False,,,,[],[]
Decode the encoded string,decode_text,decode_text,True,,331.1178684234619,text_operations,hard,llama-3.3-70b,,rag,2,0,False,,text_operations,"['image_operations', 'text_operations', 'web_operations', 'system_operations', 'audio_operations', 'file_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,1592,17,1609,True,"['decode_text', 'decode_url', 'encode_text', 'read_barcode', 'compress_decompress', 'decrypt_data', 'decrypt_file', 'extract_text', 'extract_archive', 'convert_audio']",1,False,False,,,,[],[]
Create user segment,manage_notification_segments,segment_users,False,,368.06678771972656,notification_operations,expert,llama-3.3-70b,,rag,2,0,False,,analytics_operations,"['notification_operations', 'analytics_operations', 'monitoring_operations', 'authentication_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,1750,60,1810,True,"['segment_users', 'segment_users', 'create_user', 'create_customer', 'manage_notification_segments', 'create_cohort', 'authenticate_user', 'create_dashboard', 'manage_roles', 'manage_session']",5,False,False,,,,[],[]
Set up a KPI dashboard,create_dashboard,create_dashboard,True,,395.2932357788086,analytics_operations,expert,llama-3.3-70b,,rag,2,0,False,,analytics_operations,"['iot_operations', 'ai_ml_operations', 'devops_operations', 'cloud_storage_operations', 'monitoring_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,,,1841,68,1909,True,"['create_dashboard', 'create_dashboard', 'create_dashboard', 'create_log_dashboard', 'create_kubernetes_resource', 'create_metric', 'enable_access_logging', 'monitor_model', 'analyze_device_data', 'configure_iot_stream']",1,False,False,,,,[],[]
DNS lookup for domain,dns_lookup,dns_lookup,True,,1023.86474609375,networking_operations,hard,llama-3.3-70b,,rag,2,0,False,,networking_operations,"['healthcare_operations', 'email_operations', 'web_operations', 'payment_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,,,1363,32,1395,True,"['dns_lookup', 'whois_lookup', 'configure_email_domain', 'configure_email_domain', 'ping_host', 'get_payment_status', 'check_url_status', 'check_url_status', 'decode_url', 'refer_patient']",1,False,False,,,,[],[]
