prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Trace user flow,analyze_user_journey,analyze_user_journey,True,,4047.4562644958496,analytics_operations,expert,llama-3.3-70b,,rag,2,0,False,,analytics_operations,"['analytics_operations', 'web_operations', 'compliance_operations', 'system_operations', 'workflow_operations', 'security_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,,,2432,48,2480,True,"['track_event', 'analyze_user_journey', 'create_funnel_analysis', 'get_workflow_status', 'process_data_subject_request', 'get_workflow_metrics', 'tail_logs', 'check_url_status', 'create_funnel', 'secrets_scan', 'track_vendor_compliance', 'correlate_logs', 'get_network_info', 'get_cpu_info', 'verify_totp']",2,False,False,,,,[],[]
Remove the deprecated column from users,drop_column,drop_column,True,,632.533073425293,data_operations,hard,llama-3.3-70b,,rag,2,0,False,,data_operations,"['document_operations', 'analytics_operations', 'database_operations', 'ecommerce_operations', 'devops_operations', 'cloud_storage_operations', 'compliance_operations', 'data_operations', 'authentication_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,,,2588,24,2612,True,"['drop_column', 'rename_column', 'revoke_api_key', 'rollback_deployment', 'truncate_table', 'manage_database_schema_changes', 'archive_data', 'set_log_retention', 'manage_session', 'calculate_ltv', 'redact_document', 'manage_abandoned_carts', 'manage_mfa', 'delete_cloud_file', 'process_data_subject_request']",1,False,False,,,,[],[]
Set up API authentication,create_api_key,create_api_key,True,,639.1270160675049,authentication_operations,expert,llama-3.3-70b,,rag,2,0,False,,authentication_operations,"['security_operations', 'authentication_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,2960,61,3021,True,"['create_api_key', 'oauth_authenticate', 'configure_passwordless', 'setup_oauth_provider', 'manage_oauth', 'revoke_api_key', 'generate_jwt', 'create_user', 'manage_mfa', 'generate_otp', 'manage_identity_verification', 'manage_device_trust', 'manage_session', 'verify_totp', 'verify_jwt']",1,False,False,,,,[],[]
Create a new SSH key pair,generate_keypair,generate_keypair,True,,568.5501098632812,security_operations,expert,llama-3.3-70b,,rag,2,0,False,,security_operations,"['document_operations', 'data_operations', 'authentication_operations', 'secrets_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,2831,38,2869,True,"['generate_keypair', 'create_api_key', 'rotate_keys', 'create_user', 'configure_passwordless', 'create_signature', 'setup_oauth_provider', 'generate_certificate', 'generate_password', 'update_secret', 'manage_oauth', 'sign_data', 'revoke_api_key', 'add_digital_signature', 'insert_record']",1,False,False,,,,[],[]
Remove write access from the log file,change_permissions,change_permissions,True,,495.0852394104004,file_operations,hard,llama-3.3-70b,,rag,2,0,False,,file_operations,"['document_operations', 'database_operations', 'web_operations', 'cloud_storage_operations', 'search_operations', 'math_operations', 'authentication_operations', 'file_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,,,2506,19,2525,True,"['set_log_retention', 'change_permissions', 'export_logs', 'set_owner', 'tail_logs', 'delete_cloud_file', 'create_log_alert', 'logarithm', 'http_delete', 'revoke_api_key', 'manage_database_audit', 'search_logs', 'aggregate_logs', 'redact_document', 'set_bucket_policy']",2,False,False,,,,[],[]
Truncate the sessions table,truncate_table,truncate_table,True,,623.6798763275146,data_operations,hard,llama-3.3-70b,,rag,2,0,False,,data_operations,"['payment_operations', 'logging_operations', 'web_operations', 'cloud_storage_operations', 'data_operations', 'authentication_operations', 'system_operations', 'workflow_operations', 'scheduling_operations', 'container_operations']",False,False,False,[],,,0,{},,,0,,,2267,23,2290,True,"['truncate_table', 'manage_session', 'set_log_retention', 'drop_column', 'http_delete', 'delete_scheduled_job', 'stop_container', 'cancel_workflow', 'kill_process', 'pause_scheduled_job', 'archive_data', 'cancel_subscription', 'revoke_api_key', 'execute_transaction', 'delete_cloud_file']",1,False,False,,,,[],[]
Sync users from Active Directory,sync_directory,sync_directory,True,,561.2132549285889,authentication_operations,expert,llama-3.3-70b,,rag,2,0,False,,authentication_operations,"['analytics_operations', 'social_media_operations', 'database_operations', 'calendar_operations', 'authentication_operations', 'audio_operations', 'file_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,,,3038,81,3119,True,"['sync_directory', 'manage_mfa', 'create_user', 'sync_directories', 'sync_calendars', 'sync_calendars', 'manage_identity_verification', 'manage_followers', 'replicate_database', 'manage_device_trust', 'manage_followers', 'manage_emergency_access', 'segment_users', 'sync_audio_video', 'replicate_cache']",1,False,False,,,,[],[]
Create a cron job for the cleanup script,schedule_task,create_scheduled_job,False,,508.62646102905273,system_operations,expert,llama-3.3-70b,,rag,2,0,False,,scheduling_operations,"['database_operations', 'email_operations', 'queue_operations', 'web_operations', 'data_operations', 'backup_operations', 'system_operations', 'workflow_operations', 'scheduling_operations']",False,False,False,[],,,0,{},,,0,,,2475,60,2535,True,"['delete_scheduled_job', 'create_scheduled_job', 'schedule_task', 'update_job_schedule', 'http_delete', 'pause_scheduled_job', 'delete_backup', 'setup_email_automation', 'schedule_workflow', 'truncate_table', 'manage_database_triggers', 'snooze_email', 'retry_failed_jobs', 'kill_process', 'archive_data']",3,False,False,,,,[],[]
Add logo to video,add_video_overlay,add_video_overlay,True,,450.61182975769043,video_operations,expert,llama-3.3-70b,,rag,2,0,False,,video_operations,"['image_operations', 'video_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,,,3041,55,3096,True,"['add_video_overlay', 'add_watermark', 'add_chapter_markers', 'add_subtitles', 'create_video_thumbnail', 'remove_background', 'loop_video', 'apply_video_filter', 'create_video_montage', 'merge_videos', 'create_video_slideshow', 'resize_video', 'apply_color_grading', 'generate_video_preview', 'detect_scene_changes']",1,False,False,,,,[],[]
Count the lines in the document,count_text,count_text,True,,563.1554126739502,text_operations,hard,llama-3.3-70b,,rag,2,0,False,,text_operations,"['document_operations', 'healthcare_operations', 'ecommerce_operations', 'text_operations', 'data_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,,,2729,16,2745,True,"['count_text', 'word_count', 'count_records', 'add_page_numbers', 'add_page_numbers', 'generate_patient_summary', 'generate_lorem_ipsum', 'summarize_text', 'document_clinical_note', 'aggregate_logs', 'flatten_pdf', 'add_header_footer', 'aggregate_data', 'calculate_shipping', 'compare_documents']",1,False,False,,,,[],[]
