prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
I need to compose and send an email message to recipients with a subject and body. Send an email,send_email,,False,,2535.639762878418,email_operations,expert,llama-3.3-70b,"Error code: 400 - {'message': ""Failed to generate tool_calls. Please adjust your prompt. See 'failed_generation' for more details. Exception: No valid function calls generated"", 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': 'send_email(to=""recipient@example.com"", subject=""Test Email"", body=""This is a test email."", from=""sender@example.com"")'}",rag,2,0,False,,,['email_operations'],False,False,False,[],,,0,{},,,0,,,,,,True,"['send_email', 'send_template_email', 'configure_email_domain', 'create_email_signature', 'send_bulk_email', 'configure_email_domain', 'create_email_template', 'test_email_deliverability', 'schedule_email_digest', 'set_email_auto_reply']",1,False,False,,,,[],[]
Please send an email using a predefined template with personalization variables. Send templated email,send_template_email,,False,,462.796688079834,email_operations,expert,llama-3.3-70b,"Error code: 400 - {'message': ""Failed to generate tool_calls. Please adjust your prompt. See 'failed_generation' for more details. Exception: No valid function calls generated"", 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': 'send_template_email(template=""welcome_template"", to=""user@example.com"", variables=\'{""name"": ""John"", ""link"": ""https://example.com""}\', locale=""en"", from=""support@example.com"")'}",rag,2,0,False,,,['email_operations'],False,False,False,[],,,0,{},,,0,,,,,,True,"['manage_email_template_variables', 'send_template_email', 'create_email_template', 'create_email_signature', 'send_email', 'set_email_auto_reply', 'snooze_email', 'test_email_deliverability', 'create_email_campaign', 'send_bulk_email']",2,False,False,,,,[],[]
I need to create a new reusable email template for future messages. Create email template,create_email_template,create_email_template,True,,353.24835777282715,email_operations,expert,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1765.0,48.0,1813.0,True,"['create_email_template', 'manage_email_template_variables', 'create_email_signature', 'send_template_email', 'snooze_email', 'archive_email', 'import_emails', 'restore_archived_email', 'export_emails', 'schedule_email_digest']",1,False,False,,,,[],[]
Please check the delivery status and tracking information for a sent email. Get delivery status,get_email_status,get_email_status,True,,384.7939968109131,email_operations,medium,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1666.0,19.0,1685.0,True,"['get_email_status', 'send_email', 'test_email_deliverability', 'verify_email_address', 'configure_email_domain', 'handle_bounce', 'verify_email_address', 'send_bulk_email', 'send_template_email', 'configure_email_domain']",1,False,False,,,,[],[]
"I need to add, remove, or update subscribers in a mailing list. Update subscriber",manage_mailing_list,manage_mailing_list,True,,437.2103214263916,email_operations,expert,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1889.0,52.0,1941.0,True,"['manage_mailing_list', 'manage_email_list', 'schedule_email_digest', 'send_email', 'set_email_auto_reply', 'snooze_email', 'send_bulk_email', 'archive_email', 'create_email_campaign', 'import_emails']",1,False,False,,,,[],[]
Please send the same email message to multiple recipients at once. Send bulk email,send_bulk_email,send_bulk_email,True,,451.9824981689453,email_operations,expert,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1848.0,67.0,1915.0,True,"['send_bulk_email', 'send_email', 'create_email_campaign', 'send_template_email', 'set_email_auto_reply', 'import_emails', 'setup_email_automation', 'create_email_signature', 'test_email_deliverability', 'snooze_email']",1,False,False,,,,[],[]
I need to validate whether an email address is properly formatted and deliverable. Validate email address,validate_email,validate_email,True,,482.1455478668213,email_operations,hard,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1628.0,27.0,1655.0,True,"['validate_email', 'verify_email_address', 'verify_email_address', 'test_email_deliverability', 'configure_email_domain', 'configure_email_domain', 'get_email_status', 'create_email_signature', 'handle_bounce', 'send_email']",1,False,False,,,,[],[]
"Please get email campaign analytics including open rates, click rates, and bounces. Campaign performance",get_email_analytics,analyze_email_metrics,False,,481.81700706481934,email_operations,expert,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1674.0,46.0,1720.0,True,"['analyze_email_metrics', 'get_email_analytics', 'create_email_campaign', 'test_email_deliverability', 'send_bulk_email', 'handle_bounce', 'get_email_headers', 'get_email_status', 'get_email_attachments', 'manage_email_list']",2,False,False,,,,[],[]
"I need to configure domain authentication settings for email sending with SPF, DKIM, and DMARC. Verify email domain",configure_email_domain,configure_email_domain,True,,559.1044425964355,email_operations,hard,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1750.0,17.0,1767.0,True,"['configure_email_domain', 'configure_email_domain', 'verify_email_address', 'verify_email_address', 'validate_email', 'create_email_signature', 'test_email_deliverability', 'send_email', 'import_emails', 'set_email_auto_reply']",1,False,False,,,,[],[]
I need to process and handle email bounces and spam complaints to maintain list hygiene. List bounced emails,handle_bounce,handle_bounce,True,,755.4540634155273,email_operations,hard,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1772.0,16.0,1788.0,True,"['handle_bounce', 'test_email_deliverability', 'manage_email_list', 'manage_mailing_list', 'send_bulk_email', 'verify_email_address', 'import_emails', 'setup_email_automation', 'schedule_email_digest', 'validate_email']",1,False,False,,,,[],[]
