prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Find photos of beaches,search_images,search_images,True,,10521.157503128052,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['search_operations', 'location_operations']",False,False,False,[],,,0,{},,,0,3,bounded,893,43,936,True,"['search_images', 'get_elevation', 'get_place_details']",1.0,False,False,,,,[],[]
Prepare referral summary,generate_patient_summary,generate_patient_summary,True,,495.07832527160645,healthcare_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,healthcare_operations,['healthcare_operations'],False,False,False,[],,,0,{},,,0,5,threshold,1843,56,1899,True,"['refer_patient', 'generate_patient_summary', 'document_clinical_note', 'create_clinical_note', 'reconcile_medications']",2.0,False,False,,,,[],[]
Read the QR code from the photo,read_barcode,read_barcode,True,,337.6798629760742,image_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,image_operations,"['video_operations', 'image_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,3,bounded,1090,22,1112,True,"['read_barcode', 'apply_color_grading', 'record_vital_signs']",1.0,False,False,,,,[],[]
Update patient allergies,update_allergy_list,update_allergy_list,True,,408.0681800842285,healthcare_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,healthcare_operations,['healthcare_operations'],False,False,False,[],,,0,{},,,0,4,threshold,1450,57,1507,True,"['update_allergy_list', 'check_drug_interactions', 'generate_patient_summary', 'reconcile_medications']",1.0,False,False,,,,[],[]
Snooze message for later,snooze_email,snooze_email,True,,368.08037757873535,email_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,"['queue_operations', 'messaging_operations', 'calendar_operations', 'email_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,18,threshold,4951,34,4985,True,"['snooze_email', 'set_quiet_hours', 'configure_quiet_hours', 'set_presence_status', 'schedule_message', 'manage_calendar_notifications', 'replay_messages', 'batch_send_messages', 'schedule_message', 'pin_message', 'schedule_notification', 'respond_to_event', 'create_queue', 'send_sms', 'manage_notification_digest', 'set_queue_attributes', 'set_out_of_office', 'create_alert_rule']",1.0,False,False,,,,[],[]
Check for insecure file permissions,audit_permissions,audit_permissions,True,,484.85636711120605,security_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,security_operations,"['cloud_storage_operations', 'web_operations', 'file_operations', 'security_operations', 'backup_operations', 'document_operations', 'secrets_operations']",False,False,False,[],,,0,{},,,0,20,bounded,4865,32,4897,True,"['audit_permissions', 'check_file_signature', 'set_permissions', 'calculate_checksum', 'get_file_checksum', 'check_ssl_certificate', 'decrypt_file', 'ssl_certificate_check', 'verify_document_signature', 'verify_signature', 'verify_signature', 'secrets_scan', 'download_file', 'verify_backup', 'get_ssl_info', 'set_bucket_policy', 'get_secret', 'set_owner', 'enable_access_logging', 'scan_vulnerabilities']",1.0,False,False,,,,[],[]
Decode the encoded string,decode_text,decode_text,True,,544.5199012756348,text_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,text_operations,"['web_operations', 'system_operations', 'image_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,6,threshold,1566,18,1584,True,"['decode_text', 'decode_url', 'encode_text', 'compress_decompress', 'read_barcode', 'extract_text']",1.0,False,False,,,,[],[]
Create user segment,manage_notification_segments,segment_users,False,,547.9872226715088,notification_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,analytics_operations,"['authentication_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,3,threshold,976,60,1036,False,"['segment_users', 'segment_users', 'create_user']",,False,False,,,,[],[]
Set up a KPI dashboard,create_dashboard,create_dashboard,True,,963.5446071624756,analytics_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,analytics_operations,"['logging_operations', 'monitoring_operations']",False,False,False,[],,,0,{},,,0,4,elbow,1314,101,1415,True,"['create_dashboard', 'create_log_dashboard', 'create_dashboard', 'create_dashboard']",1.0,False,False,,,,[],[]
DNS lookup for domain,dns_lookup,dns_lookup,True,,885.9236240386963,networking_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,networking_operations,"['email_operations', 'networking_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,4,threshold,952,32,984,True,"['dns_lookup', 'whois_lookup', 'configure_email_domain', 'configure_email_domain']",1.0,False,False,,,,[],[]
