prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Create weekly activity summary,send_digest_notification,send_digest_notification,True,,2268.95809173584,notification_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,34273,45,34318,,[],,False,False,,,,[],[]
Verify backup integrity,verify_backup,verify_backup,True,,2877.8061866760254,backup_operations,hard,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,34272,29,34301,,[],,False,False,,,,[],[]
Label training data,create_labeling_job,create_labeling_job,True,,1001.5122890472412,ai_ml_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,34272,58,34330,,[],,False,False,,,,[],[]
Prioritize recent content,boost_search_results,boost_search_results,True,,996.7424869537354,search_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,34273,52,34325,,[],,False,False,,,,[],[]
Download query results as CSV,export_csv,export_csv,True,,958.411455154419,data_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,34274,37,34311,,[],,False,False,,,,[],[]
Disable trigger,manage_database_triggers,manage_database_triggers,True,,61993.54386329651,database_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,34271,37,34308,,[],,False,False,,,,[],[]
Import the SQL dump,restore_database,execute_query,False,,909.1131687164307,database_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,34273,19,34292,,[],,False,False,,,,[],[]
Create cache search index,create_cache_index,create_cache_index,True,,1021.6426849365234,caching_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,34273,66,34339,,[],,False,False,,,,[],[]
Copy documents to new index,reindex,reindex,True,,892.4984931945801,search_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,34274,21,34295,,[],,False,False,,,,[],[]
Enable WebAuthn,configure_passwordless,configure_passwordless,True,,928.7509918212891,authentication_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,34273,23,34296,,[],,False,False,,,,[],[]
