prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Find similar images,search_images,search_images,True,,6359.3339920043945,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['search_operations', 'image_operations', 'file_operations', 'document_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,14,threshold,2531,17,2548,True,"['query_images', 'search_images', 'cluster_data', 'detect_objects', 'find_duplicates', 'overlay_images', 'create_collage', 'create_collage', 'upscale_image', 'semantic_search', 'fetch_barcode', 'extract_colors', 'compare_documents', 'read_barcode']",2,False,False,,,,[],[]
Generate patient summary,generate_patient_summary,generate_patient_summary,True,,547.1770763397217,healthcare_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,healthcare_operations,"['text_operations', 'testing_operations', 'logging_operations', 'analytics_operations', 'healthcare_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,20,threshold,4201,47,4248,True,"['generate_patient_summary', 'generate_patient_summary_alt', 'create_clinical_note', 'document_clinical_note', 'create_care_plan', 'document_procedure', 'create_cohort', 'refer_patient', 'send_patient_message', 'record_vital_signs', 'word_count', 'aggregate_logs', 'reconcile_medications', 'segment_users', 'order_imaging', 'generate_lorem_ipsum', 'create_log_dashboard', 'generate_test_report', 'submit_insurance_claim', 'generate_text']",1,False,False,,,,[],[]
Read the QR code from the photo,read_barcode,read_barcode,True,,435.5273246765137,image_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,image_operations,"['video_operations', 'image_operations']",False,False,False,[],,,0,{},,,0,3,bounded,618,13,631,True,"['read_barcode', 'fetch_barcode', 'apply_color_grading']",1,False,False,,,,[],[]
Remove allergy from record,update_allergy_list,update_allergy_list,True,,397.69887924194336,healthcare_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,healthcare_operations,"['healthcare_operations', 'audio_operations']",False,False,False,[],,,0,{},,,0,3,bounded,873,25,898,True,"['alter_allergy_list', 'update_allergy_list', 'remove_noise']",2,False,False,,,,[],[]
Snooze this email,snooze_email,snooze_email,True,,435.58382987976074,email_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,"['email_operations', 'calendar_operations']",False,False,False,[],,,0,{},,,0,3,bounded,653,31,684,True,"['snooze_email', 'snooze_email_alt', 'set_out_of_office']",1,False,False,,,,[],[]
Find world-writable files,audit_permissions,audit_permissions,True,,597.219705581665,security_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,security_operations,"['cloud_storage_operations', 'system_operations', 'security_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,18,threshold,2917,19,2936,True,"['get_cloud_file_info', 'find_duplicates', 'list_directory', 'get_file_checksum', 'set_permissions', 'calculate_checksum', 'watch_file', 'upload_to_cloud', 'audit_permissions', 'check_file_signature', 'set_owner', 'get_disk_usage', 'delete_cloud_file', 'get_disk_info', 'sync_directories', 'audit_permissions_alt', 'enable_access_logging', 'manage_multipart_upload']",9,False,False,,,,[],[]
Decode the encoded string,decode_text,decode_text,True,,414.0908718109131,text_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,text_operations,"['web_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,3,elbow,491,16,507,True,"['decode_url', 'decipher_text', 'decode_text']",3,False,False,,,,[],[]
List notification segments,manage_notification_segments,manage_notification_segments,True,,553.276538848877,notification_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,notification_operations,"['monitoring_operations', 'notification_operations', 'calendar_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3947,12,3959,True,"['manage_notification_segments', 'manage_notification_segments_alt', 'manage_notification_digest', 'manage_notification_templates', 'manage_notification_channel', 'create_notification_template', 'configure_notification_channel', 'create_alert_rule', 'manage_push_subscriptions', 'manage_subscription', 'get_alert_status', 'set_notification_rules', 'create_notification_workflow', 'schedule_notification', 'track_notification_engagement', 'manage_calendar_notifications', 'test_notification', 'send_push_notification', 'set_quiet_hours', 'send_push_notification']",1,False,False,,,,[],[]
Create a sales dashboard,create_dashboard,create_dashboard,True,,61042.545557022095,analytics_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,analytics_operations,"['monitoring_operations', 'logging_operations', 'ecommerce_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,13,threshold,2408,76,2484,True,"['create_dashboard', 'create_dashboard', 'add_dashboard', 'create_dashboard', 'create_log_dashboard', 'generate_product_feed', 'create_order', 'segment_users', 'manage_loyalty_program', 'predict_churn', 'forecast_metric', 'create_subscription', 'segment_users']",1,False,False,,,,[],[]
Resolve DNS records,dns_lookup,dns_lookup,True,,403.12981605529785,networking_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,networking_operations,"['networking_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,3,elbow,576,32,608,True,"['dns_lookup', 'dns_lookup_alt', 'whois_lookup']",1,False,False,,,,[],[]
