prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Send an email,send_email,send_email,True,,2933.5944652557373,email_operations,expert,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2748,37,2785,True,"['send_email', 'send_template_email', 'create_email_campaign', 'verify_email_address', 'send_bulk_email', 'configure_email_domain', 'setup_email_automation', 'set_email_auto_reply', 'configure_email_domain', 'test_email_deliverability']",1,False,False,,,,[],[]
Send welcome email,send_template_email,send_template_email,True,,403.0027389526367,email_operations,expert,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2768,28,2796,True,"['setup_email_automation', 'create_email_campaign', 'send_email', 'set_email_auto_reply', 'verify_email_address', 'send_template_email', 'send_bulk_email', 'configure_email_domain', 'create_email_signature', 'test_email_deliverability']",6,False,False,,,,[],[]
Set up email template,create_email_template,create_email_template,True,,389.67037200927734,email_operations,expert,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2772,47,2819,True,"['send_template_email', 'create_email_template', 'manage_email_template_variables', 'create_email_signature', 'setup_email_automation', 'send_email', 'create_email_campaign', 'test_email_deliverability', 'configure_email_domain', 'schedule_email_digest']",2,False,False,,,,[],[]
Was the email delivered?,get_email_status,get_email_status,True,,369.05980110168457,email_operations,medium,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2585,20,2605,True,"['get_email_headers', 'get_email_status', 'test_email_deliverability', 'send_template_email', 'send_email', 'setup_email_automation', 'verify_email_address', 'configure_email_domain', 'create_email_campaign', 'configure_email_domain']",2,False,False,,,,[],[]
Unsubscribe from newsletter,manage_mailing_list,manage_mailing_list,True,,365.51618576049805,email_operations,expert,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2767,23,2790,True,"['manage_mailing_list', 'manage_email_list', 'create_email_campaign', 'send_bulk_email', 'schedule_email_digest', 'snooze_email', 'get_email_status', 'test_email_deliverability', 'set_email_auto_reply', 'send_email']",1,False,False,,,,[],[]
Email the newsletter,send_bulk_email,send_email,False,,475.4986763000488,email_operations,expert,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2759,48,2807,True,"['create_email_campaign', 'manage_mailing_list', 'send_email', 'test_email_deliverability', 'schedule_email_digest', 'send_bulk_email', 'manage_email_list', 'snooze_email', 'send_template_email', 'get_email_analytics']",6,False,False,,,,[],[]
Validate email address,validate_email,validate_email,True,,424.77869987487793,email_operations,hard,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2563,27,2590,True,"['verify_email_address', 'validate_email', 'verify_email_address', 'configure_email_domain', 'configure_email_domain', 'manage_email_list', 'setup_email_automation', 'create_email_signature', 'get_email_headers', 'test_email_deliverability']",2,False,False,,,,[],[]
Get email analytics,get_email_analytics,get_email_analytics,True,,470.75891494750977,email_operations,expert,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2640,29,2669,True,"['get_email_analytics', 'analyze_email_metrics', 'get_email_headers', 'get_email_status', 'create_email_campaign', 'test_email_deliverability', 'send_email', 'get_email_attachments', 'schedule_email_digest', 'send_bulk_email']",1,False,False,,,,[],[]
Check domain authentication,configure_email_domain,configure_email_domain,True,,468.1379795074463,email_operations,hard,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2434,17,2451,True,"['configure_email_domain', 'verify_email_address', 'validate_email', 'verify_email_address', 'configure_email_domain', 'get_email_headers', 'create_email_signature', 'get_email_status', 'test_email_deliverability', 'analyze_email_metrics']",1,False,False,,,,[],[]
Handle email bounces,handle_bounce,handle_bounce,True,,380.6784152984619,email_operations,hard,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2544,24,2568,True,"['handle_bounce', 'configure_email_domain', 'set_email_auto_reply', 'validate_email', 'get_email_status', 'send_email', 'verify_email_address', 'verify_email_address', 'get_email_headers', 'setup_email_automation']",1,False,False,,,,[],[]
