prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Test connectivity to IP,ping_host,,False,,2479.8927307128906,networking_operations,hard,llama3.2:3b,No tool selected in step,clustering,3,1,False,,,['networking_operations'],False,False,False,[],,,0,{},,,0,,,1564,53,1617,,[],,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,,False,,1728.1746864318848,cloud_storage_operations,hard,llama3.2:3b,No tool selected in step,clustering,3,1,False,,,['system_operations'],False,False,False,[],,,0,{},,,0,,,1560,41,1601,,[],,False,False,,,,[],[]
Run compliance check,run_compliance_check,,False,,1798.1679439544678,compliance_operations,hard,llama3.2:3b,No tool selected in step,clustering,3,1,False,,,['compliance_operations'],False,False,False,[],,,0,{},,,0,,,1590,43,1633,,[],,False,False,,,,[],[]
OCR this scanned document,extract_text,,False,,1864.0871047973633,document_operations,hard,llama3.2:3b,No tool selected in step,clustering,3,1,False,,,['document_operations'],False,False,False,[],,,0,{},,,0,,,1586,48,1634,,[],,False,False,,,,[],[]
How long has the system been running?,get_uptime,,False,,1756.2017440795898,system_operations,hard,llama3.2:3b,No tool selected in step,clustering,3,1,False,,,['system_operations'],False,False,False,[],,,0,{},,,0,,,1569,41,1610,,[],,False,False,,,,[],[]
Mass email announcement,send_bulk_email,,False,,1930.5248260498047,email_operations,hard,llama3.2:3b,No tool selected in step,clustering,3,1,False,,,['email_operations'],False,False,False,[],,,0,{},,,0,,,1697,46,1743,,[],,False,False,,,,[],[]
Set up authenticator app,manage_mfa,,False,,7116.177797317505,authentication_operations,hard,ollama,Max steps (10) reached without selection,clustering,10,5,False,,,"['authentication_operations', 'authentication_operations', 'authentication_operations', 'authentication_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,,,5005,155,5160,,[],,False,False,,,,[],[]
Create welcome email series,setup_email_automation,setup_email_automation,True,,2107.7826023101807,email_operations,hard,llama3.2:3b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1076,67,1143,,[],,False,False,,,,[],[]
Abort running workflow,cancel_workflow,,False,,2233.1690788269043,workflow_operations,hard,llama3.2:3b,No tool selected in step,clustering,3,1,False,,,['system_operations'],False,False,False,[],,,0,{},,,0,,,1557,41,1598,,[],,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,,False,,6861.304521560669,math_operations,hard,ollama,Max steps (10) reached without selection,clustering,10,5,False,,,"['math_operations', 'math_operations', 'math_operations', 'math_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,,,4915,145,5060,,[],,False,False,,,,[],[]
