prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Send daily digest email,send_digest_notification,send_digest_notification,True,,938.0054473876953,notification_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,notification_operations,"['email_operations', 'messaging_operations', 'notification_operations', 'calendar_operations', 'payment_operations', 'scheduling_operations', 'monitoring_operations']",False,False,False,[],,,0,{},,,0,,,15015,48,15063,,[],,False,False,,,,[],[]
Test backup restorability,verify_backup,verify_backup,True,,998.5334873199463,backup_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,backup_operations,"['backup_operations', 'testing_operations', 'cloud_storage_operations', 'devops_operations', 'database_operations', 'container_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,15211,29,15240,,[],,False,False,,,,[],[]
Label training data,create_labeling_job,create_labeling_job,True,,1419.4369316101074,ai_ml_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,ai_ml_operations,"['ai_ml_operations', 'audio_operations', 'analytics_operations', 'text_operations', 'data_operations', 'healthcare_operations', 'monitoring_operations']",False,False,False,[],,,0,{},,,0,,,15921,66,15987,,[],,False,False,,,,[],[]
Increase relevance of popular items,boost_search_results,boost_search_results,True,,788.0539894104004,search_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,search_operations,"['search_operations', 'social_media_operations', 'ecommerce_operations', 'analytics_operations', 'ai_ml_operations', 'monitoring_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,16660,46,16706,,[],,False,False,,,,[],[]
Export the data to a CSV file,export_csv,export_csv,True,,2179.002046585083,data_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,data_operations,"['data_operations', 'logging_operations', 'ecommerce_operations', 'file_operations', 'compliance_operations', 'text_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,14040,37,14077,,[],,False,False,,,,[],[]
Create database trigger,manage_database_triggers,manage_database_triggers,True,,1638.9822959899902,database_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,database_operations,"['database_operations', 'data_operations', 'monitoring_operations', 'notification_operations', 'payment_operations', 'email_operations', 'ecommerce_operations']",False,False,False,[],,,0,{},,,0,,,17225,47,17272,,[],,False,False,,,,[],[]
Restore the database from backup,restore_database,restore_database,True,,61162.69278526306,database_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,database_operations,"['backup_operations', 'database_operations', 'data_operations', 'system_operations', 'scheduling_operations', 'file_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,,,13509,21,13530,,[],,False,False,,,,[],[]
Add full-text search to cache,create_cache_index,create_cache_index,True,,1187.0853900909424,caching_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,caching_operations,"['caching_operations', 'search_operations', 'text_operations', 'secrets_operations', 'document_operations', 'ai_ml_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,,,13224,62,13286,,[],,False,False,,,,[],[]
Migrate the index,reindex,manage_database_schema_changes,False,,1057.1744441986084,search_operations,expert,llama-3.3-70b,,hybrid,2,0,False,False,database_operations,"['search_operations', 'data_operations', 'database_operations', 'devops_operations', 'ai_ml_operations', 'caching_operations', 'container_operations']",False,False,False,[],,,0,{},,,0,,,16721,28,16749,,[],,False,False,,,,[],[]
Configure passkey authentication,configure_passwordless,configure_passwordless,True,,2058.8831901550293,authentication_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,authentication_operations,"['authentication_operations', 'security_operations', 'secrets_operations', 'compliance_operations', 'email_operations', 'payment_operations', 'iot_operations']",False,False,False,[],,,0,{},,,0,,,13939,23,13962,,[],,False,False,,,,[],[]
