prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Check if this is a real address,validate_address,,False,,7848.744869232178,location_operations,hard,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['location_operations', 'networking_operations', 'web_operations', 'email_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,4096,317,4413,,[],,False,False,,,,[],[]
Create product bundle,manage_product_bundles,,False,,6673.1276512146,ecommerce_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['ecommerce_operations', 'container_operations', 'video_operations', 'devops_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,4096,216,4312,,[],,False,False,,,,[],[]
Run the worker,process_jobs,,False,,5003.3323764801025,queue_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['scheduling_operations', 'workflow_operations', 'queue_operations', 'system_operations', 'testing_operations']",False,False,False,[],,,0,{},,,0,,,4096,71,4167,,[],,False,False,,,,[],[]
Make a snapshot,create_backup,,False,,5060.082674026489,backup_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['backup_operations', 'image_operations', 'cloud_storage_operations', 'video_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,,,4096,75,4171,,[],,False,False,,,,[],[]
Check certificate expiration,manage_ssl_certificate,,False,,6621.85263633728,devops_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['security_operations', 'compliance_operations', 'authentication_operations', 'caching_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,4096,212,4308,,[],,False,False,,,,[],[]
Add tax exemption,configure_tax_rules,,False,,5170.551300048828,ecommerce_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['rate_limiting_operations', 'document_operations', 'payment_operations', 'compliance_operations', 'ecommerce_operations']",False,False,False,[],,,0,{},,,0,,,4096,85,4181,,[],,False,False,,,,[],[]
Delete multiple messages,batch_delete_messages,,False,,8453.196048736572,queue_operations,hard,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['messaging_operations', 'queue_operations', 'email_operations', 'notification_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,,,4096,372,4468,,[],,False,False,,,,[],[]
Create an audience segment,segment_users,,False,,6513.212442398071,analytics_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['audio_operations', 'analytics_operations', 'video_operations', 'social_media_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,4096,202,4298,,[],,False,False,,,,[],[]
Estimate transaction cost,calculate_payment_fees,,False,,7372.431039810181,payment_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['payment_operations', 'ecommerce_operations', 'rate_limiting_operations', 'analytics_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,,,4096,278,4374,,[],,False,False,,,,[],[]
Create reusable event,create_event_template,,False,,8063.1654262542725,calendar_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['calendar_operations', 'notification_operations', 'monitoring_operations', 'messaging_operations', 'iot_operations']",False,False,False,[],,,0,{},,,0,,,4096,337,4433,,[],,False,False,,,,[],[]
