prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
How will the evolution of 'Canis lupus familiaris' (domestic dog) look like over 50 years according to Darwin's model?,predict_evolution_rate,predict_evolution_rate,True,True,3024.2960453033447,category_11,expert,llama-3.3-70b,,rag,2,0,False,,category_11,"['category_10', 'category_25', 'category_11', 'category_15', 'category_21', 'category_13', 'category_30', 'category_36', 'category_1', 'category_38']",False,False,False,[],,,0,"{'species': True, 'years': True, 'model': True}",,,0,,,1224,28,1252,True,"['predict_evolution_rate', 'constructorstandingsafterarace', 'get_domaine', 'namebydomain', 'top_athletes', 'v1_vinlookup', 'getgamelist', 'get_call', 'genderize', 'url_analysis']",1,False,False,,,,[],[]
"Fetch the annual financial statements (income, balance, cash) for Alibaba Group Holding Ltd (BABA) from the Hong Kong market.",stock_get_financial_stmts,stock_get_financial_stmts,True,True,859.0972423553467,category_19,expert,llama-3.3-70b,,rag,2,0,False,,category_19,"['category_29', 'category_25', 'category_23', 'category_19', 'category_24', 'category_21', 'category_12', 'category_1', 'category_6', 'category_14']",False,False,False,[],,,0,"{'frequency': True, 'symbol': True, 'statement_type': True, 'region': True}",,,0,,,1964,35,1999,True,"['balansheet_financials', 'stock_get_financial_stmts', 'earnings', 'get_all_companies_paginated', 'quote', 'rocp', 't3ma', 'charts_chain', 'staffs_list_by_club', 'v1_vinlookup']",2,False,False,,,,[],[]
Calculate the ROCP for Apple Inc. stock over the last 9 days using daily intervals and the closing prices.,rocp,rocp,True,True,369.5025444030762,category_12,expert,llama-3.3-70b,,rag,2,0,False,,category_12,"['category_29', 'category_25', 'category_11', 'category_19', 'category_24', 'category_15', 'category_12', 'category_1', 'category_6', 'category_14']",False,False,False,[],,,0,"{'symbol': True, 'interval': True, 'time_period': True, 'series_type': True}",,,0,,,2155,36,2191,True,"['rocp', 'balansheet_financials', 'stock_get_financial_stmts', 'earnings', 't3ma', 'predict_evolution_rate', 'constructorstandingsafterarace', 'v1_mortgagecalculator', 'quote', 'charts_chain']",1,False,False,,,,[],[]
Lookup the domain 'association' with the extension 'asso.nc' to check its registration status.,get_domaine,get_domaine,True,True,589.270830154419,category_38,hard,llama-3.3-70b,,rag,2,0,False,,category_38,"['category_10', 'category_25', 'category_39', 'category_7', 'category_21', 'category_12', 'category_30', 'category_26', 'category_38', 'category_14']",False,False,False,[],,,0,"{'ext': True, 'nom': True}",,,0,,,1639,17,1656,True,"['get_domaine', 'namebydomain', 'v1_vinlookup', 'ip_geolocation_lookup', 'get_the_timezones', 'url_analysis', 'rocp', 'calculate_distance', 'top_athletes', 'v1_mortgagecalculator']",1,False,False,,,,[],[]
Retrieve earnings information for Amazon.com Inc.,earnings,earnings,True,False,564.847469329834,category_24,medium,llama-3.3-70b,,rag,2,0,False,,category_24,"['category_10', 'category_29', 'category_25', 'category_24', 'category_19', 'category_21', 'category_1', 'category_6', 'category_14']",False,False,False,[],,,0,{'symb': False},,,0,,,1851,12,1863,True,"['earnings', 'balansheet_financials', 'stock_get_financial_stmts', 'get_all_companies_paginated', 'charts_chain', 'quote', 'v1_vinlookup', 't3ma', 'namebydomain', 'v1_mortgagecalculator']",1,False,False,,,,[],[]
Can you find details about the song with ID '12345' in French?,shazam_songs_get_details,shazam_songs_get_details,True,True,410.66455841064453,category_19,medium,llama-3.3-70b,,rag,2,0,False,,category_19,"['category_10', 'category_23', 'category_19', 'category_7', 'category_21', 'category_12', 'category_38']",False,False,False,[],,,0,"{'is_id': True, 'locale': True}",,,0,,,1265,24,1289,True,"['shazam_songs_get_details', 'artist_singles', 'get_artist', 'country_by_iso_code', 'concerts', 'get_charades_word', 'v1_vinlookup', 'getrandomword', 'get_order', 'get_specific_dessert']",1,False,False,,,,[],[]
What are the room facility types available for ID 12345 and facility type ID 67890?,list_of_room_facility_types,list_of_room_facility_types,True,True,422.8527545928955,category_13,medium,llama-3.3-70b,,rag,2,0,False,,category_13,"['category_35', 'category_23', 'category_7', 'category_13', 'category_21', 'category_15', 'category_34', 'category_14', 'category_40']",False,False,False,[],,,0,"{'room_facility_type_id': True, 'facility_type_id': True}",,,0,,,1503,27,1530,True,"['list_of_room_facility_types', 'get_stations', 'concerts', 'get_humidty', 'getrandomword', 'search_restaurants_by_town', 'get_mempool_v2', 'v1_mortgagecalculator', 'staffs_list_by_club', 'airport_search']",1,False,False,,,,[],[]
Search for airports in New York.,airport_search,airport_search,True,True,398.7431526184082,category_40,medium,llama-3.3-70b,,rag,2,0,False,,category_40,"['category_35', 'category_39', 'category_20', 'category_7', 'category_13', 'category_15', 'category_21', 'category_26', 'category_34', 'category_40']",False,False,False,[],,,0,{'query': True},,,0,,,1162,12,1174,True,"['airport_search', 'ip_geolocation_lookup', 'search_restaurants_by_town', 'get_stations', 'list_of_room_facility_types', 'get_humidty', 'concerts', 'calculate_distance', 'categories', 'get_the_timezones']",1,False,False,,,,[],[]
List all unconfirmed transactions in the Bitcoin blockchain.,get_mempool_v2,get_mempool_v2,True,True,375.2431869506836,category_7,hard,llama-3.3-70b,,rag,2,0,False,,category_7,"['category_29', 'category_25', 'category_11', 'category_19', 'category_7', 'category_13', 'category_26', 'category_6', 'category_14']",False,False,False,[],,,0,{'blockchain': True},,,0,,,1599,26,1625,True,"['get_mempool_v2', 'charts_chain', 'balansheet_financials', 'stock_get_financial_stmts', 'get_all_companies_paginated', 'list_of_room_facility_types', 'predict_evolution_rate', 'get_the_timezones', 'quote', 'getrandomword']",1,False,False,,,,[],[]
What is the historical Total Value Locked (TVL) data for the Ethereum chain?,charts_chain,charts_chain,True,True,482.0404052734375,category_6,medium,llama-3.3-70b,,rag,2,0,False,,category_6,"['category_29', 'category_25', 'category_24', 'category_19', 'category_21', 'category_12', 'category_1', 'category_6', 'category_14']",False,False,False,[],,,0,{'chain': True},,,0,,,2106,11,2117,True,"['charts_chain', 't3ma', 'balansheet_financials', 'rocp', 'earnings', 'quote', 'v1_vinlookup', 'v1_mortgagecalculator', 'get_all_companies_paginated', 'stock_get_financial_stmts']",1,False,False,,,,[],[]
