prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Map conversion journey,analyze_user_journey,analyze_user_journey,True,,2633.253812789917,analytics_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,17379,49,17428,,[],,False,False,,,,[],[]
Remove the deprecated column from users,drop_column,drop_column,True,,728.9435863494873,data_operations,hard,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,17382,19,17401,,[],,False,False,,,,[],[]
Create access credentials,create_api_key,create_api_key,True,,1134.4621181488037,authentication_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,17379,68,17447,,[],,False,False,,,,[],[]
Generate an Ed25519 key pair,generate_keypair,generate_keypair,True,,720.2956676483154,security_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,17383,21,17404,,[],,False,False,,,,[],[]
Remove write access from the log file,change_permissions,change_permissions,True,,649.9156951904297,file_operations,hard,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,17383,22,17405,,[],,False,False,,,,[],[]
Clear all data from the logs table,truncate_table,truncate_table,True,,753.8199424743652,data_operations,hard,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,17383,15,17398,,[],,False,False,,,,[],[]
Run directory sync,sync_directory,sync_directory,True,,684.922456741333,authentication_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,17379,35,17414,,[],,False,False,,,,[],[]
Set up a recurring task,schedule_task,schedule_task,True,,704.2806148529053,system_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,17381,45,17426,,[],,False,False,,,,[],[]
Add picture-in-picture,add_video_overlay,apply_video_filter,False,,61277.35471725464,video_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,17380,25,17405,,[],,False,False,,,,[],[]
Count the number of words in this text,count_text,count_text,True,,1038.3636951446533,text_operations,hard,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,17384,23,17407,,[],,False,False,,,,[],[]
