prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Find photos of beaches,search_images,search_images,True,,2972.2917079925537,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['image_operations', 'container_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,3,bounded,634,25,659,True,"['search_images', 'build_image', 'read_barcode']",1.0,False,False,,,,[],[]
Create CCD document,generate_patient_summary,generate_patient_summary,True,,492.06066131591797,healthcare_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,healthcare_operations,"['security_operations', 'healthcare_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,3,bounded,738,18,756,True,"['create_signature', 'generate_patient_summary', 'create_virtual_card']",2.0,False,False,,,,[],[]
Get the UPC code from the product photo,read_barcode,read_barcode,True,,337.19420433044434,image_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,image_operations,"['image_operations', 'ecommerce_operations']",False,False,False,[],,,0,{},,,0,3,bounded,689,24,713,True,"['read_barcode', 'extract_colors', 'create_discount_code']",1.0,False,False,,,,[],[]
Document drug allergy,update_allergy_list,update_allergy_list,True,,328.7210464477539,healthcare_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,healthcare_operations,['healthcare_operations'],False,False,False,[],,,0,{},,,0,3,bounded,860,52,912,True,"['update_allergy_list', 'check_drug_interactions', 'document_procedure']",1.0,False,False,,,,[],[]
Snooze this email,snooze_email,snooze_email,True,,323.0938911437988,email_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,"['email_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,3,bounded,717,41,758,True,"['snooze_email', 'schedule_message', 'create_email_signature']",1.0,False,False,,,,[],[]
Audit access controls,audit_permissions,audit_permissions,True,,337.9182815551758,security_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,security_operations,"['database_operations', 'queue_operations', 'compliance_operations', 'authentication_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,7,threshold,1227,35,1262,True,"['audit_permissions', 'audit_auth_events', 'generate_audit_log', 'set_queue_policy', 'manage_roles', 'secrets_scan', 'manage_database_locks']",1.0,False,False,,,,[],[]
Decode the encoded string,decode_text,decode_url,False,,348.77586364746094,text_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,web_operations,"['image_operations', 'text_operations', 'web_operations', 'system_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,6,threshold,1051,12,1063,True,"['decode_url', 'decode_text', 'encode_text', 'read_barcode', 'compress_decompress', 'decrypt_data']",2.0,False,False,,,,[],[]
Estimate segment size,manage_notification_segments,segment_users,False,,1754.8956871032715,notification_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,analytics_operations,"['image_operations', 'math_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,3,bounded,761,36,797,False,"['segment_users', 'resize_image', 'geometry']",,False,False,,,,[],[]
Build a metrics dashboard,create_dashboard,create_dashboard,True,,819.8184967041016,analytics_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,analytics_operations,"['notification_operations', 'iot_operations', 'analytics_operations', 'social_media_operations', 'devops_operations', 'data_operations', 'monitoring_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,13,threshold,2246,74,2320,True,"['create_dashboard', 'create_metric', 'forecast_metric', 'segment_users', 'setup_monitoring_alert', 'create_cohort', 'cache_stats', 'track_notification_engagement', 'analyze_device_data', 'get_database_stats', 'track_hashtag', 'run_experiment_analysis', 'predict_churn']",1.0,False,False,,,,[],[]
Look up IP address,dns_lookup,dns_lookup,True,,60670.63403129578,networking_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,networking_operations,"['networking_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,5,threshold,825,17,842,True,"['whois_lookup', 'dns_lookup', 'ping_host', 'port_scan', 'check_url_status']",2.0,False,False,,,,[],[]
