prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Predict the evolution rate of cats over 20 years using Lamarck's model.,predict_evolution_rate,predict_evolution_rate,True,True,3249.959945678711,category_11,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,category_11,"['category_9', 'category_11', 'category_22']",False,False,False,[],,,0,"{'species': True, 'years': True, 'model': True}",,,0,3,bounded,546,24,570,True,"['predict_evolution_rate', 'getpetbyid', 'project_population']",1,False,False,,,,[],[]
"Fetch the annual financial statements (income, balance, cash) for Alibaba Group Holding Ltd (BABA) from the Hong Kong market.",stock_get_financial_stmts,stock_get_financial_stmts,True,True,377.83026695251465,category_19,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,category_19,"['category_40', 'category_19', 'category_24', 'category_22', 'category_33', 'category_29', 'category_27', 'category_14', 'category_1', 'category_16', 'category_17', 'category_34', 'category_25', 'category_23', 'category_32']",False,False,False,[],,,0,"{'frequency': True, 'symbol': True, 'statement_type': True, 'region': True}",,,0,15,threshold,2190,35,2225,True,"['balansheet_financials', 'stock_get_financial_stmts', 'company_balance_sheet', 'stock_get_total_revenue', 'earnings', 'get_5_year_historical_monthly_prices', 'stock_quotes', 'get_3_month_historical_daily_prices', 'dividends', 'quote_get_margin_requirements', 'getlistbysecuritiescode', 'get_all_companies_paginated', 'stock_get_stock_price', 'stockprice', 'quote']",2,False,False,,,,[],[]
Calculate the ROCP for Apple Inc. stock over the last 9 days using daily intervals and the closing prices.,rocp,rocp,True,True,366.3439750671387,category_12,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,category_12,"['category_12', 'category_27', 'category_34']",False,False,False,[],,,0,"{'symbol': True, 'interval': True, 'time_period': True, 'series_type': True}",,,0,3,bounded,996,36,1032,True,"['rocp', 'minmax', 'stock_get_stock_price']",1,False,False,,,,[],[]
Is the domain 'mybusiness' registered under the 'nc' extension?,get_domaine,get_domaine,True,True,389.35160636901855,category_38,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,category_38,"['category_5', 'category_15', 'category_38', 'category_22', 'category_29', 'category_24', 'category_33', 'category_4', 'category_10', 'category_27', 'category_28', 'category_1', 'category_21', 'category_8', 'category_6', 'category_37', 'category_32', 'category_36']",False,False,False,[],,,0,"{'ext': True, 'nom': True}",,,0,20,bounded,2997,17,3014,True,"['namebydomain', 'get_domaine', 'maclookup', 'getproductbyname', 'company_balance_sheet', 'free_ofac_api', 'getlistbysecuritiescode', 'straddle', 'whois', 'search_restaurants_by_town', 'balansheet_financials', 'gethistoricalscoresbyyear', 'market', 'earnings', 'v1_trivia', 'nationalize', 'hotel_details', 'stock_get_total_revenue', 'get_district_capital_by_name', 'stock_quotes']",2,False,False,,,,[],[]
Get the earnings information for Tesla Inc.,earnings,earnings,True,True,408.0066680908203,category_24,medium,llama-3.3-70b,,adaptive_rag,2,0,False,,category_24,"['category_40', 'category_19', 'category_24', 'category_22', 'category_33', 'category_29', 'category_27', 'category_21', 'category_16', 'category_17', 'category_1', 'category_34', 'category_6', 'category_23', 'category_32', 'category_36']",False,False,False,[],,,0,{'symbol': True},,,0,19,threshold,2514,13,2527,True,"['earnings', 'stock_get_total_revenue', 'balansheet_financials', 'stock_get_financial_stmts', 'stock_get_stock_price', 'stockprice', 'dividends', 'gethistoricalscoresbyyear', 'v1_vinlookup', 'stock_quotes', 'get_5_year_historical_monthly_prices', 'quote_get_margin_requirements', 'currency_options', 'get_3_month_historical_daily_prices', 'company_balance_sheet', 'straddle', 'getlistbysecuritiescode', 'charts_chain', 'retrieve_compensation']",1,False,False,,,,[],[]
Can you find details about the song with ID '12345' in French?,shazam_songs_get_details,shazam_songs_get_details,True,True,507.8895092010498,category_19,medium,llama-3.3-70b,,adaptive_rag,2,0,False,,category_19,"['category_21', 'category_19']",False,False,False,[],,,0,"{'is_id': True, 'locale': True}",,,0,3,bounded,708,24,732,True,"['shazam_songs_get_details', 'view_song_copy', 'artist_singles']",1,False,False,,,,[],[]
List all room facility types available on Booking.com without any specific filters.,list_of_room_facility_types,list_of_room_facility_types,True,True,1383.1605911254883,category_13,medium,llama-3.3-70b,,adaptive_rag,2,0,False,,category_13,"['category_9', 'category_13', 'category_21']",False,False,False,[],,,0,{},,,0,3,threshold,967,12,979,True,"['list_of_room_facility_types', 'min_meeting_rooms', 'hotel_details']",1,False,False,,,,[],[]
Search for airports in New York.,airport_search,airport_search,True,True,313.9326572418213,category_40,medium,llama-3.3-70b,,adaptive_rag,2,0,False,,category_40,"['category_26', 'category_40', 'category_29']",False,False,False,[],,,0,{'query': True},,,0,3,elbow,433,12,445,True,"['airport_search', 'airports_direct_routes_for_an_airport', 'airports_by_keyword']",1,False,False,,,,[],[]
List all unconfirmed transactions in the Bitcoin blockchain.,get_mempool_v2,get_mempool_v2,True,True,345.65186500549316,category_7,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,category_7,"['category_29', 'category_7', 'category_31', 'category_14', 'category_6', 'category_23']",False,False,False,[],,,0,{'blockchain': True},,,0,6,threshold,997,26,1023,True,"['get_mempool_v2', 'tokens', 'transactions', 'charts_chain', 'balansheet_financials', 'dividends']",1,False,False,,,,[],[]
What is the historical Total Value Locked (TVL) data for the Ethereum chain?,charts_chain,charts_chain,True,True,526.7956256866455,category_6,medium,llama-3.3-70b,,adaptive_rag,2,0,False,,category_6,"['category_22', 'category_33', 'category_1', 'category_17', 'category_6', 'category_36']",False,False,False,[],,,0,{'chain': True},,,0,8,threshold,1297,11,1308,True,"['charts_chain', 't3ma', 'currency_options', 'get_5_year_historical_monthly_prices', 'stockprice', 'get_meta_data', 'straddle', 'stock_get_total_revenue']",1,False,False,,,,[],[]
