prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Please send a digest notification. Create weekly activity summary,send_digest_notification,send_digest_notification,True,,947.7705955505371,notification_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,notification_operations,['notification_operations'],False,False,False,[],,,0,{},,,0,,,4750,60,4810,,[],,False,False,,,,[],[]
I need to verify the integrity of a backup. Verify backup integrity,verify_backup,verify_backup,True,,742.755651473999,backup_operations,hard,llama-3.3-70b,,clustering,2,0,False,True,backup_operations,['backup_operations'],False,False,False,[],,,0,{},,,0,,,3513,34,3547,,[],,False,False,,,,[],[]
I need to create a data labeling job. Label training data,create_labeling_job,create_labeling_job,True,,1089.5044803619385,ai_ml_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,ai_ml_operations,['ai_ml_operations'],False,False,False,[],,,0,{},,,0,,,3997,70,4067,,[],,False,False,,,,[],[]
I need to boost search results. Prioritize recent content,boost_search_results,boost_search_results,True,,1090.4150009155273,search_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,search_operations,['search_operations'],False,False,False,[],,,0,{},,,0,,,4301,73,4374,,[],,False,False,,,,[],[]
I need to export data to a CSV file. Download query results as CSV,export_csv,execute_query,False,,810.8758926391602,data_operations,expert,llama-3.3-70b,,clustering,2,0,False,False,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,4297,44,4341,,[],,False,False,,,,[],[]
I need to create and manage database triggers for automated actions. Disable trigger,manage_database_triggers,manage_database_triggers,True,,853.165864944458,database_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,4295,47,4342,,[],,False,False,,,,[],[]
Please restore a database from a backup file. Import the SQL dump,restore_database,restore_database,True,,791.0521030426025,database_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,4293,32,4325,,[],,False,False,,,,[],[]
I need to create a search index on cached data. Create cache search index,create_cache_index,create_cache_index,True,,798.8948822021484,caching_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,caching_operations,['caching_operations'],False,False,False,[],,,0,{},,,0,,,3735,55,3790,,[],,False,False,,,,[],[]
I need to reindex documents. Copy documents to new index,reindex,reindex,True,,822.6809501647949,search_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,search_operations,['search_operations'],False,False,False,[],,,0,{},,,0,,,4303,30,4333,,[],,False,False,,,,[],[]
I need to configure passwordless authentication. Enable WebAuthn,configure_passwordless,configure_passwordless,True,,669.3284511566162,authentication_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,,,4218,33,4251,,[],,False,False,,,,[],[]
