prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Please check if a host is reachable. Test connectivity to IP,ping_host,ping_host,True,,6364.420652389526,networking_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,networking_operations,"['networking_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,3,threshold,400,36,436,True,"['ping_host', 'traceroute', 'get_network_info']",1,False,False,,,,[],[]
I need to restore an archived object from cloud storage. Restore from cold storage,restore_archived_object,restore_archived_object,True,,1687.7799034118652,cloud_storage_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,cloud_storage_operations,"['cloud_storage_operations', 'database_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,7,threshold,1048,48,1096,True,"['restore_archived_object', 'configure_storage_transfer', 'upload_to_cloud', 'get_cloud_file_info', 'set_object_lock', 'backup_database', 'replicate_backup']",1,False,False,,,,[],[]
I need to run a regulatory compliance check. Run compliance check,run_compliance_check,run_compliance_check,True,,862.9231452941895,compliance_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,compliance_operations,"['ecommerce_operations', 'devops_operations', 'database_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,4,threshold,596,20,616,True,"['run_compliance_check', 'get_pipeline_status', 'manage_database_audit', 'configure_tax_rules']",1,False,False,,,,[],[]
I need to extract text from a document. Get the text content,extract_text,extract_text,True,,1271.5208530426025,document_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,document_operations,"['text_operations', 'web_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,4,threshold,517,54,571,True,"['extract_text', 'search_text', 'extract_keywords', 'parse_json']",1,False,False,,,,[],[]
I need to check system uptime. Check the uptime,get_uptime,get_uptime,True,,807.6677322387695,system_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,system_operations,"['networking_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,3,threshold,374,30,404,True,"['get_uptime', 'get_network_info', 'ping_host']",1,False,False,,,,[],[]
Please send the same email message to multiple recipients at once. Email the newsletter,send_bulk_email,send_bulk_email,True,,1107.8321933746338,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['email_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,4,threshold,623,36,659,True,"['send_bulk_email', 'manage_notification_digest', 'create_notification_campaign', 'manage_mailing_list']",1,False,False,,,,[],[]
I need to configure multi-factor authentication. Disable MFA for user,manage_mfa,manage_mfa,True,,705.207109451294,authentication_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,3,threshold,482,18,500,True,"['manage_mfa', 'manage_device_trust', 'create_service_account']",1,False,False,,,,[],[]
I need to create automated email workflows triggered by events or schedules. Create email workflow,setup_email_automation,setup_email_automation,True,,3486.9019985198975,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['notification_operations', 'search_operations', 'ai_ml_operations', 'monitoring_operations', 'scheduling_operations', 'email_operations', 'calendar_operations', 'messaging_operations', 'workflow_operations', 'iot_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,20,threshold,2616,60,2676,True,"['setup_email_automation', 'schedule_workflow', 'manage_database_triggers', 'run_workflow', 'create_pipeline', 'create_job_dependency', 'set_auto_response', 'configure_email_domain', 'create_notification_campaign', 'manage_email_list', 'set_working_hours', 'detect_scheduling_conflicts', 'update_event', 'send_bulk_email', 'manage_notification_digest', 'create_recurring_exception', 'create_metric', 'test_email_deliverability', 'search_emails', 'create_alert_rule']",1,False,False,,,,[],[]
I need to cancel a running workflow. Cancel the workflow,cancel_workflow,cancel_workflow,True,,1038.0892753601074,workflow_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,workflow_operations,"['scheduling_operations', 'workflow_operations']",False,False,False,[],,,0,{},,,0,3,threshold,415,43,458,True,"['cancel_workflow', 'pause_scheduled_job', 'run_workflow']",1,False,False,,,,[],[]
I need to work with Fibonacci numbers. Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,709.9933624267578,math_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,3,bounded,415,23,438,True,"['fibonacci', 'number_base_convert', 'permutation_combination']",1,False,False,,,,[],[]
