prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Search for images,search_images,search_images,True,,878.2639503479004,search_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,search_operations,"['search_operations', 'image_operations']",False,False,False,[],,,0,{},,,0,,,959,25,984,,[],,False,False,,,,[],[]
Export patient record,generate_patient_summary,generate_patient_summary,True,,339.9806022644043,healthcare_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,healthcare_operations,"['healthcare_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,803,43,846,,[],,False,False,,,,[],[]
Read the QR code from the photo,read_barcode,read_barcode,True,,357.36608505249023,image_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,image_operations,"['image_operations', 'video_operations']",False,False,False,[],,,0,{},,,0,,,674,13,687,,[],,False,False,,,,[],[]
Update patient allergies,update_allergy_list,update_allergy_list,True,,349.729061126709,healthcare_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,healthcare_operations,"['healthcare_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,789,53,842,,[],,False,False,,,,[],[]
Remind me about this email tomorrow,snooze_email,snooze_email,True,,353.137731552124,email_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'iot_operations']",False,False,False,[],,,0,{},,,0,,,681,30,711,,[],,False,False,,,,[],[]
Check for insecure file permissions,audit_permissions,audit_permissions,True,,391.7584419250488,security_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,security_operations,"['security_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,,,608,30,638,,[],,False,False,,,,[],[]
Decode the encoded string,decode_text,decode_text,True,,340.5442237854004,text_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,text_operations,"['text_operations', 'image_operations']",False,False,False,[],,,0,{},,,0,,,780,17,797,,[],,False,False,,,,[],[]
List notification segments,manage_notification_segments,manage_notification_segments,True,,326.1277675628662,notification_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,notification_operations,"['notification_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,509,12,521,,[],,False,False,,,,[],[]
Set up a KPI dashboard,create_dashboard,create_dashboard,True,,355.7558059692383,analytics_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,analytics_operations,"['analytics_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,514,70,584,,[],,False,False,,,,[],[]
DNS lookup for domain,dns_lookup,dns_lookup,True,,371.5968132019043,networking_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,networking_operations,"['networking_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,,,790,17,807,,[],,False,False,,,,[],[]
