prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping the server,ping_host,ping_host,True,,3984.522819519043,networking_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,networking_operations,"['system_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,3,threshold,456,42,498,True,"['ping_host', 'check_port', 'configure_load_balancer']",1.0,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,restore_archived_object,True,,2469.6009159088135,cloud_storage_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,cloud_storage_operations,"['database_operations', 'caching_operations', 'backup_operations', 'secrets_operations', 'cloud_storage_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,15,threshold,1787,27,1814,True,"['restore_archived_object', 'restore_database', 'restore_cache', 'restore_backup', 'backup_cache', 'restore_archived_email', 'restore_database', 'restore_secret', 'delete_cloud_file', 'export_cache_data', 'sync_to_cloud', 'import_cache_data', 'copy_cloud_file', 'delete_backup', 'export_backup']",1.0,False,False,,,,[],[]
Verify SOC2 compliance,run_compliance_check,run_compliance_check,True,,1780.6322574615479,compliance_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,compliance_operations,"['compliance_operations', 'healthcare_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,9,threshold,1224,25,1249,True,"['track_vendor_compliance', 'verify_jwt', 'run_compliance_check', 'classify_data', 'verify_otp', 'verify_insurance_eligibility', 'manage_exception', 'manage_policy', 'verify_signature']",3.0,False,False,,,,[],[]
Get the text content,extract_text,extract_text_from_document,False,,3351.3386249542236,document_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,document_operations,"['ai_ml_operations', 'image_operations', 'file_operations', 'document_operations', 'text_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2307,41,2348,True,"['extract_text_from_document', 'extract_text', 'extract_text', 'parse_html', 'ocr_image', 'parse_html', 'search_file_content', 'search_text', 'scrape_webpage', 'decode_text', 'count_text', 'scrape_webpage', 'generate_lorem_ipsum', 'word_count', 'split_text', 'extract_entities', 'detect_language', 'summarize_text', 'replace_text', 'moderate_content']",2.0,False,False,,,,[],[]
When was the server last rebooted?,get_uptime,get_uptime,True,,989.2630577087402,system_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,system_operations,"['system_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,3,bounded,450,30,480,True,"['get_uptime', 'manage_service', 'configure_load_balancer']",1.0,False,False,,,,[],[]
Email the newsletter,send_bulk_email,send_email,False,,2344.717025756836,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,web_operations,['email_operations'],False,False,False,[],,,0,{},,,0,10,threshold,1298,53,1351,False,"['manage_mailing_list', 'snooze_email', 'create_email_campaign', 'schedule_email_digest', 'manage_email_list', 'send_email', 'send_email', 'send_email', 'test_email_deliverability', 'get_email_status']",,False,False,,,,[],[]
Disable MFA for user,manage_mfa,disable_mfa,False,,872.3230361938477,authentication_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,3,elbow,469,21,490,True,"['manage_mfa', 'disable_mfa', 'enable_mfa']",1.0,False,False,,,,[],[]
Automate onboarding emails,setup_email_automation,create_email_campaign,False,,4082.181930541992,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['messaging_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2460,73,2533,True,"['setup_email_automation', 'create_email_campaign', 'import_emails', 'set_email_auto_reply', 'set_auto_response', 'schedule_email_digest', 'snooze_email', 'test_email_deliverability', 'send_email', 'manage_email_template_variables', 'create_email_template', 'manage_email_list', 'send_email', 'send_email', 'create_email_signature', 'send_bulk_email', 'send_template_email', 'archive_email', 'create_message_template', 'configure_email_domain']",1.0,False,False,,,,[],[]
Stop workflow execution,cancel_workflow,cancel_workflow,True,,1844.7513580322266,workflow_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,workflow_operations,"['scheduling_operations', 'container_operations', 'workflow_operations', 'system_operations', 'queue_operations', 'notification_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,11,threshold,1168,31,1199,True,"['cancel_workflow', 'stop_container', 'kill_process', 'run_workflow', 'get_workflow_status', 'pause_scheduled_job', 'retry_workflow_step', 'void_payment', 'enqueue_job', 'cancel_notification', 'create_workflow']",1.0,False,False,,,,[],[]
What is the 10th Fibonacci number?,fibonacci,fibonacci,True,,774.9335765838623,math_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,3,bounded,350,23,373,True,"['fibonacci', 'fibonacci', 'round_number']",1.0,False,False,,,,[],[]
Process an ACH payment,process_ach_transfer,process_ach_transfer,True,,3654.60467338562,payment_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,payment_operations,['payment_operations'],False,False,False,[],,,0,{},,,0,20,bounded,2416,51,2467,True,"['process_ach_transfer', 'verify_payment_method', 'void_payment', 'add_payment_method', 'create_payment_link', 'verify_bank_account', 'process_refund', 'get_payment_status', 'create_invoice', 'create_payment_intent', 'manage_payment_method', 'create_payment_link', 'split_payment', 'create_invoice', 'create_customer', 'manage_payment_dispute', 'get_payment_balance', 'setup_recurring_payment', 'create_payout', 'create_payout']",1.0,False,False,,,,[],[]
Remove from mailing list,manage_email_list,manage_mailing_list,False,,2225.7797718048096,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['email_operations', 'calendar_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,13,threshold,1602,26,1628,True,"['manage_mailing_list', 'manage_email_list', 'set_email_auto_reply', 'archive_email', 'send_bulk_email', 'send_email', 'send_email', 'restore_archived_email', 'handle_bounce', 'send_email', 'delete_queue', 'snooze_email', 'set_out_of_office']",2.0,False,False,,,,[],[]
Start automation,run_workflow,create_workflow,False,,2276.684045791626,workflow_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,workflow_operations,"['scheduling_operations', 'ai_ml_operations', 'database_operations', 'authentication_operations', 'workflow_operations', 'iot_operations', 'notification_operations', 'messaging_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,11,threshold,1502,35,1537,True,"['setup_email_automation', 'create_workflow', 'manage_database_triggers', 'create_pipeline', 'run_workflow', 'set_auto_response', 'create_scheduled_job', 'create_notification_workflow', 'run_job_now', 'schedule_device_job', 'create_service_account']",5.0,False,False,,,,[],[]
Create a mirror image,flip_image,flip_image,True,,1914.6811962127686,image_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,image_operations,"['image_operations', 'container_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,8,threshold,1143,37,1180,True,"['flip_image', 'create_thumbnail', 'generate_image', 'create_collage', 'create_collage', 'create_container', 'overlay_images', 'rotate_image']",1.0,False,False,,,,[],[]
Find similar images,search_images,search_images,True,,3910.5520248413086,search_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,search_operations,"['ai_ml_operations', 'search_operations', 'file_operations', 'document_operations', 'image_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2512,57,2569,True,"['compare_images', 'search_images', 'cluster_data', 'detect_objects', 'find_duplicates', 'analyze_image', 'find_duplicates', 'generate_embeddings', 'ocr_image', 'detect_faces', 'generate_image', 'overlay_images', 'create_collage', 'create_collage', 'get_image_info', 'upscale_image', 'compare_documents', 'semantic_search', 'extract_colors', 'compare_documents']",2.0,False,False,,,,[],[]
Calculate the number of combinations of 10 items taken 4 at a time,permutation_combination,permutation_combination,True,,963.223934173584,math_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,3,bounded,405,31,436,True,"['permutation_combination', 'permutation_combination', 'factorial']",1.0,False,False,,,,[],[]
Message patient through portal,send_patient_message,send_patient_message,True,,2265.1281356811523,healthcare_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,healthcare_operations,"['messaging_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,11,threshold,1522,35,1557,True,"['send_patient_message', 'send_discord_message', 'send_teams_message', 'send_in_app_message', 'set_presence_status', 'refer_patient', 'pin_message', 'create_message_thread', 'send_sms', 'send_slack_message', 'close_encounter']",1.0,False,False,,,,[],[]
Show Docker logs,get_container_logs,get_container_logs,True,,3653.0182361602783,container_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,container_operations,"['devops_operations', 'search_operations', 'system_operations', 'logging_operations', 'cloud_storage_operations', 'container_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2513,44,2557,True,"['get_container_logs', 'get_logs', 'list_containers', 'enable_access_logging', 'manage_logs', 'tail_logs', 'create_log_dashboard', 'search_logs', 'manage_container', 'search_logs', 'get_pod_status', 'build_image', 'log_search_event', 'create_log_alert', 'export_logs', 'setup_monitoring_alert', 'create_container', 'manage_container_registry', 'manage_container_registry', 'set_log_retention']",1.0,False,False,,,,[],[]
Create a composite index on user_id and created_at,create_index,create_index,True,,1702.9087543487549,data_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,data_operations,"['authentication_operations', 'system_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,5,threshold,714,55,769,True,"['create_user', 'create_index', 'create_index', 'generate_uuid', 'create_database_user']",2.0,False,False,,,,[],[]
What is the size of the file in S3?,get_cloud_file_info,get_cloud_file_info,True,,1954.695224761963,cloud_storage_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,cloud_storage_operations,"['video_operations', 'file_operations', 'document_operations', 'cloud_storage_operations', 'image_operations']",False,False,False,[],,,0,{},,,0,9,threshold,1205,35,1240,True,"['upload_to_cloud', 'get_cloud_file_info', 'download_from_cloud', 'get_file_info', 'get_disk_usage', 'split_file', 'compress_document', 'compress_image', 'compress_video']",2.0,False,False,,,,[],[]
Get scheduled tasks,list_scheduled_jobs,list_scheduled_jobs,True,,3418.4951782226562,scheduling_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,scheduling_operations,"['scheduling_operations', 'workflow_operations', 'system_operations', 'calendar_operations', 'iot_operations', 'queue_operations', 'notification_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2266,47,2313,True,"['schedule_task', 'get_job_history', 'list_scheduled_jobs', 'create_scheduled_job', 'get_next_run_times', 'delete_scheduled_job', 'run_job_now', 'schedule_workflow', 'create_job_dependency', 'set_working_hours', 'pause_scheduled_job', 'resume_scheduled_job', 'update_job_schedule', 'schedule_email_digest', 'schedule_device_job', 'schedule_message', 'schedule_message', 'list_events', 'schedule_notification', 'configure_working_hours']",3.0,False,False,,,,[],[]
