prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Get hash fields,cache_hash_ops,cache_hash_ops,True,,3383.948802947998,caching_operations,hard,llama3.2:3b,,rag,2,0,False,,caching_operations,"['secrets_operations', 'payment_operations', 'file_operations', 'authentication_operations', 'web_operations', 'caching_operations', 'healthcare_operations', 'cloud_storage_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,1126,17,1143,True,"['cache_hash_ops', 'get_file_checksum', 'get_secret', 'retrieve_medical_history', 'find_duplicates', 'encode_decode', 'create_api_key', 'get_payment_status', 'dns_lookup', 'enable_access_logging']",1,False,False,,,,[],[]
Set up dead letter queue,set_redrive_policy,configure_dead_letter_queue,False,,1597.4771976470947,queue_operations,expert,llama3.2:3b,,rag,2,0,False,,queue_operations,"['queue_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,1096,56,1152,True,"['configure_dead_letter_queue', 'set_redrive_policy', 'manage_message_queue', 'subscribe_to_queue', 'pause_queue', 'process_jobs', 'tag_queue', 'get_queue_metrics', 'schedule_recurring', 'get_job_status']",2,False,False,,,,[],[]
Set up audit logging,enable_access_logging,manage_database_audit,False,,1470.4127311706543,cloud_storage_operations,expert,llama3.2:3b,,rag,2,0,False,,database_operations,"['logging_operations', 'authentication_operations', 'analytics_operations', 'cloud_storage_operations', 'database_operations', 'container_operations', 'monitoring_operations']",False,False,False,[],,,0,{},,,0,,,1381,18,1399,True,"['manage_database_audit', 'audit_auth_logs', 'create_log_alert', 'create_log_dashboard', 'enable_access_logging', 'get_container_logs', 'aggregate_logs', 'create_metric', 'alert_on_metric', 'manage_database_triggers']",5,False,False,,,,[],[]
Group devices by location,create_device_group,find_nearest_location,False,,1717.8528308868408,iot_operations,expert,llama3.2:3b,,rag,2,0,False,,location_operations,"['notification_operations', 'authentication_operations', 'messaging_operations', 'iot_operations', 'location_operations']",False,False,False,[],,,0,{},,,0,,,1393,38,1431,True,"['create_device_group', 'create_chat_room', 'manage_device_trust', 'optimize_route', 'find_nearest_location', 'manage_iot_jobs', 'manage_firmware', 'configure_device_shadow', 'manage_push_subscriptions', 'analyze_device_data']",1,False,False,,,,[],[]
Search for similar articles,semantic_search,semantic_search,True,,1720.548152923584,ai_ml_operations,expert,llama3.2:3b,,rag,2,0,False,,ai_ml_operations,"['search_operations', 'text_operations', 'image_operations', 'file_operations', 'ai_ml_operations', 'document_operations', 'social_media_operations']",False,False,False,[],,,0,{},,,0,,,1262,50,1312,True,"['semantic_search', 'search_images', 'rerank_results', 'compare_documents', 'compare_images', 'configure_search_relevance', 'generate_content', 'extract_keywords', 'find_duplicates', 'analyze_query']",1,False,False,,,,[],[]
List a new item for sale,create_product,create_product,True,,2314.610242843628,ecommerce_operations,expert,llama3.2:3b,,rag,2,0,False,,ecommerce_operations,"['payment_operations', 'search_operations', 'ecommerce_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,1454,87,1541,True,"['create_product', 'create_order', 'manage_product_bundles', 'manage_gift_cards', 'generate_product_feed', 'calculate_shipping', 'calculate_tax', 'manage_abandoned_carts', 'manage_contact_list', 'search_products']",1,False,False,,,,[],[]
React with thumbs up,create_message_reaction,compare_documents,False,,1675.5499839782715,messaging_operations,hard,llama3.2:3b,,rag,2,0,False,,document_operations,"['search_operations', 'notification_operations', 'video_operations', 'ecommerce_operations', 'messaging_operations', 'cloud_storage_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,,,1360,37,1397,True,"['create_message_reaction', 'generate_video_preview', 'create_video_thumbnail', 'rerank_results', 'pin_message', 'manage_product_reviews', 'set_notification_rules', 'add_animated_title', 'compare_documents', 'manage_storage_notifications']",1,False,False,,,,[],[]
Find duplicate files in my photos folder,find_duplicates,,False,,1547.6458072662354,file_operations,expert,llama3.2:3b,Model did not call any tool,rag,2,0,False,,,"['search_operations', 'security_operations', 'image_operations', 'file_operations', 'video_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,,,1265,34,1299,True,"['find_duplicates', 'search_images', 'compare_images', 'detect_objects', 'get_file_checksum', 'create_collage', 'compare_documents', 'get_disk_usage', 'check_file_signature', 'create_video_thumbnail']",1,False,False,,,,[],[]
Check firmware status,manage_firmware,manage_firmware,True,,1356.6670417785645,iot_operations,expert,llama3.2:3b,,rag,2,0,False,,iot_operations,"['payment_operations', 'web_operations', 'messaging_operations', 'authentication_operations', 'iot_operations', 'ai_ml_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,1139,27,1166,True,"['manage_firmware', 'get_uptime', 'check_url_status', 'get_payment_status', 'manage_service', 'get_message_status', 'configure_device_shadow', 'manage_device_trust', 'detect_data_drift', 'analyze_device_data']",1,False,False,,,,[],[]
Monitor queue performance,get_queue_metrics,,False,,1183.4983825683594,queue_operations,hard,llama3.2:3b,Model did not call any tool,rag,2,0,False,,,"['caching_operations', 'devops_operations', 'database_operations', 'ai_ml_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1073,18,1091,True,"['get_queue_metrics', 'analyze_cache_performance', 'monitor_database_performance', 'process_jobs', 'pause_queue', 'get_job_status', 'subscribe_to_queue', 'tag_queue', 'monitor_metrics', 'detect_data_drift']",1,False,False,,,,[],[]
